,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.274,0.090,19.000
1,"(22, 27]",1.150,0.114,25.000
2,"(27, 32]",1.108,0.138,30.000
3,"(32, 37]",1.183,0.173,35.000
4,"(37, 42]",1.251,0.189,40.000
5,"(42, 47]",1.140,0.164,45.000
6,"(47, 52]",0.910,0.132,50.000
7,"(52, 57]",0.897,0.125,55.000
8,"(57, 62]",0.858,0.121,60.000
9,"(62, 67]",0.669,0.092,65.000
10,"(67, 72]",0.732,0.102,70.000
11,"(72, 77]",0.665,0.092,75.000
12,"(77, 82]",0.824,0.121,80.000
13,"(82, 87]",1.016,0.174,85.000
14,"(87, 92]",0.879,0.223,90.000
15,"(92, 97]",0.967,0.644,95.000
