,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.136,0.099,19.000
1,"(22, 27]",1.089,0.130,25.000
2,"(27, 32]",1.017,0.161,30.000
3,"(32, 37]",1.141,0.219,35.000
4,"(37, 42]",1.247,0.282,40.000
5,"(42, 47]",0.693,0.179,45.000
6,"(47, 52]",0.921,0.240,50.000
7,"(52, 57]",0.781,0.247,55.000
8,"(57, 62]",0.854,0.303,60.000
9,"(62, 67]",0.766,0.338,65.000
10,"(67, 72]",0.943,0.369,70.000
11,"(72, 77]",1.378,0.540,75.000
12,"(77, 82]",0.969,0.401,80.000
13,"(82, 87]",1.204,0.721,85.000
14,"(87, 92]",1.143,1.218,90.000
