,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.102,0.455,3.000
1,"(5, 10]",0.711,0.307,8.000
2,"(10, 15]",1.037,0.232,13.000
3,"(15, 20]",1.299,0.117,18.000
4,"(20, 25]",1.272,0.117,23.000
5,"(25, 30]",1.179,0.145,28.000
6,"(30, 35]",1.036,0.159,33.000
7,"(35, 40]",1.508,0.309,38.000
8,"(40, 45]",1.273,0.281,43.000
9,"(45, 50]",1.386,0.334,48.000
10,"(50, 55]",1.038,0.255,53.000
11,"(55, 60]",1.171,0.409,58.000
12,"(60, 65]",0.717,0.345,63.000
13,"(65, 70]",0.942,0.461,68.000
14,"(70, 75]",0.422,0.227,73.000
15,"(75, 80]",1.127,0.641,78.000
16,"(80, 85]",1.811,1.042,83.000
17,"(85, 90]",1.714,1.159,88.000
18,"(90, 95]",1.497,1.068,93.000
