,Vehicle,Subject Occupant,Female Fatalities,Male Fatalities,Total
0,Car,Unbelted drivers,1147,3543,4690
1,Car,Unbelted right front passengers,2220,2893,5113
2,Car,Belted drivers,3587,6619,10206
3,Car,Belted right front passengers,7417,4713,12130
4,Car,Unbelted left rear passengers,23,41,64
5,Car,Unbelted right rear passengers,34,46,80
0,Light truck,Unbelted drivers,428,1712,2140
1,Light truck,Unbelted right front passengers,915,1252,2167
2,Light truck,Belted drivers,1236,3123,4359
3,Light truck,Belted right front passengers,2945,1826,4771
4,Light truck,Unbelted left rear passengers,7,9,16
5,Light truck,Unbelted right rear passengers,10,8,18
