,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.343,0.247,3.000
1,"(5, 10]",0.965,0.537,8.000
2,"(10, 15]",0.987,0.319,13.000
3,"(15, 20]",1.520,0.238,18.000
4,"(20, 25]",0.996,0.155,23.000
5,"(25, 30]",1.405,0.246,28.000
6,"(30, 35]",1.257,0.261,33.000
7,"(35, 40]",1.391,0.328,38.000
8,"(40, 45]",0.761,0.187,43.000
9,"(45, 50]",0.855,0.243,48.000
10,"(50, 55]",1.066,0.390,53.000
11,"(55, 60]",1.095,0.393,58.000
12,"(60, 65]",1.482,0.702,63.000
13,"(65, 70]",0.783,0.500,68.000
14,"(70, 75]",0.956,0.689,73.000
15,"(75, 80]",0.824,0.612,78.000
16,"(80, 85]",0.419,0.380,83.000
17,"(85, 90]",2.500,4.110,88.000
