,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,10,4,10,10,2.500,1.000,2.500,1.858
1,"(15, 24]","(5, 10]",Female,3,2,4,6,1.500,0.667,2.250,2.518
2,"(15, 24]","(10, 15]",Female,28,23,11,12,1.217,0.917,1.328,0.672
3,"(15, 24]","(10, 15]",Male,42,39,62,61,1.077,1.016,1.060,0.308
4,"(15, 24]","(15, 20]",Female,169,163,82,110,1.037,0.745,1.391,0.263
5,"(15, 24]","(15, 20]",Male,329,272,656,691,1.210,0.949,1.274,0.141
6,"(15, 24]","(20, 25]",Female,68,60,104,122,1.133,0.852,1.329,0.302
7,"(15, 24]","(20, 25]",Male,177,144,501,485,1.229,1.033,1.190,0.165
8,"(15, 24]","(25, 30]",Female,15,15,43,42,1.000,1.024,0.977,0.418
9,"(15, 24]","(25, 30]",Male,40,33,111,84,1.212,1.321,0.917,0.257
10,"(15, 24]","(30, 35]",Female,11,8,10,4,1.375,2.500,0.550,0.415
11,"(15, 24]","(30, 35]",Male,12,8,35,31,1.500,1.129,1.329,0.692
12,"(15, 24]","(35, 40]",Male,10,3,24,14,3.333,1.714,1.944,1.441
13,"(15, 24]","(40, 45]",Male,8,5,18,15,1.600,1.200,1.333,0.894
14,"(15, 24]","(45, 50]",Male,1,3,11,5,0.333,2.200,0.152,0.193
15,"(15, 24]","(50, 55]",Female,3,2,2,1,1.500,2.000,0.750,1.146
16,"(15, 24]","(50, 55]",Male,5,1,4,3,5.000,1.333,3.750,5.011
17,"(15, 24]","(60, 65]",Male,2,1,1,1,2.000,1.000,2.000,3.743
18,"(24, 34]","(0, 5]",Female,14,7,13,7,2.000,1.857,1.077,0.712
19,"(24, 34]","(0, 5]",Male,6,5,6,4,1.200,1.500,0.800,0.709
20,"(24, 34]","(5, 10]",Female,13,19,9,9,0.684,1.000,0.684,0.407
21,"(24, 34]","(5, 10]",Male,1,2,3,1,0.500,3.000,0.167,0.281
22,"(24, 34]","(10, 15]",Female,7,6,3,10,1.167,0.300,3.889,3.357
23,"(24, 34]","(10, 15]",Male,3,4,10,6,0.750,1.667,0.450,0.415
24,"(24, 34]","(15, 20]",Female,6,10,5,11,0.600,0.455,1.320,0.988
25,"(24, 34]","(15, 20]",Male,41,41,57,79,1.000,0.722,1.386,0.396
26,"(24, 34]","(20, 25]",Female,33,28,33,31,1.179,1.065,1.107,0.401
27,"(24, 34]","(20, 25]",Male,153,136,184,218,1.125,0.844,1.333,0.217
28,"(24, 34]","(25, 30]",Female,34,27,46,53,1.259,0.868,1.451,0.480
29,"(24, 34]","(25, 30]",Male,108,98,189,189,1.102,1.000,1.102,0.199
30,"(24, 34]","(30, 35]",Female,24,16,36,39,1.500,0.923,1.625,0.650
31,"(24, 34]","(30, 35]",Male,69,58,89,86,1.190,1.035,1.150,0.275
32,"(24, 34]","(35, 40]",Female,9,7,13,16,1.286,0.812,1.582,0.996
33,"(24, 34]","(35, 40]",Male,40,17,38,38,2.353,1.000,2.353,0.877
34,"(24, 34]","(40, 45]",Female,5,5,7,8,1.000,0.875,1.143,0.936
35,"(24, 34]","(40, 45]",Male,12,11,23,18,1.091,1.278,0.854,0.448
36,"(24, 34]","(45, 50]",Female,10,2,2,3,5.000,0.667,7.500,8.987
37,"(24, 34]","(45, 50]",Male,6,6,15,12,1.000,1.250,0.800,0.558
38,"(24, 34]","(50, 55]",Female,7,4,7,2,1.750,3.500,0.500,0.509
39,"(24, 34]","(50, 55]",Male,5,4,3,5,1.250,0.600,2.083,2.069
40,"(24, 34]","(55, 60]",Male,6,1,11,5,6.000,2.200,2.727,3.295
41,"(34, 54]","(0, 5]",Female,4,3,5,3,1.333,1.667,0.800,0.846
42,"(34, 54]","(0, 5]",Male,3,2,2,3,1.500,0.667,2.250,2.907
43,"(34, 54]","(5, 10]",Female,3,6,9,8,0.500,1.125,0.444,0.382
44,"(34, 54]","(5, 10]",Male,2,4,4,7,0.500,0.571,0.875,0.936
45,"(34, 54]","(10, 15]",Female,19,24,6,8,0.792,0.750,1.056,0.658
46,"(34, 54]","(10, 15]",Male,2,7,13,16,0.286,0.812,0.352,0.312
47,"(34, 54]","(15, 20]",Female,11,23,10,10,0.478,1.000,0.478,0.278
48,"(34, 54]","(15, 20]",Male,10,16,9,26,0.625,0.346,1.806,1.013
49,"(34, 54]","(20, 25]",Female,9,17,4,13,0.529,0.308,1.721,1.216
50,"(34, 54]","(20, 25]",Male,20,27,25,46,0.741,0.543,1.363,0.530
51,"(34, 54]","(25, 30]",Female,17,13,5,18,1.308,0.278,4.708,2.954
52,"(34, 54]","(25, 30]",Male,32,35,25,49,0.914,0.510,1.792,0.628
53,"(34, 54]","(30, 35]",Female,7,11,19,16,0.636,1.188,0.536,0.318
