,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,10,5,12,27,2.000,0.444,4.500,2.926
1,"(15, 24]","(15, 22]",Male,4,3,52,52,1.333,1.000,1.333,1.053
2,"(15, 24]","(22, 27]",Female,3,4,14,10,0.750,1.400,0.536,0.466
3,"(15, 24]","(27, 32]",Male,3,3,7,8,1.000,0.875,1.143,1.106
4,"(15, 24]","(32, 37]",Female,1,2,2,1,0.500,2.000,0.250,0.433
5,"(15, 24]","(37, 42]",Female,2,2,1,1,1.000,1.000,1.000,1.733
6,"(24, 34]","(15, 22]",Female,1,1,5,2,1.000,2.500,0.400,0.658
7,"(24, 34]","(15, 22]",Male,2,2,4,2,1.000,2.000,0.500,0.662
8,"(24, 34]","(22, 27]",Male,9,7,19,18,1.286,1.056,1.218,0.736
9,"(24, 34]","(27, 32]",Male,6,2,15,11,3.000,1.364,2.200,2.000
10,"(24, 34]","(32, 37]",Male,1,2,4,4,0.500,1.000,0.500,0.708
11,"(24, 34]","(42, 47]",Female,3,2,3,1,1.500,3.000,0.500,0.736
12,"(24, 34]","(47, 52]",Female,1,1,2,1,1.000,2.000,0.500,0.936
13,"(34, 54]","(22, 27]",Male,3,5,7,9,0.600,0.778,0.771,0.686
14,"(34, 54]","(27, 32]",Female,1,1,5,6,1.000,0.833,1.200,1.847
15,"(34, 54]","(27, 32]",Male,3,2,8,8,1.500,1.000,1.500,1.563
16,"(34, 54]","(32, 37]",Male,5,5,12,12,1.000,1.000,1.000,0.754
17,"(34, 54]","(37, 42]",Male,6,6,7,11,1.000,0.636,1.571,1.186
18,"(34, 54]","(42, 47]",Male,2,3,8,5,0.667,1.600,0.417,0.449
19,"(34, 54]","(47, 52]",Female,1,3,10,7,0.333,1.429,0.233,0.293
20,"(34, 54]","(47, 52]",Male,2,1,7,8,2.000,0.875,2.286,3.041
21,"(34, 54]","(52, 57]",Male,2,3,4,5,0.667,0.800,0.833,0.945
22,"(34, 54]","(62, 67]",Female,3,1,1,1,3.000,1.000,3.000,5.479
23,"(54, 100]","(32, 37]",Male,1,2,1,4,0.500,0.250,2.000,3.318
24,"(54, 100]","(47, 52]",Female,2,2,2,2,1.000,1.000,1.000,1.415
25,"(54, 100]","(52, 57]",Male,2,1,5,4,2.000,1.250,1.600,2.236
26,"(54, 100]","(57, 62]",Male,3,3,2,2,1.000,1.000,1.000,1.292
27,"(54, 100]","(62, 67]",Female,2,3,4,8,0.667,0.500,1.333,1.467
28,"(54, 100]","(62, 67]",Male,3,6,1,1,0.500,1.000,0.500,0.791
29,"(54, 100]","(72, 77]",Female,1,2,6,5,0.500,1.200,0.417,0.570
30,"(54, 100]","(72, 77]",Male,4,6,2,2,0.667,1.000,0.667,0.794
31,"(54, 100]","(77, 82]",Male,1,1,1,1,1.000,1.000,1.000,2.001
32,"(54, 100]","(82, 87]",Male,1,1,1,1,1.000,1.000,1.000,2.001
