,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,12,15,7,10,0.800,0.700,1.143,0.719
1,"(15, 24]","(10, 15]",Male,11,12,24,23,0.917,1.043,0.878,0.450
2,"(15, 24]","(15, 20]",Female,58,67,31,43,0.866,0.721,1.201,0.361
3,"(15, 24]","(15, 20]",Male,91,101,134,136,0.901,0.985,0.914,0.179
4,"(15, 24]","(20, 25]",Female,28,22,30,20,1.273,1.500,0.848,0.347
5,"(15, 24]","(20, 25]",Male,62,56,108,85,1.107,1.271,0.871,0.209
6,"(15, 24]","(25, 30]",Female,3,2,11,10,1.500,1.100,1.364,1.382
7,"(15, 24]","(25, 30]",Male,4,8,18,17,0.500,1.059,0.472,0.331
8,"(15, 24]","(30, 35]",Female,3,3,2,6,1.000,0.333,3.000,3.467
9,"(15, 24]","(30, 35]",Male,3,5,8,6,0.600,1.333,0.450,0.409
10,"(15, 24]","(35, 40]",Male,5,2,9,7,2.500,1.286,1.944,1.902
11,"(15, 24]","(40, 45]",Female,4,4,2,2,1.000,1.000,1.000,1.226
12,"(15, 24]","(40, 45]",Male,2,1,6,5,2.000,1.200,1.667,2.279
13,"(15, 24]","(45, 50]",Female,9,3,2,2,3.000,1.000,3.000,3.609
14,"(15, 24]","(45, 50]",Male,2,2,3,2,1.000,1.500,0.667,0.903
15,"(15, 24]","(50, 55]",Female,8,3,2,2,2.667,1.000,2.667,3.223
16,"(15, 24]","(55, 60]",Male,3,1,3,1,3.000,3.000,1.000,1.634
17,"(15, 24]","(70, 75]",Female,5,1,1,1,5.000,1.000,5.000,8.948
18,"(24, 34]","(5, 10]",Female,3,3,1,4,1.000,0.250,4.000,5.541
19,"(24, 34]","(10, 15]",Female,7,7,3,5,1.000,0.600,1.667,1.511
20,"(24, 34]","(10, 15]",Male,1,1,1,5,1.000,0.200,5.000,8.948
21,"(24, 34]","(15, 20]",Male,16,18,6,10,0.889,0.600,1.481,0.922
22,"(24, 34]","(20, 25]",Female,7,10,11,13,0.700,0.846,0.827,0.532
23,"(24, 34]","(20, 25]",Male,43,47,39,48,0.915,0.812,1.126,0.344
24,"(24, 34]","(25, 30]",Female,20,15,23,29,1.333,0.793,1.681,0.746
25,"(24, 34]","(25, 30]",Male,55,53,36,28,1.038,1.286,0.807,0.259
26,"(24, 34]","(30, 35]",Female,8,10,11,11,0.800,1.000,0.800,0.512
27,"(24, 34]","(30, 35]",Male,30,26,16,19,1.154,0.842,1.370,0.596
28,"(24, 34]","(35, 40]",Female,7,3,6,11,2.333,0.545,4.278,3.671
29,"(24, 34]","(35, 40]",Male,17,7,13,13,2.429,1.000,2.429,1.453
30,"(24, 34]","(40, 45]",Female,2,2,4,8,1.000,0.500,2.000,2.347
31,"(24, 34]","(40, 45]",Male,4,3,10,11,1.333,0.909,1.467,1.293
32,"(24, 34]","(45, 50]",Female,5,2,4,3,2.500,1.333,1.875,2.126
33,"(24, 34]","(45, 50]",Male,5,3,9,6,1.667,1.500,1.111,1.002
34,"(24, 34]","(55, 60]",Female,6,5,3,1,1.200,3.000,0.400,0.522
35,"(24, 34]","(60, 65]",Female,4,1,3,1,4.000,3.000,1.333,2.144
36,"(34, 54]","(5, 10]",Male,1,6,2,5,0.167,0.400,0.417,0.570
37,"(34, 54]","(10, 15]",Female,11,20,3,15,0.550,0.200,2.750,2.027
38,"(34, 54]","(15, 20]",Female,9,27,5,17,0.333,0.294,1.133,0.725
39,"(34, 54]","(15, 20]",Male,5,7,8,13,0.714,0.615,1.161,0.859
40,"(34, 54]","(20, 25]",Female,5,10,2,5,0.500,0.400,1.250,1.252
41,"(34, 54]","(20, 25]",Male,12,8,6,11,1.500,0.545,2.750,1.882
42,"(34, 54]","(25, 30]",Female,4,2,6,10,2.000,0.600,3.333,3.365
43,"(34, 54]","(25, 30]",Male,12,23,12,14,0.522,0.857,0.609,0.324
44,"(34, 54]","(30, 35]",Female,4,8,9,9,0.500,1.000,0.500,0.387
45,"(34, 54]","(30, 35]",Male,17,24,13,16,0.708,0.812,0.872,0.429
46,"(34, 54]","(35, 40]",Female,6,6,17,11,1.000,1.545,0.647,0.451
47,"(34, 54]","(35, 40]",Male,34,34,15,11,1.000,1.364,0.733,0.343
48,"(34, 54]","(40, 45]",Female,9,6,13,18,1.500,0.722,2.077,1.334
49,"(34, 54]","(40, 45]",Male,39,43,11,9,0.907,1.222,0.742,0.374
50,"(34, 54]","(45, 50]",Female,5,6,10,17,0.833,0.588,1.417,1.029
51,"(34, 54]","(45, 50]",Male,37,35,8,9,1.057,0.889,1.189,0.645
52,"(34, 54]","(50, 55]",Female,9,5,11,12,1.800,0.917,1.964,1.372
53,"(34, 54]","(50, 55]",Male,19,25,9,7,0.760,1.286,0.591,0.349
54,"(34, 54]","(55, 60]",Female,11,5,8,3,2.200,2.667,0.825,0.715
55,"(34, 54]","(55, 60]",Male,11,7,8,3,1.571,2.667,0.589,0.491
56,"(34, 54]","(60, 65]",Female,11,2,3,1,5.500,3.000,1.833,2.545
57,"(34, 54]","(60, 65]",Male,7,4,7,5,1.750,1.400,1.250,1.074
58,"(34, 54]","(65, 70]",Female,8,3,7,4,2.667,1.750,1.524,1.408
59,"(34, 54]","(65, 70]",Male,12,1,8,4,12.000,2.000,6.000,7.252
60,"(34, 54]","(70, 75]",Male,8,2,3,1,4.000,3.000,1.333,1.867
61,"(54, 100]","(5, 10]",Female,1,4,1,6,0.250,0.167,1.500,2.333
62,"(54, 100]","(10, 15]",Female,1,11,5,12,0.091,0.417,0.218,0.256
63,"(54, 100]","(10, 15]",Male,2,6,1,6,0.333,0.167,2.000,2.710
64,"(54, 100]","(15, 20]",Female,5,13,1,5,0.385,0.200,1.923,2.339
65,"(54, 100]","(20, 25]",Female,6,8,2,1,0.750,2.000,0.375,0.502
66,"(54, 100]","(20, 25]",Male,2,3,2,7,0.667,0.286,2.333,2.837
67,"(54, 100]","(25, 30]",Female,2,1,2,2,2.000,1.000,2.000,3.164
68,"(54, 100]","(25, 30]",Male,2,3,2,8,0.667,0.250,2.667,3.223
69,"(54, 100]","(30, 35]",Female,1,7,1,2,0.143,0.500,0.286,0.465
70,"(54, 100]","(35, 40]",Female,2,6,3,4,0.333,0.750,0.444,0.497
71,"(54, 100]","(35, 40]",Male,1,11,5,7,0.091,0.714,0.127,0.153
72,"(54, 100]","(40, 45]",Female,4,6,7,9,0.667,0.778,0.857,0.703
73,"(54, 100]","(40, 45]",Male,4,2,5,9,2.000,0.556,3.600,3.713
74,"(54, 100]","(45, 50]",Female,5,7,3,6,0.714,0.500,1.429,1.313
75,"(54, 100]","(45, 50]",Male,11,14,2,7,0.786,0.286,2.750,2.471
76,"(54, 100]","(50, 55]",Female,8,14,2,12,0.571,0.167,3.429,3.032
77,"(54, 100]","(50, 55]",Male,29,40,5,6,0.725,0.833,0.870,0.570
78,"(54, 100]","(55, 60]",Female,11,18,7,20,0.611,0.350,1.746,1.021
79,"(54, 100]","(55, 60]",Male,55,42,9,9,1.310,1.000,1.310,0.676
80,"(54, 100]","(60, 65]",Female,10,10,21,18,1.000,1.167,0.857,0.474
81,"(54, 100]","(60, 65]",Male,59,53,9,8,1.113,1.125,0.990,0.518
82,"(54, 100]","(65, 70]",Female,16,11,16,15,1.455,1.067,1.364,0.728
83,"(54, 100]","(65, 70]",Male,82,69,9,9,1.188,1.000,1.188,0.596
84,"(54, 100]","(70, 75]",Female,18,15,25,15,1.200,1.667,0.720,0.346
85,"(54, 100]","(70, 75]",Male,110,92,6,5,1.196,1.200,0.996,0.622
86,"(54, 100]","(75, 80]",Female,37,11,37,12,3.364,3.083,1.091,0.524
87,"(54, 100]","(75, 80]",Male,130,84,9,4,1.548,2.250,0.688,0.426
88,"(54, 100]","(80, 85]",Female,37,17,33,21,2.176,1.571,1.385,0.565
89,"(54, 100]","(80, 85]",Male,116,93,13,11,1.247,1.182,1.055,0.460
