,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,62,49,49,38,1.265,1.289,0.981,0.287
1,"(15, 24]","(0, 5]",Male,16,5,12,3,3.200,4.000,0.800,0.661
2,"(15, 24]","(5, 10]",Female,24,18,17,14,1.333,1.214,1.098,0.527
3,"(15, 24]","(5, 10]",Male,11,9,11,7,1.222,1.571,0.778,0.515
4,"(15, 24]","(10, 15]",Female,145,144,46,54,1.007,0.852,1.182,0.281
5,"(15, 24]","(10, 15]",Male,102,101,178,166,1.010,1.072,0.942,0.173
6,"(15, 24]","(15, 20]",Female,453,431,159,214,1.051,0.743,1.415,0.190
7,"(15, 24]","(15, 20]",Male,524,413,904,922,1.269,0.980,1.294,0.123
8,"(15, 24]","(20, 25]",Female,171,166,132,171,1.030,0.772,1.334,0.222
9,"(15, 24]","(20, 25]",Male,239,193,436,464,1.238,0.940,1.318,0.168
10,"(15, 24]","(25, 30]",Female,34,26,34,44,1.308,0.773,1.692,0.592
11,"(15, 24]","(25, 30]",Male,51,32,106,87,1.594,1.218,1.308,0.357
12,"(15, 24]","(30, 35]",Female,16,15,18,18,1.067,1.000,1.067,0.526
13,"(15, 24]","(30, 35]",Male,15,10,38,33,1.500,1.152,1.303,0.619
14,"(15, 24]","(35, 40]",Female,37,24,8,7,1.542,1.143,1.349,0.785
15,"(15, 24]","(35, 40]",Male,17,11,19,22,1.545,0.864,1.789,0.895
16,"(15, 24]","(40, 45]",Female,39,22,10,7,1.773,1.429,1.241,0.698
17,"(15, 24]","(40, 45]",Male,36,14,20,17,2.571,1.176,2.186,1.003
18,"(15, 24]","(45, 50]",Female,45,19,12,5,2.368,2.400,0.987,0.593
19,"(15, 24]","(45, 50]",Male,24,10,14,7,2.400,2.000,1.200,0.718
20,"(15, 24]","(50, 55]",Female,30,15,7,1,2.000,7.000,0.286,0.319
