,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.889,0.656,3.000
1,"(5, 10]",1.008,0.334,8.000
2,"(10, 15]",0.800,0.170,13.000
3,"(15, 20]",1.157,0.172,18.000
4,"(20, 25]",1.083,0.170,23.000
5,"(25, 30]",1.349,0.258,28.000
6,"(30, 35]",1.082,0.209,33.000
7,"(35, 40]",1.185,0.239,38.000
8,"(40, 45]",1.193,0.252,43.000
9,"(45, 50]",1.117,0.209,48.000
10,"(50, 55]",0.870,0.163,53.000
11,"(55, 60]",0.992,0.207,58.000
12,"(60, 65]",1.092,0.217,63.000
13,"(65, 70]",0.956,0.215,68.000
14,"(70, 75]",0.719,0.162,73.000
15,"(75, 80]",1.039,0.235,78.000
16,"(80, 85]",1.385,0.354,83.000
17,"(85, 90]",2.340,0.867,88.000
18,"(90, 95]",1.633,0.858,93.000
19,"(95, 100]",1.000,1.582,98.000
