,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,31,31,80,111,1.000,0.721,1.387,0.413
1,"(15, 24]","(15, 22]",Male,35,28,336,298,1.250,1.128,1.109,0.300
2,"(15, 24]","(22, 27]",Female,14,7,54,42,2.000,1.286,1.556,0.792
3,"(15, 24]","(22, 27]",Male,10,5,112,84,2.000,1.333,1.500,0.853
4,"(15, 24]","(27, 32]",Female,2,4,22,23,0.500,0.957,0.523,0.479
5,"(15, 24]","(27, 32]",Male,6,8,35,31,0.750,1.129,0.664,0.396
6,"(15, 24]","(32, 37]",Female,5,5,11,10,1.000,1.100,0.909,0.700
7,"(15, 24]","(32, 37]",Male,2,6,22,15,0.333,1.467,0.227,0.201
8,"(15, 24]","(37, 42]",Female,5,2,8,5,2.500,1.600,1.562,1.584
9,"(15, 24]","(37, 42]",Male,5,2,14,11,2.500,1.273,1.964,1.827
10,"(15, 24]","(42, 47]",Female,1,1,3,1,1.000,3.000,0.333,0.609
11,"(15, 24]","(42, 47]",Male,5,1,14,5,5.000,2.800,1.786,2.168
12,"(15, 24]","(47, 52]",Female,3,1,2,1,3.000,2.000,1.500,2.526
13,"(24, 34]","(15, 22]",Female,3,5,10,11,0.600,0.909,0.660,0.563
14,"(24, 34]","(15, 22]",Male,10,10,27,27,1.000,1.000,1.000,0.526
15,"(24, 34]","(22, 27]",Female,5,6,43,42,0.833,1.024,0.814,0.525
16,"(24, 34]","(22, 27]",Male,27,14,76,69,1.929,1.101,1.751,0.652
17,"(24, 34]","(27, 32]",Female,3,6,46,52,0.500,0.885,0.565,0.417
18,"(24, 34]","(27, 32]",Male,15,13,58,52,1.154,1.115,1.034,0.442
19,"(24, 34]","(32, 37]",Female,11,6,33,38,1.833,0.868,2.111,1.188
20,"(24, 34]","(32, 37]",Male,9,7,30,30,1.286,1.000,1.286,0.731
21,"(24, 34]","(37, 42]",Female,5,2,19,12,2.500,1.583,1.579,1.446
22,"(24, 34]","(37, 42]",Male,7,3,18,15,2.333,1.200,1.944,1.507
23,"(24, 34]","(42, 47]",Female,5,3,10,11,1.667,0.909,1.833,1.563
24,"(24, 34]","(42, 47]",Male,2,1,7,10,2.000,0.700,2.857,3.775
25,"(24, 34]","(47, 52]",Female,2,2,5,5,1.000,1.000,1.000,1.184
26,"(24, 34]","(47, 52]",Male,1,1,17,9,1.000,1.889,0.529,0.780
27,"(24, 34]","(52, 57]",Male,1,1,9,1,1.000,9.000,0.111,0.196
28,"(34, 54]","(15, 22]",Female,1,2,5,5,0.500,1.000,0.500,0.690
29,"(34, 54]","(22, 27]",Female,2,9,4,14,0.222,0.286,0.778,0.752
30,"(34, 54]","(22, 27]",Male,4,10,31,41,0.400,0.756,0.529,0.338
31,"(34, 54]","(27, 32]",Female,5,6,15,18,0.833,0.833,1.000,0.701
32,"(34, 54]","(27, 32]",Male,9,8,25,35,1.125,0.714,1.575,0.873
33,"(34, 54]","(32, 37]",Female,4,2,32,33,2.000,0.970,2.062,1.861
34,"(34, 54]","(32, 37]",Male,20,18,33,41,1.111,0.805,1.380,0.557
35,"(34, 54]","(37, 42]",Female,4,2,41,43,2.000,0.953,2.098,1.876
36,"(34, 54]","(37, 42]",Male,25,22,37,35,1.136,1.057,1.075,0.407
37,"(34, 54]","(42, 47]",Female,3,2,36,42,1.500,0.857,1.750,1.649
38,"(34, 54]","(42, 47]",Male,11,12,24,20,0.917,1.200,0.764,0.396
39,"(34, 54]","(47, 52]",Female,4,5,42,36,0.800,1.167,0.686,0.487
40,"(34, 54]","(47, 52]",Male,8,9,28,22,0.889,1.273,0.698,0.395
41,"(34, 54]","(52, 57]",Female,5,3,25,23,1.667,1.087,1.533,1.207
42,"(34, 54]","(52, 57]",Male,5,6,17,16,0.833,1.062,0.784,0.549
43,"(34, 54]","(57, 62]",Male,2,1,7,3,2.000,2.333,0.857,1.206
44,"(34, 54]","(62, 67]",Female,4,1,5,4,4.000,1.250,3.200,4.175
45,"(34, 54]","(62, 67]",Male,1,2,10,3,0.500,3.333,0.150,0.209
46,"(34, 54]","(67, 72]",Female,5,1,4,2,5.000,2.000,2.500,3.493
47,"(54, 100]","(15, 22]",Female,1,3,1,3,0.333,0.333,1.000,1.634
48,"(54, 100]","(27, 32]",Female,1,6,1,4,0.167,0.250,0.667,1.037
49,"(54, 100]","(32, 37]",Male,1,4,2,8,0.250,0.250,1.000,1.370
50,"(54, 100]","(37, 42]",Male,4,4,5,8,1.000,0.625,1.600,1.455
51,"(54, 100]","(42, 47]",Female,5,6,2,5,0.833,0.400,2.083,2.154
52,"(54, 100]","(42, 47]",Male,1,5,3,7,0.200,0.429,0.467,0.605
53,"(54, 100]","(47, 52]",Female,6,8,4,8,0.750,0.500,1.500,1.227
54,"(54, 100]","(47, 52]",Male,5,9,8,9,0.556,0.889,0.625,0.463
55,"(54, 100]","(52, 57]",Female,2,2,9,9,1.000,1.000,1.000,1.107
56,"(54, 100]","(52, 57]",Male,8,6,11,9,1.333,1.222,1.091,0.768
57,"(54, 100]","(57, 62]",Female,1,4,23,21,0.250,1.095,0.228,0.265
58,"(54, 100]","(57, 62]",Male,8,7,7,5,1.143,1.400,0.816,0.639
59,"(54, 100]","(62, 67]",Female,3,4,17,20,0.750,0.850,0.882,0.735
60,"(54, 100]","(62, 67]",Male,7,10,3,4,0.700,0.750,0.933,0.850
61,"(54, 100]","(67, 72]",Female,2,2,23,22,1.000,1.045,0.957,0.999
62,"(54, 100]","(67, 72]",Male,8,9,3,4,0.889,0.750,1.185,1.075
63,"(54, 100]","(72, 77]",Female,1,3,25,27,0.333,0.926,0.360,0.428
64,"(54, 100]","(72, 77]",Male,6,8,5,7,0.750,0.714,1.050,0.838
65,"(54, 100]","(77, 82]",Male,3,3,4,3,1.000,1.333,0.750,0.839
66,"(54, 100]","(82, 87]",Female,2,2,12,13,1.000,0.923,1.083,1.168
67,"(54, 100]","(82, 87]",Male,1,2,2,2,0.500,1.000,0.500,0.791
