,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,2,3,4,1,0.667,4.000,0.167,0.241
1,"(15, 24]","(5, 10]",Male,1,1,1,2,1.000,0.500,2.000,3.743
2,"(15, 24]","(10, 15]",Female,6,6,1,2,1.000,0.500,2.000,2.710
3,"(15, 24]","(10, 15]",Male,14,9,23,25,1.556,0.920,1.691,0.876
4,"(15, 24]","(15, 20]",Female,29,30,11,17,0.967,0.647,1.494,0.701
5,"(15, 24]","(15, 20]",Male,90,66,208,248,1.364,0.839,1.626,0.315
6,"(15, 24]","(20, 25]",Female,7,12,22,30,0.583,0.733,0.795,0.441
7,"(15, 24]","(20, 25]",Male,45,45,152,167,1.000,0.910,1.099,0.268
8,"(15, 24]","(25, 30]",Female,4,3,9,7,1.333,1.286,1.037,0.950
9,"(15, 24]","(25, 30]",Male,15,19,31,36,0.789,0.861,0.917,0.391
10,"(15, 24]","(30, 35]",Female,1,1,3,5,1.000,0.600,1.667,2.654
11,"(15, 24]","(30, 35]",Male,7,3,19,12,2.333,1.583,1.474,1.155
12,"(15, 24]","(35, 40]",Male,4,2,9,10,2.000,0.900,2.222,2.181
13,"(15, 24]","(40, 45]",Female,2,2,1,1,1.000,1.000,1.000,1.733
14,"(15, 24]","(40, 45]",Male,1,2,9,4,0.500,2.250,0.222,0.303
15,"(24, 34]","(0, 5]",Female,2,1,5,3,2.000,1.667,1.200,1.712
16,"(24, 34]","(5, 10]",Female,8,5,3,5,1.600,0.600,2.667,2.474
17,"(24, 34]","(5, 10]",Male,2,4,6,3,0.500,2.000,0.250,0.280
18,"(24, 34]","(10, 15]",Female,7,9,4,5,0.778,0.800,0.972,0.817
19,"(24, 34]","(10, 15]",Male,1,3,4,3,0.333,1.333,0.250,0.346
20,"(24, 34]","(15, 20]",Male,12,16,16,28,0.750,0.571,1.312,0.652
21,"(24, 34]","(20, 25]",Female,7,7,15,16,1.000,0.938,1.067,0.689
22,"(24, 34]","(20, 25]",Male,44,51,68,71,0.863,0.958,0.901,0.244
23,"(24, 34]","(25, 30]",Female,8,6,12,22,1.333,0.545,2.444,1.590
24,"(24, 34]","(25, 30]",Male,60,54,55,74,1.111,0.743,1.495,0.394
25,"(24, 34]","(30, 35]",Female,6,6,11,12,1.000,0.917,1.091,0.779
26,"(24, 34]","(30, 35]",Male,36,30,47,43,1.200,1.093,1.098,0.361
27,"(24, 34]","(35, 40]",Female,2,1,11,11,2.000,1.000,2.000,2.596
28,"(24, 34]","(35, 40]",Male,20,12,25,25,1.667,1.000,1.667,0.774
29,"(24, 34]","(40, 45]",Female,2,3,3,1,0.667,3.000,0.222,0.327
30,"(24, 34]","(40, 45]",Male,10,12,24,12,0.833,2.000,0.417,0.232
31,"(24, 34]","(45, 50]",Female,3,1,4,3,3.000,1.333,2.250,3.117
32,"(24, 34]","(45, 50]",Male,5,4,13,6,1.250,2.167,0.577,0.481
33,"(34, 54]","(0, 5]",Female,1,1,2,1,1.000,2.000,0.500,0.936
34,"(34, 54]","(0, 5]",Male,1,3,3,3,0.333,1.000,0.333,0.472
35,"(34, 54]","(5, 10]",Male,1,4,1,5,0.250,0.200,1.250,1.958
36,"(34, 54]","(10, 15]",Female,6,13,6,11,0.462,0.545,0.846,0.601
37,"(34, 54]","(10, 15]",Male,1,3,9,13,0.333,0.692,0.481,0.594
38,"(34, 54]","(15, 20]",Female,6,9,5,10,0.667,0.500,1.333,1.016
39,"(34, 54]","(15, 20]",Male,5,10,11,28,0.500,0.393,1.273,0.834
40,"(34, 54]","(20, 25]",Male,12,16,23,39,0.750,0.590,1.272,0.593
41,"(34, 54]","(25, 30]",Female,7,11,3,9,0.636,0.333,1.909,1.575
42,"(34, 54]","(25, 30]",Male,23,19,27,30,1.211,0.900,1.345,0.553
43,"(34, 54]","(30, 35]",Female,3,5,5,9,0.600,0.556,1.080,0.994
44,"(34, 54]","(30, 35]",Male,30,31,23,35,0.968,0.657,1.473,0.551
45,"(34, 54]","(35, 40]",Female,4,3,13,19,1.333,0.684,1.949,1.648
46,"(34, 54]","(35, 40]",Male,59,50,32,33,1.180,0.970,1.217,0.387
47,"(34, 54]","(40, 45]",Female,3,5,23,20,0.600,1.150,0.522,0.414
48,"(34, 54]","(40, 45]",Male,35,43,30,39,0.814,0.769,1.058,0.356
49,"(34, 54]","(45, 50]",Female,5,6,12,11,0.833,1.091,0.764,0.563
50,"(34, 54]","(45, 50]",Male,30,33,26,20,0.909,1.300,0.699,0.275
51,"(34, 54]","(50, 55]",Female,2,1,12,7,2.000,1.714,1.167,1.534
52,"(34, 54]","(50, 55]",Male,20,15,25,18,1.333,1.389,0.960,0.445
53,"(34, 54]","(55, 60]",Female,4,5,7,6,0.800,1.167,0.686,0.599
54,"(34, 54]","(55, 60]",Male,6,4,15,10,1.500,1.500,1.000,0.765
55,"(34, 54]","(60, 65]",Female,5,4,2,2,1.250,1.000,1.250,1.506
56,"(34, 54]","(60, 65]",Male,4,1,6,6,4.000,1.000,4.000,5.037
57,"(34, 54]","(65, 70]",Female,4,2,3,1,2.000,3.000,0.667,0.963
58,"(34, 54]","(75, 80]",Male,1,1,3,1,1.000,3.000,0.333,0.609
59,"(54, 100]","(5, 10]",Female,1,1,2,3,1.000,0.667,1.500,2.526
60,"(54, 100]","(10, 15]",Female,1,4,1,2,0.250,0.500,0.500,0.830
61,"(54, 100]","(25, 30]",Male,2,4,4,9,0.500,0.444,1.125,1.187
