,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,9,10,4,1,0.900,4.000,0.225,0.272
1,"(15, 24]","(0, 5]",Male,4,4,12,5,1.000,2.400,0.417,0.369
2,"(15, 24]","(5, 10]",Female,1,3,2,1,0.333,2.000,0.167,0.281
3,"(15, 24]","(5, 10]",Male,3,1,10,6,3.000,1.667,1.800,2.279
4,"(15, 24]","(10, 15]",Female,32,26,10,12,1.231,0.833,1.477,0.747
5,"(15, 24]","(10, 15]",Male,62,55,117,102,1.127,1.147,0.983,0.231
6,"(15, 24]","(15, 20]",Female,98,120,52,98,0.817,0.531,1.539,0.346
7,"(15, 24]","(15, 20]",Male,337,292,846,959,1.154,0.882,1.308,0.138
8,"(15, 24]","(20, 25]",Female,39,51,71,99,0.765,0.717,1.066,0.286
9,"(15, 24]","(20, 25]",Male,169,151,548,626,1.119,0.875,1.279,0.174
10,"(15, 24]","(25, 30]",Female,9,7,32,43,1.286,0.744,1.728,0.963
11,"(15, 24]","(25, 30]",Male,49,31,147,139,1.581,1.058,1.495,0.393
12,"(15, 24]","(30, 35]",Female,6,5,13,21,1.200,0.619,1.938,1.362
13,"(15, 24]","(30, 35]",Male,22,9,86,58,2.444,1.483,1.649,0.715
14,"(15, 24]","(35, 40]",Female,8,10,3,9,0.800,0.333,2.400,1.967
15,"(15, 24]","(35, 40]",Male,21,10,50,27,2.100,1.852,1.134,0.516
16,"(15, 24]","(40, 45]",Female,6,5,9,11,1.200,0.818,1.467,1.108
17,"(15, 24]","(40, 45]",Male,17,10,50,31,1.700,1.613,1.054,0.487
18,"(15, 24]","(45, 50]",Female,6,2,4,2,3.000,2.000,1.500,1.787
19,"(15, 24]","(45, 50]",Male,9,3,24,16,3.000,1.500,2.000,1.485
20,"(15, 24]","(50, 55]",Male,6,3,26,12,2.000,2.167,0.923,0.729
21,"(15, 24]","(55, 60]",Male,1,1,5,4,1.000,1.250,0.800,1.253
22,"(15, 24]","(70, 75]",Male,1,1,3,1,1.000,3.000,0.333,0.609
23,"(15, 24]","(75, 80]",Male,1,1,1,2,1.000,0.500,2.000,3.743
24,"(24, 34]","(0, 5]",Female,9,20,11,13,0.450,0.846,0.532,0.306
25,"(24, 34]","(0, 5]",Male,4,7,10,15,0.571,0.667,0.857,0.643
26,"(24, 34]","(5, 10]",Female,19,16,8,13,1.188,0.615,1.930,1.091
27,"(24, 34]","(5, 10]",Male,8,9,20,11,0.889,1.818,0.489,0.301
28,"(24, 34]","(10, 15]",Female,16,27,11,20,0.593,0.550,1.077,0.531
29,"(24, 34]","(10, 15]",Male,3,5,23,33,0.600,0.697,0.861,0.672
30,"(24, 34]","(15, 20]",Female,12,28,6,7,0.429,0.857,0.500,0.328
31,"(24, 34]","(15, 20]",Male,41,43,70,130,0.953,0.538,1.771,0.476
32,"(24, 34]","(20, 25]",Female,22,30,22,41,0.733,0.537,1.367,0.531
33,"(24, 34]","(20, 25]",Male,146,136,231,337,1.074,0.685,1.566,0.243
34,"(24, 34]","(25, 30]",Female,17,35,37,57,0.486,0.649,0.748,0.274
35,"(24, 34]","(25, 30]",Male,144,136,246,290,1.059,0.848,1.248,0.195
36,"(24, 34]","(30, 35]",Female,17,18,34,54,0.944,0.630,1.500,0.609
37,"(24, 34]","(30, 35]",Male,100,70,146,162,1.429,0.901,1.585,0.316
38,"(24, 34]","(35, 40]",Female,13,12,21,32,1.083,0.656,1.651,0.811
39,"(24, 34]","(35, 40]",Male,51,34,92,95,1.500,0.968,1.549,0.418
40,"(24, 34]","(40, 45]",Female,8,5,11,14,1.600,0.786,2.036,1.425
41,"(24, 34]","(40, 45]",Male,23,20,63,50,1.150,1.260,0.913,0.331
42,"(24, 34]","(45, 50]",Female,13,5,13,11,2.600,1.182,2.200,1.471
43,"(24, 34]","(45, 50]",Male,18,10,45,31,1.800,1.452,1.240,0.572
44,"(24, 34]","(50, 55]",Female,13,4,4,2,3.250,2.000,1.625,1.688
45,"(24, 34]","(50, 55]",Male,7,2,40,24,3.500,1.667,2.100,1.772
46,"(24, 34]","(55, 60]",Female,6,2,4,2,3.000,2.000,1.500,1.787
47,"(24, 34]","(55, 60]",Male,7,3,28,12,2.333,2.333,1.000,0.773
