,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.277,0.089,19.000
1,"(22, 27]",1.410,0.147,25.000
2,"(27, 32]",1.359,0.179,30.000
3,"(32, 37]",1.371,0.192,35.000
4,"(37, 42]",1.376,0.213,40.000
5,"(42, 47]",0.954,0.160,45.000
6,"(47, 52]",0.936,0.186,50.000
7,"(52, 57]",0.969,0.208,55.000
8,"(57, 62]",1.006,0.264,60.000
9,"(62, 67]",0.958,0.279,65.000
10,"(67, 72]",0.457,0.156,70.000
11,"(72, 77]",0.859,0.252,75.000
12,"(77, 82]",1.197,0.388,80.000
13,"(82, 87]",1.136,0.445,85.000
14,"(87, 92]",0.710,0.538,90.000
15,"(92, 97]",2.500,3.262,95.000
