,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,9,8,14,11,1.125,1.273,0.884,0.560
1,"(15, 24]","(0, 5]",Male,6,4,6,10,1.500,0.600,2.500,2.070
2,"(15, 24]","(5, 10]",Female,7,8,5,1,0.875,5.000,0.175,0.212
3,"(15, 24]","(5, 10]",Male,2,2,13,10,1.000,1.300,0.769,0.835
4,"(15, 24]","(10, 15]",Female,55,61,16,24,0.902,0.667,1.352,0.508
5,"(15, 24]","(10, 15]",Male,102,75,149,146,1.360,1.021,1.333,0.264
6,"(15, 24]","(15, 20]",Female,252,270,146,207,0.933,0.705,1.323,0.196
7,"(15, 24]","(15, 20]",Male,493,432,1163,1137,1.141,1.023,1.116,0.103
8,"(15, 24]","(20, 25]",Female,84,85,128,151,0.988,0.848,1.166,0.235
9,"(15, 24]","(20, 25]",Male,185,158,682,684,1.171,0.997,1.174,0.154
10,"(15, 24]","(25, 30]",Female,22,26,42,42,0.846,1.000,0.846,0.310
11,"(15, 24]","(25, 30]",Male,54,51,166,148,1.059,1.122,0.944,0.218
12,"(15, 24]","(30, 35]",Female,12,13,14,13,0.923,1.077,0.857,0.478
13,"(15, 24]","(30, 35]",Male,32,14,66,54,2.286,1.222,1.870,0.697
14,"(15, 24]","(35, 40]",Female,10,9,5,5,1.111,1.000,1.111,0.870
15,"(15, 24]","(35, 40]",Male,20,8,61,42,2.500,1.452,1.721,0.803
16,"(15, 24]","(40, 45]",Female,9,5,7,7,1.800,1.000,1.800,1.393
17,"(15, 24]","(40, 45]",Male,13,5,38,20,2.600,1.900,1.368,0.816
18,"(15, 24]","(45, 50]",Male,9,3,18,15,3.000,1.200,2.500,1.886
19,"(15, 24]","(50, 55]",Female,9,1,1,2,9.000,0.500,18.000,29.100
20,"(15, 24]","(50, 55]",Male,10,3,8,5,3.333,1.600,2.083,1.817
21,"(15, 24]","(60, 65]",Male,2,1,4,1,2.000,4.000,0.500,0.830
22,"(24, 34]","(0, 5]",Female,14,18,16,17,0.778,0.941,0.826,0.414
23,"(24, 34]","(0, 5]",Male,5,3,12,9,1.667,1.333,1.250,1.068
24,"(24, 34]","(5, 10]",Female,14,17,21,19,0.824,1.105,0.745,0.360
25,"(24, 34]","(5, 10]",Male,4,4,10,6,1.000,1.667,0.600,0.526
26,"(24, 34]","(10, 15]",Female,23,30,8,14,0.767,0.571,1.342,0.705
27,"(24, 34]","(10, 15]",Male,5,10,15,20,0.500,0.750,0.667,0.432
28,"(24, 34]","(15, 20]",Female,15,28,9,21,0.536,0.429,1.250,0.642
29,"(24, 34]","(15, 20]",Male,56,70,76,108,0.800,0.704,1.137,0.272
30,"(24, 34]","(20, 25]",Female,33,46,27,41,0.717,0.659,1.089,0.371
31,"(24, 34]","(20, 25]",Male,167,145,233,292,1.152,0.798,1.443,0.219
32,"(24, 34]","(25, 30]",Female,28,34,47,70,0.824,0.671,1.227,0.394
33,"(24, 34]","(25, 30]",Male,145,103,230,238,1.408,0.966,1.457,0.242
34,"(24, 34]","(30, 35]",Female,14,18,53,49,0.778,1.082,0.719,0.295
35,"(24, 34]","(30, 35]",Male,84,74,133,118,1.135,1.127,1.007,0.211
36,"(24, 34]","(35, 40]",Female,10,14,16,24,0.714,0.667,1.071,0.565
37,"(24, 34]","(35, 40]",Male,40,26,77,68,1.538,1.132,1.359,0.416
38,"(24, 34]","(40, 45]",Female,10,6,20,21,1.667,0.952,1.750,1.060
39,"(24, 34]","(40, 45]",Male,24,11,59,46,2.182,1.283,1.701,0.709
40,"(24, 34]","(45, 50]",Female,8,6,11,7,1.333,1.571,0.848,0.617
41,"(24, 34]","(45, 50]",Male,12,8,38,16,1.500,2.375,0.632,0.346
