,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,444,386,1144,1349,1.150,0.848,1.356,0.128
1,"(15, 24]","(15, 22]",Male,440,286,5230,4726,1.538,1.107,1.390,0.129
2,"(15, 24]","(22, 27]",Female,117,100,575,676,1.170,0.851,1.376,0.214
3,"(15, 24]","(22, 27]",Male,127,70,1773,1389,1.814,1.276,1.421,0.229
4,"(15, 24]","(27, 32]",Female,41,23,251,240,1.783,1.046,1.704,0.478
5,"(15, 24]","(27, 32]",Male,37,25,649,432,1.480,1.502,0.985,0.267
6,"(15, 24]","(32, 37]",Female,55,30,107,91,1.833,1.176,1.559,0.425
7,"(15, 24]","(32, 37]",Male,37,22,354,209,1.682,1.694,0.993,0.285
8,"(15, 24]","(37, 42]",Female,55,26,98,56,2.115,1.750,1.209,0.357
9,"(15, 24]","(37, 42]",Male,30,16,241,147,1.875,1.639,1.144,0.378
10,"(15, 24]","(42, 47]",Female,38,19,50,24,2.000,2.083,0.960,0.363
11,"(15, 24]","(42, 47]",Male,32,12,216,100,2.667,2.160,1.235,0.448
12,"(15, 24]","(47, 52]",Female,22,7,48,15,3.143,3.200,0.982,0.518
13,"(15, 24]","(47, 52]",Male,11,3,157,44,3.667,3.568,1.028,0.694
14,"(15, 24]","(52, 57]",Female,6,1,22,17,6.000,1.294,4.636,5.232
15,"(15, 24]","(52, 57]",Male,6,1,90,36,6.000,2.500,2.400,2.638
16,"(15, 24]","(57, 62]",Female,2,2,15,4,1.000,3.750,0.267,0.306
17,"(15, 24]","(57, 62]",Male,6,2,63,15,3.000,4.200,0.714,0.619
18,"(24, 34]","(15, 22]",Female,37,40,83,147,0.925,0.565,1.638,0.444
19,"(24, 34]","(15, 22]",Male,130,100,601,689,1.300,0.872,1.490,0.228
20,"(24, 34]","(22, 27]",Female,76,74,288,393,1.027,0.733,1.401,0.263
21,"(24, 34]","(22, 27]",Male,174,115,1232,1168,1.513,1.055,1.434,0.196
22,"(24, 34]","(27, 32]",Female,76,74,457,484,1.027,0.944,1.088,0.199
23,"(24, 34]","(27, 32]",Male,163,90,1058,875,1.811,1.209,1.498,0.221
24,"(24, 34]","(32, 37]",Female,36,27,345,339,1.333,1.018,1.310,0.354
25,"(24, 34]","(32, 37]",Male,95,64,644,453,1.484,1.422,1.044,0.188
26,"(24, 34]","(37, 42]",Female,20,13,149,168,1.538,0.887,1.735,0.654
27,"(24, 34]","(37, 42]",Male,40,22,346,234,1.818,1.479,1.230,0.348
28,"(24, 34]","(42, 47]",Female,15,10,100,88,1.500,1.136,1.320,0.576
29,"(24, 34]","(42, 47]",Male,32,8,212,105,4.000,2.019,1.981,0.824
30,"(24, 34]","(47, 52]",Female,14,11,48,25,1.273,1.920,0.663,0.315
31,"(24, 34]","(47, 52]",Male,27,7,172,67,3.857,2.567,1.502,0.677
32,"(24, 34]","(52, 57]",Female,14,8,36,25,1.750,1.440,1.215,0.628
33,"(24, 34]","(52, 57]",Male,14,4,143,55,3.500,2.600,1.346,0.795
