,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,407,377,465,497,1.080,0.936,1.154,0.125
1,"(15, 24]","(15, 22]",Male,307,232,896,957,1.323,0.936,1.413,0.156
2,"(15, 24]","(22, 27]",Female,78,67,211,209,1.164,1.010,1.153,0.230
3,"(15, 24]","(22, 27]",Male,53,52,255,212,1.019,1.203,0.847,0.188
4,"(15, 24]","(27, 32]",Female,8,7,59,63,1.143,0.937,1.220,0.672
5,"(15, 24]","(27, 32]",Male,12,9,53,47,1.333,1.128,1.182,0.576
6,"(15, 24]","(32, 37]",Female,18,10,16,20,1.800,0.800,2.250,1.170
7,"(15, 24]","(32, 37]",Male,12,7,27,20,1.714,1.350,1.270,0.714
8,"(15, 24]","(37, 42]",Female,37,23,14,7,1.609,2.000,0.804,0.431
9,"(15, 24]","(37, 42]",Male,35,11,28,15,3.182,1.867,1.705,0.807
10,"(15, 24]","(42, 47]",Female,53,17,15,13,3.118,1.154,2.702,1.278
11,"(15, 24]","(42, 47]",Male,29,8,29,11,3.625,2.636,1.375,0.737
12,"(15, 24]","(47, 52]",Female,37,18,14,10,2.056,1.400,1.468,0.744
13,"(15, 24]","(47, 52]",Male,11,7,35,15,1.571,2.333,0.673,0.388
14,"(15, 24]","(52, 57]",Female,28,11,13,5,2.545,2.600,0.979,0.624
15,"(15, 24]","(52, 57]",Male,14,5,9,4,2.800,2.250,1.244,0.992
16,"(15, 24]","(57, 62]",Female,16,4,4,2,4.000,2.000,2.000,2.064
17,"(15, 24]","(57, 62]",Male,11,4,10,2,2.750,5.000,0.550,0.534
18,"(15, 24]","(62, 67]",Female,7,1,2,1,7.000,2.000,3.500,5.693
19,"(15, 24]","(62, 67]",Male,2,1,8,1,2.000,8.000,0.250,0.405
20,"(15, 24]","(67, 72]",Female,10,3,3,1,3.333,3.000,1.111,1.478
21,"(15, 24]","(72, 77]",Male,4,1,6,1,4.000,6.000,0.667,1.037
22,"(15, 24]","(77, 82]",Female,4,1,3,1,4.000,3.000,1.333,2.144
23,"(15, 24]","(77, 82]",Male,2,1,3,1,2.000,3.000,0.667,1.123
24,"(24, 34]","(15, 22]",Female,22,26,33,29,0.846,1.138,0.744,0.289
25,"(24, 34]","(15, 22]",Male,46,44,62,98,1.045,0.633,1.652,0.447
26,"(24, 34]","(22, 27]",Female,47,54,116,143,0.870,0.811,1.073,0.258
27,"(24, 34]","(22, 27]",Male,101,83,175,192,1.217,0.911,1.335,0.251
28,"(24, 34]","(27, 32]",Female,44,39,145,142,1.128,1.021,1.105,0.281
29,"(24, 34]","(27, 32]",Male,76,59,118,111,1.288,1.063,1.212,0.271
30,"(24, 34]","(32, 37]",Female,17,12,112,86,1.417,1.302,1.088,0.442
31,"(24, 34]","(32, 37]",Male,33,20,54,52,1.650,1.038,1.589,0.552
32,"(24, 34]","(37, 42]",Female,8,6,44,42,1.333,1.048,1.273,0.743
33,"(24, 34]","(37, 42]",Male,16,9,27,30,1.778,0.900,1.975,0.981
34,"(24, 34]","(42, 47]",Female,7,4,27,21,1.750,1.286,1.361,0.943
35,"(24, 34]","(42, 47]",Male,9,5,19,12,1.800,1.583,1.137,0.762
36,"(24, 34]","(47, 52]",Female,19,16,11,6,1.188,1.833,0.648,0.397
37,"(24, 34]","(47, 52]",Male,12,8,21,9,1.500,2.333,0.643,0.391
38,"(24, 34]","(52, 57]",Female,21,4,14,5,5.250,2.800,1.875,1.418
39,"(24, 34]","(52, 57]",Male,6,4,7,7,1.500,1.000,1.500,1.259
40,"(24, 34]","(57, 62]",Female,12,6,11,3,2.000,3.667,0.545,0.449
41,"(24, 34]","(62, 67]",Female,3,2,10,2,1.500,5.000,0.300,0.359
42,"(24, 34]","(67, 72]",Male,3,2,3,1,1.500,3.000,0.500,0.736
43,"(24, 34]","(72, 77]",Female,5,2,5,2,2.500,2.500,1.000,1.184
44,"(34, 54]","(15, 22]",Female,37,55,28,57,0.673,0.491,1.369,0.435
45,"(34, 54]","(15, 22]",Male,15,26,41,59,0.577,0.695,0.830,0.320
46,"(34, 54]","(22, 27]",Female,27,45,20,38,0.600,0.526,1.140,0.424
47,"(34, 54]","(22, 27]",Male,19,22,32,53,0.864,0.604,1.430,0.555
48,"(34, 54]","(27, 32]",Female,27,35,31,37,0.771,0.838,0.921,0.329
49,"(34, 54]","(27, 32]",Male,40,40,53,64,1.000,0.828,1.208,0.356
50,"(34, 54]","(32, 37]",Female,22,34,63,88,0.647,0.716,0.904,0.292
51,"(34, 54]","(32, 37]",Male,45,41,52,53,1.098,0.981,1.119,0.330
52,"(34, 54]","(37, 42]",Female,29,30,110,105,0.967,1.048,0.923,0.275
53,"(34, 54]","(37, 42]",Male,67,58,46,56,1.155,0.821,1.406,0.383
54,"(34, 54]","(42, 47]",Female,35,36,122,125,0.972,0.976,0.996,0.273
55,"(34, 54]","(42, 47]",Male,69,57,46,44,1.211,1.045,1.158,0.325
56,"(34, 54]","(47, 52]",Female,27,31,176,160,0.871,1.100,0.792,0.229
57,"(34, 54]","(47, 52]",Male,62,53,36,28,1.170,1.286,0.910,0.289
58,"(34, 54]","(52, 57]",Female,33,23,147,108,1.435,1.361,1.054,0.320
59,"(34, 54]","(52, 57]",Male,34,28,30,26,1.214,1.154,1.052,0.393
60,"(34, 54]","(57, 62]",Female,24,18,61,58,1.333,1.052,1.268,0.463
61,"(34, 54]","(57, 62]",Male,14,6,19,16,2.333,1.188,1.965,1.172
62,"(34, 54]","(62, 67]",Female,26,18,42,25,1.444,1.680,0.860,0.344
63,"(34, 54]","(62, 67]",Male,13,3,14,7,4.333,2.000,2.167,1.716
64,"(34, 54]","(67, 72]",Female,22,8,16,12,2.750,1.333,2.062,1.165
65,"(34, 54]","(67, 72]",Male,17,10,16,4,1.700,4.000,0.425,0.293
66,"(34, 54]","(72, 77]",Female,28,7,17,5,4.000,3.400,1.176,0.780
67,"(34, 54]","(72, 77]",Male,6,2,22,4,3.000,5.500,0.545,0.536
68,"(34, 54]","(77, 82]",Female,11,3,7,1,3.667,7.000,0.524,0.656
69,"(34, 54]","(82, 87]",Female,5,2,9,5,2.500,1.800,1.389,1.398
70,"(34, 54]","(87, 92]",Female,2,1,4,1,2.000,4.000,0.500,0.830
71,"(54, 100]","(15, 22]",Female,12,46,5,29,0.261,0.172,1.513,0.885
72,"(54, 100]","(15, 22]",Male,4,11,6,32,0.364,0.188,1.939,1.427
73,"(54, 100]","(22, 27]",Female,8,57,1,25,0.140,0.040,3.509,3.820
74,"(54, 100]","(22, 27]",Male,3,15,4,8,0.200,0.500,0.400,0.353
75,"(54, 100]","(27, 32]",Female,12,49,7,17,0.245,0.412,0.595,0.330
76,"(54, 100]","(27, 32]",Male,7,15,8,13,0.467,0.615,0.758,0.488
77,"(54, 100]","(32, 37]",Female,17,64,11,31,0.266,0.355,0.749,0.335
78,"(54, 100]","(32, 37]",Male,7,17,8,20,0.412,0.400,1.029,0.634
79,"(54, 100]","(37, 42]",Female,23,69,7,31,0.333,0.226,1.476,0.717
80,"(54, 100]","(37, 42]",Male,10,17,9,18,0.588,0.500,1.176,0.674
81,"(54, 100]","(42, 47]",Female,28,84,19,49,0.333,0.388,0.860,0.302
82,"(54, 100]","(42, 47]",Male,13,24,17,33,0.542,0.515,1.051,0.482
83,"(54, 100]","(47, 52]",Female,37,107,30,84,0.346,0.357,0.968,0.281
84,"(54, 100]","(47, 52]",Male,20,40,16,39,0.500,0.410,1.219,0.496
85,"(54, 100]","(52, 57]",Female,41,142,74,131,0.289,0.565,0.511,0.120
86,"(54, 100]","(52, 57]",Male,57,74,29,53,0.770,0.547,1.408,0.415
87,"(54, 100]","(57, 62]",Female,63,167,159,257,0.377,0.619,0.610,0.113
88,"(54, 100]","(57, 62]",Male,70,85,23,39,0.824,0.590,1.396,0.436
89,"(54, 100]","(62, 67]",Female,84,178,283,340,0.472,0.832,0.567,0.092
90,"(54, 100]","(62, 67]",Male,88,121,23,31,0.727,0.742,0.980,0.307
91,"(54, 100]","(67, 72]",Female,85,164,304,362,0.518,0.840,0.617,0.100
92,"(54, 100]","(67, 72]",Male,107,163,26,50,0.656,0.520,1.262,0.349
93,"(54, 100]","(72, 77]",Female,82,146,427,497,0.562,0.859,0.654,0.105
94,"(54, 100]","(72, 77]",Male,99,184,34,40,0.538,0.850,0.633,0.170
95,"(54, 100]","(77, 82]",Female,80,100,451,566,0.800,0.797,1.004,0.171
96,"(54, 100]","(77, 82]",Male,119,223,34,27,0.534,1.259,0.424,0.121
97,"(54, 100]","(82, 87]",Female,64,70,344,422,0.914,0.815,1.122,0.218
98,"(54, 100]","(82, 87]",Male,45,103,17,21,0.437,0.810,0.540,0.203
99,"(54, 100]","(87, 92]",Female,26,33,158,205,0.788,0.771,1.022,0.294
100,"(54, 100]","(87, 92]",Male,20,32,10,8,0.625,1.250,0.500,0.278
101,"(54, 100]","(92, 97]",Female,5,6,25,29,0.833,0.862,0.967,0.644
