,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,31,41,52,49,0.756,1.061,0.712,0.224
1,"(15, 24]","(15, 22]",Male,22,17,91,109,1.294,0.835,1.550,0.552
2,"(15, 24]","(22, 27]",Female,9,8,22,16,1.125,1.375,0.818,0.482
3,"(15, 24]","(22, 27]",Male,7,3,32,25,2.333,1.280,1.823,1.352
4,"(15, 24]","(27, 32]",Female,1,2,7,6,0.500,1.167,0.429,0.577
5,"(15, 24]","(32, 37]",Female,5,5,8,6,1.000,1.333,0.750,0.625
6,"(15, 24]","(32, 37]",Male,3,1,8,5,3.000,1.600,1.875,2.416
7,"(15, 24]","(37, 42]",Male,7,2,10,3,3.500,3.333,1.050,1.091
8,"(15, 24]","(42, 47]",Female,6,4,2,1,1.500,2.000,0.750,1.039
9,"(15, 24]","(42, 47]",Male,8,3,9,2,2.667,4.500,0.593,0.614
10,"(15, 24]","(47, 52]",Female,4,1,7,5,4.000,1.400,2.857,3.609
11,"(15, 24]","(52, 57]",Female,7,3,4,1,2.333,4.000,0.583,0.767
12,"(15, 24]","(72, 77]",Male,1,1,3,1,1.000,3.000,0.333,0.609
13,"(24, 34]","(15, 22]",Female,5,1,1,3,5.000,0.333,15.000,23.886
14,"(24, 34]","(15, 22]",Male,8,3,15,15,2.667,1.000,2.667,2.056
15,"(24, 34]","(22, 27]",Female,4,5,21,20,0.800,1.050,0.762,0.565
16,"(24, 34]","(22, 27]",Male,20,16,33,21,1.250,1.571,0.795,0.349
17,"(24, 34]","(27, 32]",Female,6,3,42,38,2.000,1.105,1.810,1.345
18,"(24, 34]","(27, 32]",Male,18,10,23,29,1.800,0.793,2.270,1.103
19,"(24, 34]","(32, 37]",Female,5,7,30,25,0.714,1.200,0.595,0.385
20,"(24, 34]","(32, 37]",Male,4,1,22,14,4.000,1.571,2.545,2.979
21,"(24, 34]","(37, 42]",Female,3,3,14,21,1.000,0.667,1.500,1.332
22,"(24, 34]","(37, 42]",Male,1,3,9,6,0.333,1.500,0.222,0.282
23,"(24, 34]","(42, 47]",Female,2,6,7,3,0.333,2.333,0.143,0.153
24,"(24, 34]","(47, 52]",Female,2,1,3,1,2.000,3.000,0.667,1.123
25,"(24, 34]","(52, 57]",Male,4,1,9,2,4.000,4.500,0.889,1.213
26,"(24, 34]","(57, 62]",Female,4,2,6,1,2.000,6.000,0.333,0.462
27,"(24, 34]","(62, 67]",Male,4,1,9,1,4.000,9.000,0.444,0.683
28,"(34, 54]","(15, 22]",Female,7,18,6,10,0.389,0.600,0.648,0.443
29,"(34, 54]","(15, 22]",Male,5,5,9,16,1.000,0.562,1.778,1.349
30,"(34, 54]","(22, 27]",Female,5,12,3,8,0.417,0.375,1.111,0.959
31,"(34, 54]","(22, 27]",Male,3,7,13,16,0.429,0.812,0.527,0.415
32,"(34, 54]","(27, 32]",Female,4,8,10,13,0.500,0.769,0.650,0.484
33,"(34, 54]","(27, 32]",Male,7,5,9,16,1.400,0.562,2.489,1.793
34,"(34, 54]","(32, 37]",Female,2,4,20,16,0.500,1.250,0.400,0.372
35,"(34, 54]","(32, 37]",Male,10,8,14,16,1.250,0.875,1.429,0.859
36,"(34, 54]","(37, 42]",Female,7,8,30,26,0.875,1.154,0.758,0.444
37,"(34, 54]","(37, 42]",Male,17,17,21,17,1.000,1.235,0.810,0.385
38,"(34, 54]","(42, 47]",Female,4,5,53,51,0.800,1.039,0.770,0.539
39,"(34, 54]","(42, 47]",Male,18,7,12,10,2.571,1.200,2.143,1.328
40,"(34, 54]","(47, 52]",Female,6,3,63,53,2.000,1.189,1.683,1.233
41,"(34, 54]","(47, 52]",Male,12,7,24,14,1.714,1.714,1.000,0.585
42,"(34, 54]","(52, 57]",Female,18,3,39,38,6.000,1.026,5.846,3.893
43,"(34, 54]","(52, 57]",Male,8,1,15,11,8.000,1.364,5.867,6.651
44,"(34, 54]","(57, 62]",Female,6,4,28,17,1.500,1.647,0.911,0.653
45,"(34, 54]","(62, 67]",Female,11,2,11,7,5.500,1.571,3.500,3.183
46,"(34, 54]","(62, 67]",Male,3,3,7,3,1.000,2.333,0.429,0.459
47,"(34, 54]","(67, 72]",Female,4,1,10,4,4.000,2.500,1.600,2.025
48,"(34, 54]","(72, 77]",Female,8,3,4,1,2.667,4.000,0.667,0.872
49,"(34, 54]","(72, 77]",Male,3,1,10,5,3.000,2.000,1.500,1.918
50,"(34, 54]","(77, 82]",Female,4,2,3,2,2.000,1.500,1.333,1.679
51,"(54, 100]","(15, 22]",Female,1,6,2,7,0.167,0.286,0.583,0.785
52,"(54, 100]","(22, 27]",Female,1,10,1,3,0.100,0.333,0.300,0.468
53,"(54, 100]","(22, 27]",Male,1,3,1,7,0.333,0.143,2.333,3.674
54,"(54, 100]","(27, 32]",Female,1,12,4,7,0.083,0.571,0.146,0.177
55,"(54, 100]","(27, 32]",Male,1,2,3,3,0.500,1.000,0.500,0.736
56,"(54, 100]","(32, 37]",Female,6,13,3,6,0.462,0.500,0.923,0.797
57,"(54, 100]","(32, 37]",Male,2,8,3,6,0.250,0.500,0.500,0.531
58,"(54, 100]","(37, 42]",Female,3,16,1,7,0.188,0.143,1.312,1.629
59,"(54, 100]","(37, 42]",Male,1,7,2,6,0.143,0.333,0.429,0.577
60,"(54, 100]","(42, 47]",Female,5,12,6,12,0.417,0.500,0.833,0.610
61,"(54, 100]","(42, 47]",Male,4,13,2,10,0.308,0.200,1.538,1.483
62,"(54, 100]","(47, 52]",Female,12,23,8,24,0.522,0.333,1.565,0.852
63,"(54, 100]","(47, 52]",Male,6,13,10,11,0.462,0.909,0.508,0.336
64,"(54, 100]","(52, 57]",Female,15,33,29,31,0.455,0.935,0.486,0.198
65,"(54, 100]","(52, 57]",Male,14,22,26,38,0.636,0.684,0.930,0.399
66,"(54, 100]","(57, 62]",Female,15,37,73,81,0.405,0.901,0.450,0.157
67,"(54, 100]","(57, 62]",Male,19,30,10,18,0.633,0.556,1.140,0.563
68,"(54, 100]","(62, 67]",Female,14,31,108,118,0.452,0.915,0.493,0.174
69,"(54, 100]","(62, 67]",Male,21,34,13,26,0.618,0.500,1.235,0.545
70,"(54, 100]","(67, 72]",Female,18,20,133,134,0.900,0.993,0.907,0.318
71,"(54, 100]","(67, 72]",Male,36,48,8,14,0.750,0.571,1.312,0.653
72,"(54, 100]","(72, 77]",Female,8,19,127,133,0.421,0.955,0.441,0.195
73,"(54, 100]","(72, 77]",Male,21,28,11,16,0.750,0.688,1.091,0.534
74,"(54, 100]","(77, 82]",Female,13,16,108,110,0.812,0.982,0.828,0.331
75,"(54, 100]","(77, 82]",Male,21,33,12,10,0.636,1.200,0.530,0.272
76,"(54, 100]","(82, 87]",Female,4,12,85,100,0.333,0.850,0.392,0.235
77,"(54, 100]","(82, 87]",Male,18,18,8,4,1.000,2.000,0.500,0.350
78,"(54, 100]","(87, 92]",Female,1,1,42,34,1.000,1.235,0.810,1.161
79,"(54, 100]","(87, 92]",Male,6,5,2,1,1.200,2.000,0.600,0.820
