,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.500,0.936,3.000
1,"(5, 10]",1.157,0.622,8.000
2,"(10, 15]",1.266,0.407,13.000
3,"(15, 20]",1.370,0.288,18.000
4,"(20, 25]",0.860,0.210,23.000
5,"(25, 30]",0.723,0.188,28.000
6,"(30, 35]",1.373,0.380,33.000
7,"(35, 40]",1.049,0.281,38.000
8,"(40, 45]",1.180,0.315,43.000
9,"(45, 50]",0.981,0.259,48.000
10,"(50, 55]",0.986,0.261,53.000
11,"(55, 60]",1.003,0.289,58.000
12,"(60, 65]",1.332,0.394,63.000
13,"(65, 70]",0.678,0.241,68.000
14,"(70, 75]",0.703,0.227,73.000
15,"(75, 80]",1.068,0.416,78.000
16,"(80, 85]",0.504,0.219,83.000
17,"(85, 90]",4.375,4.148,88.000
18,"(90, 95]",2.333,2.837,93.000
