,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,1,2,1,2,0.500,0.500,1.000,1.733
1,"(15, 24]","(5, 10]",Female,1,1,1,3,1.000,0.333,3.000,5.479
2,"(15, 24]","(10, 15]",Male,7,4,20,19,1.750,1.053,1.663,1.173
3,"(15, 24]","(15, 20]",Female,56,60,23,36,0.933,0.639,1.461,0.481
4,"(15, 24]","(15, 20]",Male,105,94,179,191,1.117,0.937,1.192,0.218
5,"(15, 24]","(20, 25]",Female,29,25,40,53,1.160,0.755,1.537,0.534
6,"(15, 24]","(20, 25]",Male,89,66,172,166,1.348,1.036,1.301,0.263
7,"(15, 24]","(25, 30]",Female,2,3,21,16,0.667,1.312,0.508,0.494
8,"(15, 24]","(25, 30]",Male,19,15,41,31,1.267,1.323,0.958,0.405
9,"(15, 24]","(30, 35]",Male,3,4,16,15,0.750,1.067,0.703,0.595
10,"(15, 24]","(35, 40]",Male,7,1,12,6,7.000,2.000,3.500,4.134
11,"(15, 24]","(40, 45]",Male,1,1,3,4,1.000,0.750,1.333,2.144
12,"(15, 24]","(50, 55]",Female,1,1,1,1,1.000,1.000,1.000,2.001
13,"(15, 24]","(60, 65]",Male,1,1,1,1,1.000,1.000,1.000,2.001
14,"(24, 34]","(0, 5]",Female,4,2,3,4,2.000,0.750,2.667,3.082
15,"(24, 34]","(0, 5]",Male,1,2,3,2,0.500,1.500,0.333,0.509
16,"(24, 34]","(5, 10]",Female,5,6,3,5,0.833,0.600,1.389,1.319
17,"(24, 34]","(10, 15]",Male,1,1,1,1,1.000,1.000,1.000,2.001
18,"(24, 34]","(15, 20]",Female,4,8,2,5,0.500,0.400,1.250,1.298
19,"(24, 34]","(15, 20]",Male,14,18,22,26,0.778,0.846,0.919,0.425
20,"(24, 34]","(20, 25]",Female,17,12,18,10,1.417,1.800,0.787,0.431
21,"(24, 34]","(20, 25]",Male,75,68,79,106,1.103,0.745,1.480,0.340
22,"(24, 34]","(25, 30]",Female,19,17,19,20,1.118,0.950,1.176,0.548
23,"(24, 34]","(25, 30]",Male,59,51,88,89,1.157,0.989,1.170,0.291
24,"(24, 34]","(30, 35]",Female,10,7,20,19,1.429,1.053,1.357,0.801
25,"(24, 34]","(30, 35]",Male,44,36,40,43,1.222,0.930,1.314,0.418
26,"(24, 34]","(35, 40]",Female,2,2,6,9,1.000,0.667,1.500,1.697
27,"(24, 34]","(35, 40]",Male,22,9,15,21,2.444,0.714,3.422,1.789
28,"(24, 34]","(40, 45]",Female,1,1,2,4,1.000,0.500,2.000,3.318
29,"(24, 34]","(40, 45]",Male,6,5,11,8,1.200,1.375,0.873,0.668
30,"(24, 34]","(45, 50]",Female,4,1,2,2,4.000,1.000,4.000,6.003
31,"(24, 34]","(45, 50]",Male,3,1,9,6,3.000,1.500,2.000,2.541
32,"(24, 34]","(50, 55]",Female,2,2,4,1,1.000,4.000,0.250,0.375
33,"(24, 34]","(55, 60]",Male,4,1,7,4,4.000,1.750,2.286,2.932
34,"(34, 54]","(0, 5]",Male,1,2,1,2,0.500,0.500,1.000,1.733
35,"(34, 54]","(5, 10]",Female,1,1,2,2,1.000,1.000,1.000,1.733
