,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.252,0.371,19.000
1,"(22, 27]",0.884,0.349,25.000
2,"(27, 32]",1.298,0.513,30.000
3,"(32, 37]",0.696,0.303,35.000
4,"(37, 42]",0.791,0.359,40.000
5,"(42, 47]",1.104,0.496,45.000
6,"(47, 52]",1.316,0.586,50.000
7,"(52, 57]",1.442,0.487,55.000
8,"(57, 62]",0.729,0.258,60.000
9,"(62, 67]",0.579,0.214,65.000
10,"(67, 72]",0.792,0.301,70.000
11,"(72, 77]",0.700,0.286,75.000
12,"(77, 82]",0.809,0.327,80.000
13,"(82, 87]",0.468,0.273,85.000
14,"(87, 92]",0.625,0.873,90.000
