,Subject Age,R,DeltaR,Age
0,"(5, 10]",1.332,1.099,8.000
1,"(10, 15]",1.211,0.365,13.000
2,"(15, 20]",1.039,0.155,18.000
3,"(20, 25]",0.996,0.156,23.000
4,"(25, 30]",0.988,0.204,28.000
5,"(30, 35]",0.926,0.233,33.000
6,"(35, 40]",1.058,0.290,38.000
7,"(40, 45]",1.267,0.366,43.000
8,"(45, 50]",1.451,0.438,48.000
9,"(50, 55]",1.216,0.401,53.000
10,"(55, 60]",1.110,0.344,58.000
11,"(60, 65]",1.020,0.337,63.000
12,"(65, 70]",1.454,0.476,68.000
13,"(70, 75]",0.904,0.325,73.000
14,"(75, 80]",0.917,0.348,78.000
15,"(80, 85]",1.220,0.363,83.000
16,"(85, 90]",1.341,0.551,88.000
17,"(90, 95]",0.409,0.276,93.000
