,Subject Age,R,DeltaR,Age
0,"(5, 10]",1.232,1.488,8.000
1,"(10, 15]",1.102,0.571,13.000
2,"(15, 20]",1.038,0.251,18.000
3,"(20, 25]",1.669,0.457,23.000
4,"(25, 30]",0.803,0.329,28.000
5,"(30, 35]",0.590,0.279,33.000
6,"(35, 40]",0.883,0.875,38.000
7,"(40, 45]",0.918,0.441,43.000
8,"(45, 50]",1.198,0.749,48.000
9,"(50, 55]",1.065,0.644,53.000
10,"(55, 60]",0.905,0.536,58.000
11,"(60, 65]",1.616,1.000,63.000
12,"(65, 70]",1.370,0.854,68.000
13,"(70, 75]",0.729,0.370,73.000
14,"(75, 80]",3.310,3.263,78.000
15,"(80, 85]",0.844,0.457,83.000
16,"(85, 90]",0.867,0.843,88.000
17,"(90, 95]",2.000,2.710,93.000
