,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,38,34,53,64,1.118,0.828,1.350,0.411
1,"(15, 24]","(15, 22]",Male,31,25,104,104,1.240,1.000,1.240,0.380
2,"(15, 24]","(22, 27]",Female,7,12,38,36,0.583,1.056,0.553,0.294
3,"(15, 24]","(22, 27]",Male,5,8,50,52,0.625,0.962,0.650,0.394
4,"(15, 24]","(27, 32]",Female,4,2,12,12,2.000,1.000,2.000,1.917
5,"(15, 24]","(27, 32]",Male,1,1,15,17,1.000,0.882,1.133,1.653
6,"(15, 24]","(32, 37]",Female,4,1,3,4,4.000,0.750,5.333,7.226
7,"(15, 24]","(32, 37]",Male,2,2,5,2,1.000,2.500,0.400,0.522
8,"(15, 24]","(37, 42]",Female,1,1,2,1,1.000,2.000,0.500,0.936
9,"(15, 24]","(47, 52]",Male,2,1,2,1,2.000,2.000,1.000,1.733
10,"(24, 34]","(15, 22]",Male,5,5,13,12,1.000,1.083,0.923,0.692
11,"(24, 34]","(22, 27]",Female,7,7,19,30,1.000,0.633,1.579,0.966
12,"(24, 34]","(22, 27]",Male,12,12,39,42,1.000,0.929,1.077,0.504
13,"(24, 34]","(27, 32]",Female,7,8,29,22,0.875,1.318,0.664,0.393
14,"(24, 34]","(27, 32]",Male,5,5,30,38,1.000,0.789,1.267,0.861
15,"(24, 34]","(32, 37]",Female,1,4,21,28,0.250,0.750,0.333,0.385
16,"(24, 34]","(32, 37]",Male,6,7,17,12,0.857,1.417,0.605,0.408
17,"(24, 34]","(37, 42]",Female,2,1,8,7,2.000,1.143,1.750,2.328
18,"(24, 34]","(37, 42]",Male,2,1,6,5,2.000,1.200,1.667,2.279
19,"(24, 34]","(47, 52]",Female,2,1,3,3,2.000,1.000,2.000,2.946
20,"(34, 54]","(22, 27]",Female,3,4,4,7,0.750,0.571,1.312,1.298
21,"(34, 54]","(22, 27]",Male,1,3,4,10,0.333,0.400,0.833,1.082
22,"(34, 54]","(27, 32]",Female,3,6,9,11,0.500,0.818,0.611,0.513
23,"(34, 54]","(27, 32]",Male,7,4,11,10,1.750,1.100,1.591,1.218
24,"(34, 54]","(32, 37]",Female,2,4,11,15,0.500,0.733,0.682,0.650
25,"(34, 54]","(32, 37]",Male,8,6,16,18,1.333,0.889,1.500,0.963
26,"(34, 54]","(37, 42]",Female,2,1,11,16,2.000,0.688,2.909,3.743
27,"(34, 54]","(37, 42]",Male,6,3,6,9,2.000,0.667,3.000,2.650
28,"(34, 54]","(42, 47]",Male,8,6,3,2,1.333,1.500,0.889,0.944
29,"(34, 54]","(47, 52]",Female,3,4,3,8,0.750,0.375,2.000,2.044
30,"(34, 54]","(47, 52]",Male,6,1,6,6,6.000,1.000,6.000,7.355
31,"(54, 100]","(52, 57]",Female,1,5,5,9,0.200,0.556,0.360,0.443
32,"(54, 100]","(52, 57]",Male,2,4,3,3,0.500,1.000,0.500,0.596
33,"(54, 100]","(62, 67]",Female,1,2,3,4,0.500,0.750,0.667,0.963
34,"(54, 100]","(62, 67]",Male,2,1,3,1,2.000,3.000,0.667,1.123
35,"(54, 100]","(67, 72]",Female,5,5,3,4,1.000,0.750,1.333,1.324
36,"(54, 100]","(72, 77]",Female,4,2,6,10,2.000,0.600,3.333,3.365
37,"(54, 100]","(77, 82]",Male,3,3,1,1,1.000,1.000,1.000,1.634
38,"(54, 100]","(82, 87]",Male,1,2,1,1,0.500,1.000,0.500,0.936
