,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,296,268,795,944,1.104,0.842,1.311,0.143
1,"(15, 24]","(15, 22]",Male,285,191,3937,3588,1.492,1.097,1.360,0.148
2,"(15, 24]","(22, 27]",Female,72,68,416,514,1.059,0.809,1.308,0.246
3,"(15, 24]","(22, 27]",Male,85,41,1342,1062,2.073,1.264,1.641,0.330
4,"(15, 24]","(27, 32]",Female,24,17,195,190,1.412,1.026,1.376,0.463
5,"(15, 24]","(27, 32]",Male,23,16,494,330,1.438,1.497,0.960,0.324
6,"(15, 24]","(32, 37]",Female,34,18,80,56,1.889,1.429,1.322,0.454
7,"(15, 24]","(32, 37]",Male,25,12,266,172,2.083,1.547,1.347,0.496
8,"(15, 24]","(37, 42]",Female,29,13,70,42,2.231,1.667,1.338,0.522
9,"(15, 24]","(37, 42]",Male,17,9,178,97,1.889,1.835,1.029,0.447
10,"(15, 24]","(42, 47]",Female,22,12,38,14,1.833,2.714,0.675,0.323
11,"(15, 24]","(42, 47]",Male,19,8,150,70,2.375,2.143,1.108,0.497
12,"(15, 24]","(47, 52]",Female,14,3,35,11,4.667,3.182,1.467,1.064
13,"(15, 24]","(47, 52]",Male,7,1,112,30,7.000,3.733,1.875,2.043
14,"(15, 24]","(52, 57]",Male,2,1,69,24,2.000,2.875,0.696,0.868
15,"(15, 24]","(57, 62]",Female,2,2,13,3,1.000,4.333,0.231,0.274
16,"(15, 24]","(57, 62]",Male,3,1,50,12,3.000,4.167,0.720,0.864
17,"(24, 34]","(15, 22]",Female,26,28,58,102,0.929,0.569,1.633,0.526
18,"(24, 34]","(15, 22]",Male,85,63,462,515,1.349,0.897,1.504,0.278
19,"(24, 34]","(22, 27]",Female,48,53,204,287,0.906,0.711,1.274,0.287
20,"(24, 34]","(22, 27]",Male,105,70,941,902,1.500,1.043,1.438,0.243
21,"(24, 34]","(27, 32]",Female,43,51,335,338,0.843,0.991,0.851,0.193
22,"(24, 34]","(27, 32]",Male,102,61,823,686,1.672,1.200,1.394,0.247
23,"(24, 34]","(32, 37]",Female,23,20,251,257,1.150,0.977,1.177,0.379
24,"(24, 34]","(32, 37]",Male,52,35,481,327,1.486,1.471,1.010,0.238
25,"(24, 34]","(37, 42]",Female,14,5,90,102,2.800,0.882,3.173,1.723
26,"(24, 34]","(37, 42]",Male,17,11,246,180,1.545,1.367,1.131,0.455
27,"(24, 34]","(42, 47]",Female,10,2,51,59,5.000,0.864,5.784,4.624
28,"(24, 34]","(42, 47]",Male,15,3,137,73,5.000,1.877,2.664,1.734
29,"(24, 34]","(47, 52]",Female,4,3,23,15,1.333,1.533,0.870,0.725
30,"(24, 34]","(47, 52]",Male,21,6,115,41,3.500,2.805,1.248,0.624
31,"(24, 34]","(52, 57]",Female,10,5,25,17,2.000,1.471,1.360,0.862
32,"(24, 34]","(52, 57]",Male,8,3,88,41,2.667,2.146,1.242,0.876
33,"(24, 34]","(62, 67]",Female,2,1,13,3,2.000,4.333,0.462,0.638
34,"(24, 34]","(62, 67]",Male,1,1,50,17,1.000,2.941,0.340,0.491
35,"(34, 54]","(15, 22]",Female,21,46,43,83,0.457,0.518,0.881,0.288
36,"(34, 54]","(15, 22]",Male,26,37,170,273,0.703,0.623,1.128,0.314
37,"(34, 54]","(22, 27]",Female,25,43,41,69,0.581,0.594,0.978,0.317
38,"(34, 54]","(22, 27]",Male,38,27,211,338,1.407,0.624,2.255,0.611
39,"(34, 54]","(27, 32]",Female,16,31,69,96,0.516,0.719,0.718,0.251
40,"(34, 54]","(27, 32]",Male,57,64,292,348,0.891,0.839,1.061,0.217
41,"(34, 54]","(32, 37]",Female,26,18,141,173,1.444,0.815,1.772,0.586
42,"(34, 54]","(32, 37]",Male,74,56,330,352,1.321,0.938,1.410,0.281
43,"(34, 54]","(37, 42]",Female,16,17,194,239,0.941,0.812,1.159,0.423
44,"(34, 54]","(37, 42]",Male,79,50,301,287,1.580,1.049,1.507,0.309
45,"(34, 54]","(42, 47]",Female,15,12,237,243,1.250,0.975,1.282,0.514
46,"(34, 54]","(42, 47]",Male,48,59,231,213,0.814,1.085,0.750,0.167
47,"(34, 54]","(47, 52]",Female,15,12,211,251,1.250,0.841,1.487,0.597
48,"(34, 54]","(47, 52]",Male,29,20,177,127,1.450,1.394,1.040,0.330
49,"(34, 54]","(52, 57]",Female,9,10,176,156,0.900,1.128,0.798,0.379
50,"(34, 54]","(52, 57]",Male,19,9,138,83,2.111,1.663,1.270,0.547
51,"(34, 54]","(57, 62]",Female,11,7,108,80,1.571,1.350,1.164,0.591
52,"(34, 54]","(57, 62]",Male,4,1,99,56,4.000,1.768,2.263,2.560
53,"(34, 54]","(62, 67]",Female,2,4,49,31,0.500,1.581,0.316,0.284
54,"(34, 54]","(62, 67]",Male,5,1,79,32,5.000,2.469,2.025,2.261
55,"(34, 54]","(72, 77]",Female,3,1,14,6,3.000,2.333,1.286,1.613
56,"(54, 100]","(15, 22]",Female,5,15,7,25,0.333,0.280,1.190,0.800
57,"(54, 100]","(15, 22]",Male,4,18,23,101,0.222,0.228,0.976,0.587
58,"(54, 100]","(22, 27]",Female,7,18,5,23,0.389,0.217,1.789,1.193
59,"(54, 100]","(22, 27]",Male,5,12,33,85,0.417,0.388,1.073,0.615
60,"(54, 100]","(27, 32]",Female,17,31,8,29,0.548,0.276,1.988,1.000
61,"(54, 100]","(27, 32]",Male,10,12,37,127,0.833,0.291,2.860,1.344
62,"(54, 100]","(32, 37]",Female,12,40,10,34,0.300,0.294,1.020,0.500
63,"(54, 100]","(32, 37]",Male,13,23,49,115,0.565,0.426,1.327,0.517
64,"(54, 100]","(37, 42]",Female,10,28,11,35,0.357,0.314,1.136,0.577
65,"(54, 100]","(37, 42]",Male,8,16,53,106,0.500,0.500,1.000,0.467
66,"(54, 100]","(42, 47]",Female,10,21,25,39,0.476,0.641,0.743,0.345
67,"(54, 100]","(42, 47]",Male,13,23,58,101,0.565,0.574,0.984,0.381
68,"(54, 100]","(47, 52]",Female,13,27,27,56,0.481,0.482,0.999,0.413
69,"(54, 100]","(47, 52]",Male,17,24,75,90,0.708,0.833,0.850,0.303
70,"(54, 100]","(52, 57]",Female,20,31,66,106,0.645,0.623,1.036,0.343
71,"(54, 100]","(52, 57]",Male,30,37,62,79,0.811,0.785,1.033,0.313
72,"(54, 100]","(57, 62]",Female,8,19,166,211,0.421,0.787,0.535,0.234
73,"(54, 100]","(57, 62]",Male,32,31,65,67,1.032,0.970,1.064,0.330
74,"(54, 100]","(62, 67]",Female,14,21,235,258,0.667,0.911,0.732,0.264
75,"(54, 100]","(62, 67]",Male,23,28,74,79,0.821,0.937,0.877,0.288
76,"(54, 100]","(67, 72]",Female,8,6,228,249,1.333,0.916,1.456,0.801
77,"(54, 100]","(67, 72]",Male,19,24,77,81,0.792,0.951,0.833,0.291
78,"(54, 100]","(72, 77]",Female,7,8,183,188,0.875,0.973,0.899,0.477
79,"(54, 100]","(72, 77]",Male,16,25,45,29,0.640,1.552,0.412,0.166
80,"(54, 100]","(77, 82]",Female,5,4,136,146,1.250,0.932,1.342,0.917
81,"(54, 100]","(77, 82]",Male,7,11,23,20,0.636,1.150,0.553,0.318
82,"(54, 100]","(82, 87]",Female,1,2,50,52,0.500,0.962,0.520,0.646
83,"(54, 100]","(82, 87]",Male,5,4,13,11,1.250,1.182,1.058,0.833
84,"(54, 100]","(87, 92]",Female,1,1,16,15,1.000,1.067,0.938,1.369
