,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.222,0.459,3.000
1,"(5, 10]",1.264,0.357,8.000
2,"(10, 15]",1.315,0.302,13.000
3,"(15, 20]",1.234,0.223,18.000
4,"(20, 25]",1.341,0.381,23.000
5,"(25, 30]",1.026,0.347,28.000
6,"(30, 35]",1.205,0.464,33.000
7,"(35, 40]",1.533,0.914,38.000
8,"(40, 45]",0.514,0.373,43.000
9,"(45, 50]",2.315,1.834,48.000
10,"(50, 55]",1.015,0.778,53.000
11,"(55, 60]",0.810,0.843,58.000
12,"(60, 65]",2.587,2.513,63.000
13,"(70, 75]",0.539,0.618,73.000
14,"(75, 80]",0.572,0.660,78.000
15,"(80, 85]",2.000,3.743,83.000
