,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,2422,2301,3766,4598,1.053,0.819,1.285,0.080
1,"(15, 24]","(15, 22]",Male,1669,1193,12815,12604,1.399,1.017,1.376,0.088
2,"(15, 24]","(22, 27]",Female,439,406,1747,1887,1.081,0.926,1.168,0.107
3,"(15, 24]","(22, 27]",Male,365,234,3382,2936,1.560,1.152,1.354,0.136
4,"(15, 24]","(27, 32]",Female,187,122,617,639,1.533,0.966,1.587,0.220
5,"(15, 24]","(27, 32]",Male,144,89,1008,695,1.618,1.450,1.116,0.170
6,"(15, 24]","(32, 37]",Female,132,76,234,176,1.737,1.330,1.306,0.238
7,"(15, 24]","(32, 37]",Male,105,49,428,259,2.143,1.653,1.297,0.255
8,"(15, 24]","(37, 42]",Female,176,79,116,61,2.228,1.902,1.172,0.251
9,"(15, 24]","(37, 42]",Male,92,37,246,134,2.486,1.836,1.354,0.309
10,"(15, 24]","(42, 47]",Female,127,47,71,43,2.702,1.651,1.636,0.430
11,"(15, 24]","(42, 47]",Male,66,25,178,63,2.640,2.825,0.934,0.263
12,"(15, 24]","(47, 52]",Female,77,29,65,29,2.655,2.241,1.185,0.374
13,"(15, 24]","(47, 52]",Male,33,10,143,47,3.300,3.043,1.085,0.435
14,"(15, 24]","(52, 57]",Female,57,20,43,16,2.850,2.688,1.060,0.419
15,"(15, 24]","(52, 57]",Male,21,11,73,20,1.909,3.650,0.523,0.237
16,"(15, 24]","(57, 62]",Female,39,11,29,11,3.545,2.636,1.345,0.665
17,"(15, 24]","(57, 62]",Male,26,5,44,16,5.200,2.750,1.891,1.080
18,"(15, 24]","(62, 67]",Female,22,3,33,8,7.333,4.125,1.778,1.302
19,"(15, 24]","(62, 67]",Male,10,5,43,10,2.000,4.300,0.465,0.303
20,"(15, 24]","(67, 72]",Male,6,3,21,5,2.000,4.200,0.476,0.412
21,"(15, 24]","(72, 77]",Female,3,2,15,2,1.500,7.500,0.200,0.237
22,"(24, 34]","(15, 22]",Female,192,193,255,401,0.995,0.636,1.564,0.217
23,"(24, 34]","(15, 22]",Male,372,314,1242,1371,1.185,0.906,1.308,0.130
24,"(24, 34]","(22, 27]",Female,310,310,744,962,1.000,0.773,1.293,0.138
25,"(24, 34]","(22, 27]",Male,507,415,1980,2019,1.222,0.981,1.246,0.111
26,"(24, 34]","(27, 32]",Female,256,238,1009,1234,1.076,0.818,1.315,0.147
27,"(24, 34]","(27, 32]",Male,389,275,1449,1403,1.415,1.033,1.370,0.138
28,"(24, 34]","(32, 37]",Female,150,131,705,758,1.145,0.930,1.231,0.172
29,"(24, 34]","(32, 37]",Male,186,109,733,579,1.706,1.266,1.348,0.191
30,"(24, 34]","(37, 42]",Female,73,51,306,300,1.431,1.020,1.403,0.289
31,"(24, 34]","(37, 42]",Male,94,50,362,229,1.880,1.581,1.189,0.239
32,"(24, 34]","(42, 47]",Female,52,38,142,105,1.368,1.352,1.012,0.257
33,"(24, 34]","(42, 47]",Male,55,24,182,105,2.292,1.733,1.322,0.368
34,"(24, 34]","(47, 52]",Female,68,36,84,52,1.889,1.615,1.169,0.323
35,"(24, 34]","(47, 52]",Male,34,14,129,59,2.429,2.186,1.111,0.397
36,"(24, 34]","(52, 57]",Female,63,33,73,33,1.909,2.212,0.863,0.263
37,"(24, 34]","(52, 57]",Male,21,7,94,42,3.000,2.238,1.340,0.639
38,"(24, 34]","(57, 62]",Female,37,12,42,20,3.083,2.100,1.468,0.634
39,"(24, 34]","(57, 62]",Male,11,3,55,17,3.667,3.235,1.133,0.804
40,"(24, 34]","(62, 67]",Female,25,13,30,10,1.923,3.000,0.641,0.322
41,"(24, 34]","(62, 67]",Male,13,2,39,15,6.500,2.600,2.500,2.049
42,"(24, 34]","(67, 72]",Female,13,5,22,9,2.600,2.444,1.064,0.702
43,"(24, 34]","(67, 72]",Male,4,2,22,9,2.000,2.444,0.818,0.780
44,"(24, 34]","(72, 77]",Male,5,1,22,13,5.000,1.692,2.955,3.401
45,"(34, 54]","(15, 22]",Female,181,342,125,313,0.529,0.399,1.325,0.197
46,"(34, 54]","(15, 22]",Male,83,108,287,524,0.769,0.548,1.403,0.240
47,"(34, 54]","(22, 27]",Female,123,233,141,259,0.528,0.544,0.970,0.156
48,"(34, 54]","(22, 27]",Male,120,143,358,564,0.839,0.635,1.322,0.198
49,"(34, 54]","(27, 32]",Female,118,172,178,309,0.686,0.576,1.191,0.191
50,"(34, 54]","(27, 32]",Male,185,181,446,505,1.022,0.883,1.157,0.154
51,"(34, 54]","(32, 37]",Female,121,129,371,503,0.938,0.738,1.272,0.194
52,"(34, 54]","(32, 37]",Male,275,218,451,553,1.261,0.816,1.547,0.188
53,"(34, 54]","(37, 42]",Female,144,134,536,598,1.075,0.896,1.199,0.171
54,"(34, 54]","(37, 42]",Male,247,205,441,449,1.205,0.982,1.227,0.155
55,"(34, 54]","(42, 47]",Female,124,107,575,653,1.159,0.881,1.316,0.200
56,"(34, 54]","(42, 47]",Male,207,169,289,253,1.225,1.142,1.072,0.154
57,"(34, 54]","(47, 52]",Female,84,84,640,654,1.000,0.979,1.022,0.175
58,"(34, 54]","(47, 52]",Male,125,126,226,172,0.992,1.314,0.755,0.128
59,"(34, 54]","(52, 57]",Female,74,64,532,529,1.156,1.006,1.150,0.216
60,"(34, 54]","(52, 57]",Male,61,40,187,135,1.525,1.385,1.101,0.262
61,"(34, 54]","(57, 62]",Female,75,39,263,235,1.923,1.119,1.718,0.382
62,"(34, 54]","(57, 62]",Male,29,28,139,83,1.036,1.675,0.618,0.188
63,"(34, 54]","(62, 67]",Female,64,32,154,102,2.000,1.510,1.325,0.339
64,"(34, 54]","(62, 67]",Male,29,17,86,54,1.706,1.593,1.071,0.380
