,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Male,3,6,3,10,0.500,0.300,1.667,1.612
1,"(15, 24]","(15, 20]",Female,13,10,7,9,1.300,0.778,1.671,1.100
2,"(15, 24]","(15, 20]",Male,16,19,53,45,0.842,1.178,0.715,0.285
3,"(15, 24]","(20, 25]",Female,3,2,5,11,1.500,0.455,3.300,3.503
4,"(15, 24]","(20, 25]",Male,7,6,37,32,1.167,1.156,1.009,0.614
5,"(15, 24]","(25, 30]",Male,1,1,2,6,1.000,0.333,3.000,4.901
6,"(15, 24]","(30, 35]",Female,1,1,2,1,1.000,2.000,0.500,0.936
7,"(24, 34]","(0, 5]",Female,3,1,2,1,3.000,2.000,1.500,2.526
8,"(24, 34]","(10, 15]",Male,1,1,1,1,1.000,1.000,1.000,2.001
9,"(24, 34]","(15, 20]",Male,3,2,3,8,1.500,0.375,4.000,4.550
10,"(24, 34]","(20, 25]",Female,3,3,2,3,1.000,0.667,1.500,1.839
11,"(24, 34]","(20, 25]",Male,10,8,16,12,1.250,1.333,0.938,0.573
12,"(24, 34]","(25, 30]",Female,2,2,3,6,1.000,0.500,2.000,2.452
13,"(24, 34]","(25, 30]",Male,8,6,13,14,1.333,0.929,1.436,0.955
14,"(24, 34]","(30, 35]",Female,3,1,3,4,3.000,0.750,4.000,5.541
15,"(24, 34]","(30, 35]",Male,3,1,4,8,3.000,0.500,6.000,7.848
16,"(24, 34]","(35, 40]",Male,2,1,7,6,2.000,1.167,1.714,2.308
17,"(34, 54]","(5, 10]",Male,1,1,1,1,1.000,1.000,1.000,2.001
18,"(34, 54]","(20, 25]",Male,2,5,3,6,0.400,0.500,0.800,0.877
19,"(34, 54]","(30, 35]",Male,2,2,5,3,1.000,1.667,0.600,0.744
20,"(34, 54]","(35, 40]",Male,4,1,7,3,4.000,2.333,1.714,2.254
21,"(34, 54]","(40, 45]",Female,1,3,1,3,0.333,0.333,1.000,1.634
22,"(34, 54]","(40, 45]",Male,4,5,4,5,0.800,0.800,1.000,0.950
23,"(34, 54]","(45, 50]",Female,1,1,2,4,1.000,0.500,2.000,3.318
24,"(34, 54]","(45, 50]",Male,4,2,1,1,2.000,1.000,2.000,3.318
25,"(54, 100]","(60, 65]",Male,3,3,3,1,1.000,3.000,0.333,0.472
26,"(54, 100]","(65, 70]",Male,7,6,1,2,1.167,0.500,2.333,3.141
27,"(54, 100]","(80, 85]",Male,6,5,1,1,1.200,1.000,1.200,1.847
