,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,4,2,3,4,2.000,0.750,2.667,3.082
1,"(15, 24]","(0, 5]",Male,3,1,4,3,3.000,1.333,2.250,3.117
2,"(15, 24]","(5, 10]",Female,3,2,3,2,1.500,1.500,1.000,1.292
3,"(15, 24]","(5, 10]",Male,2,1,6,3,2.000,2.000,1.000,1.415
4,"(15, 24]","(10, 15]",Female,24,18,7,10,1.333,0.700,1.905,1.115
5,"(15, 24]","(10, 15]",Male,25,22,49,50,1.136,0.980,1.160,0.415
6,"(15, 24]","(15, 20]",Female,76,82,30,36,0.927,0.833,1.112,0.332
7,"(15, 24]","(15, 20]",Male,137,107,238,265,1.280,0.898,1.426,0.235
8,"(15, 24]","(20, 25]",Female,18,30,26,45,0.600,0.578,1.038,0.405
9,"(15, 24]","(20, 25]",Male,57,59,140,139,0.966,1.007,0.959,0.217
10,"(15, 24]","(25, 30]",Female,8,3,18,17,2.667,1.059,2.519,1.910
11,"(15, 24]","(25, 30]",Male,15,13,42,46,1.154,0.913,1.264,0.553
12,"(15, 24]","(30, 35]",Female,3,2,6,5,1.500,1.200,1.250,1.371
13,"(15, 24]","(30, 35]",Male,10,5,18,18,2.000,1.000,2.000,1.286
14,"(15, 24]","(35, 40]",Female,9,6,7,6,1.500,1.167,1.286,0.987
15,"(15, 24]","(35, 40]",Male,11,6,23,18,1.833,1.278,1.435,0.860
16,"(15, 24]","(40, 45]",Female,16,3,8,2,5.333,4.000,1.333,1.349
17,"(15, 24]","(40, 45]",Male,11,10,22,13,1.100,1.692,0.650,0.365
18,"(15, 24]","(45, 50]",Female,11,6,9,5,1.833,1.800,1.019,0.770
19,"(15, 24]","(45, 50]",Male,13,3,23,4,4.333,5.750,0.754,0.633
20,"(15, 24]","(50, 55]",Female,6,4,8,2,1.500,4.000,0.375,0.383
21,"(15, 24]","(55, 60]",Female,6,3,6,3,2.000,2.000,1.000,1.001
22,"(15, 24]","(55, 60]",Male,3,2,8,3,1.500,2.667,0.562,0.640
23,"(15, 24]","(65, 70]",Female,4,2,4,2,2.000,2.000,1.000,1.226
24,"(15, 24]","(65, 70]",Male,1,1,2,1,1.000,2.000,0.500,0.936
25,"(24, 34]","(0, 5]",Female,6,7,8,11,0.857,0.727,1.179,0.856
26,"(24, 34]","(0, 5]",Male,2,4,8,9,0.500,0.889,0.562,0.559
27,"(24, 34]","(5, 10]",Female,14,26,9,12,0.538,0.750,0.718,0.398
28,"(24, 34]","(5, 10]",Male,5,6,13,17,0.833,0.765,1.090,0.774
29,"(24, 34]","(10, 15]",Female,15,19,11,16,0.789,0.688,1.148,0.602
30,"(24, 34]","(10, 15]",Male,2,7,3,10,0.286,0.300,0.952,0.989
31,"(24, 34]","(15, 20]",Female,11,12,4,12,0.917,0.333,2.750,1.964
32,"(24, 34]","(15, 20]",Male,14,10,21,46,1.400,0.457,3.067,1.513
33,"(24, 34]","(20, 25]",Female,8,15,11,11,0.533,1.000,0.533,0.327
34,"(24, 34]","(20, 25]",Male,52,62,63,86,0.839,0.733,1.145,0.293
35,"(24, 34]","(25, 30]",Female,16,9,23,42,1.778,0.548,3.246,1.602
36,"(24, 34]","(25, 30]",Male,66,83,74,78,0.795,0.949,0.838,0.198
37,"(24, 34]","(30, 35]",Female,13,10,14,30,1.300,0.467,2.786,1.485
38,"(24, 34]","(30, 35]",Male,59,57,50,49,1.035,1.020,1.014,0.282
39,"(24, 34]","(35, 40]",Female,10,12,29,16,0.833,1.812,0.460,0.245
40,"(24, 34]","(35, 40]",Male,17,8,32,27,2.125,1.185,1.793,0.905
41,"(24, 34]","(40, 45]",Female,9,6,5,7,1.500,0.714,2.100,1.658
42,"(24, 34]","(40, 45]",Male,14,8,20,17,1.750,1.176,1.488,0.825
43,"(24, 34]","(45, 50]",Female,6,1,7,7,6.000,1.000,6.000,7.237
44,"(24, 34]","(45, 50]",Male,8,5,17,10,1.600,1.700,0.941,0.656
45,"(24, 34]","(50, 55]",Female,16,5,4,2,3.200,2.000,1.600,1.612
46,"(24, 34]","(50, 55]",Male,9,3,14,5,3.000,2.800,1.071,0.908
47,"(24, 34]","(55, 60]",Female,14,6,10,2,2.333,5.000,0.467,0.428
48,"(24, 34]","(55, 60]",Male,10,1,13,9,10.000,1.444,6.923,7.865
49,"(24, 34]","(60, 65]",Female,4,2,4,1,2.000,4.000,0.500,0.708
50,"(24, 34]","(65, 70]",Female,10,1,2,1,10.000,2.000,5.000,8.066
51,"(34, 54]","(0, 5]",Female,4,8,4,4,0.500,1.000,0.500,0.468
52,"(34, 54]","(0, 5]",Male,2,4,6,12,0.500,0.500,1.000,1.001
53,"(34, 54]","(5, 10]",Female,17,20,18,23,0.850,0.783,1.086,0.498
54,"(34, 54]","(5, 10]",Male,11,17,16,22,0.647,0.727,0.890,0.454
55,"(34, 54]","(10, 15]",Female,25,61,20,53,0.410,0.377,1.086,0.388
56,"(34, 54]","(10, 15]",Male,14,30,34,78,0.467,0.436,1.071,0.414
57,"(34, 54]","(15, 20]",Female,19,41,15,47,0.463,0.319,1.452,0.594
58,"(34, 54]","(15, 20]",Male,25,29,34,65,0.862,0.523,1.648,0.575
59,"(34, 54]","(20, 25]",Female,12,20,8,25,0.600,0.320,1.875,1.028
60,"(34, 54]","(20, 25]",Male,13,19,41,79,0.684,0.519,1.318,0.542
61,"(34, 54]","(25, 30]",Female,9,18,9,11,0.500,0.818,0.611,0.372
62,"(34, 54]","(25, 30]",Male,21,31,28,52,0.677,0.538,1.258,0.466
63,"(34, 54]","(30, 35]",Female,10,16,8,23,0.625,0.348,1.797,1.038
64,"(34, 54]","(30, 35]",Male,84,84,35,65,1.000,0.538,1.857,0.492
65,"(34, 54]","(35, 40]",Female,10,25,27,36,0.400,0.750,0.533,0.243
66,"(34, 54]","(35, 40]",Male,117,111,63,58,1.054,1.086,0.970,0.224
67,"(34, 54]","(40, 45]",Female,27,24,43,47,1.125,0.915,1.230,0.436
68,"(34, 54]","(40, 45]",Male,115,123,59,82,0.935,0.720,1.299,0.286
69,"(34, 54]","(45, 50]",Female,22,19,39,48,1.158,0.812,1.425,0.547
70,"(34, 54]","(45, 50]",Male,124,131,66,54,0.947,1.222,0.774,0.176
71,"(34, 54]","(50, 55]",Female,18,15,45,45,1.200,1.000,1.200,0.494
72,"(34, 54]","(50, 55]",Male,79,84,41,32,0.940,1.281,0.734,0.211
73,"(34, 54]","(55, 60]",Female,19,14,27,16,1.357,1.688,0.804,0.382
74,"(34, 54]","(55, 60]",Male,26,25,33,30,1.040,1.100,0.945,0.360
75,"(34, 54]","(60, 65]",Female,34,15,13,8,2.267,1.625,1.395,0.765
76,"(34, 54]","(60, 65]",Male,18,14,22,15,1.286,1.467,0.877,0.431
77,"(34, 54]","(65, 70]",Female,29,14,18,7,2.071,2.571,0.806,0.446
78,"(34, 54]","(65, 70]",Male,29,10,23,14,2.900,1.643,1.765,0.886
79,"(34, 54]","(70, 75]",Female,22,7,13,6,3.143,2.167,1.451,0.956
80,"(34, 54]","(70, 75]",Male,21,7,16,4,3.000,4.000,0.750,0.533
81,"(34, 54]","(75, 80]",Female,17,6,10,3,2.833,3.333,0.850,0.691
82,"(34, 54]","(75, 80]",Male,15,2,19,4,7.500,4.750,1.579,1.474
83,"(34, 54]","(80, 85]",Female,13,2,3,2,6.500,1.500,4.333,5.151
84,"(34, 54]","(80, 85]",Male,11,2,11,1,5.500,11.000,0.500,0.649
85,"(54, 100]","(0, 5]",Female,2,3,1,1,0.667,1.000,0.667,1.123
86,"(54, 100]","(0, 5]",Male,1,2,3,2,0.500,1.500,0.333,0.509
87,"(54, 100]","(5, 10]",Female,2,4,2,7,0.500,0.286,1.750,2.067
88,"(54, 100]","(5, 10]",Male,2,12,3,10,0.167,0.300,0.556,0.561
89,"(54, 100]","(10, 15]",Female,4,19,6,22,0.211,0.273,0.772,0.555
90,"(54, 100]","(10, 15]",Male,4,12,10,31,0.333,0.323,1.033,0.707
91,"(54, 100]","(15, 20]",Female,5,15,4,8,0.333,0.500,0.667,0.535
92,"(54, 100]","(15, 20]",Male,3,13,8,25,0.231,0.320,0.721,0.548
93,"(54, 100]","(20, 25]",Male,4,9,10,22,0.444,0.455,0.978,0.698
