,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,3,4,4,4,0.750,1.000,0.750,0.782
1,"(15, 24]","(0, 5]",Male,3,1,2,2,3.000,1.000,3.000,4.585
2,"(15, 24]","(5, 10]",Female,4,1,2,4,4.000,0.500,8.000,11.321
3,"(15, 24]","(5, 10]",Male,1,1,1,3,1.000,0.333,3.000,5.479
4,"(15, 24]","(10, 15]",Female,11,14,2,3,0.786,0.667,1.179,1.177
5,"(15, 24]","(10, 15]",Male,17,18,27,20,0.944,1.350,0.700,0.316
6,"(15, 24]","(15, 20]",Female,14,33,8,30,0.424,0.267,1.591,0.815
7,"(15, 24]","(15, 20]",Male,57,72,129,205,0.792,0.629,1.258,0.271
8,"(15, 24]","(20, 25]",Female,7,6,11,19,1.167,0.579,2.015,1.360
9,"(15, 24]","(20, 25]",Male,15,21,60,100,0.714,0.600,1.190,0.451
10,"(15, 24]","(25, 30]",Female,2,5,4,4,0.400,1.000,0.400,0.439
11,"(15, 24]","(25, 30]",Male,4,6,19,17,0.667,1.118,0.596,0.435
12,"(15, 24]","(30, 35]",Female,3,1,2,2,3.000,1.000,3.000,4.585
13,"(15, 24]","(30, 35]",Male,3,1,9,5,3.000,1.800,1.667,2.139
14,"(15, 24]","(40, 45]",Male,1,3,4,1,0.333,4.000,0.083,0.134
15,"(15, 24]","(45, 50]",Female,2,2,1,1,1.000,1.000,1.000,1.733
16,"(15, 24]","(45, 50]",Male,4,3,5,3,1.333,1.667,0.800,0.846
17,"(24, 34]","(0, 5]",Female,5,17,6,16,0.294,0.375,0.784,0.549
18,"(24, 34]","(0, 5]",Male,10,8,4,11,1.250,0.364,3.438,2.592
19,"(24, 34]","(5, 10]",Female,5,12,11,12,0.417,0.917,0.455,0.308
20,"(24, 34]","(5, 10]",Male,6,14,3,11,0.429,0.273,1.571,1.281
21,"(24, 34]","(10, 15]",Female,2,11,4,12,0.182,0.333,0.545,0.525
22,"(24, 34]","(10, 15]",Male,5,10,1,12,0.500,0.083,6.000,7.063
23,"(24, 34]","(15, 20]",Female,3,6,1,7,0.500,0.143,3.500,4.490
24,"(24, 34]","(15, 20]",Male,9,17,9,29,0.529,0.310,1.706,0.962
25,"(24, 34]","(20, 25]",Female,5,7,7,7,0.714,1.000,0.714,0.567
26,"(24, 34]","(20, 25]",Male,13,14,24,47,0.929,0.511,1.818,0.841
27,"(24, 34]","(25, 30]",Female,3,10,1,3,0.300,0.333,0.900,1.197
28,"(24, 34]","(25, 30]",Male,10,9,29,50,1.111,0.580,1.916,0.992
29,"(24, 34]","(30, 35]",Female,7,4,1,3,1.750,0.333,5.250,6.903
30,"(24, 34]","(30, 35]",Male,8,5,14,19,1.600,0.737,2.171,1.459
31,"(24, 34]","(40, 45]",Female,1,2,1,2,0.500,0.500,1.000,1.733
32,"(24, 34]","(40, 45]",Male,2,1,7,4,2.000,1.750,1.143,1.573
33,"(24, 34]","(45, 50]",Female,3,3,2,2,1.000,1.000,1.000,1.292
34,"(24, 34]","(45, 50]",Male,3,1,1,3,3.000,0.333,9.000,14.704
35,"(24, 34]","(50, 55]",Male,3,1,5,5,3.000,1.000,3.000,3.953
36,"(34, 54]","(0, 5]",Female,2,5,2,6,0.400,0.333,1.200,1.404
37,"(34, 54]","(0, 5]",Male,6,6,6,7,1.000,0.857,1.167,0.937
38,"(34, 54]","(5, 10]",Female,6,14,2,11,0.429,0.182,2.357,2.149
