,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,8,13,11,14,0.615,0.786,0.783,0.474
1,"(15, 24]","(5, 10]",Female,16,11,9,7,1.455,1.286,1.131,0.724
2,"(15, 24]","(5, 10]",Male,3,1,3,7,3.000,0.429,7.000,9.423
3,"(15, 24]","(10, 15]",Female,107,89,33,48,1.202,0.688,1.749,0.476
4,"(15, 24]","(10, 15]",Male,99,78,141,126,1.269,1.119,1.134,0.228
5,"(15, 24]","(15, 20]",Female,340,335,172,185,1.015,0.930,1.092,0.153
6,"(15, 24]","(15, 20]",Male,502,367,789,802,1.368,0.984,1.390,0.137
7,"(15, 24]","(20, 25]",Female,99,99,106,131,1.000,0.809,1.236,0.246
8,"(15, 24]","(20, 25]",Male,217,157,405,424,1.382,0.955,1.447,0.196
9,"(15, 24]","(25, 30]",Female,29,16,41,43,1.812,0.953,1.901,0.729
10,"(15, 24]","(25, 30]",Male,37,21,97,89,1.762,1.090,1.617,0.508
11,"(15, 24]","(30, 35]",Female,8,11,13,19,0.727,0.684,1.063,0.627
12,"(15, 24]","(30, 35]",Male,23,13,40,20,1.769,2.000,0.885,0.394
13,"(15, 24]","(35, 40]",Female,13,14,9,11,0.929,0.818,1.135,0.674
14,"(15, 24]","(35, 40]",Male,25,12,35,15,2.083,2.333,0.893,0.420
15,"(15, 24]","(40, 45]",Female,35,25,4,5,1.400,0.800,1.750,1.263
16,"(15, 24]","(40, 45]",Male,25,8,26,11,3.125,2.364,1.322,0.720
17,"(15, 24]","(45, 50]",Female,28,6,6,4,4.667,1.500,3.111,2.453
18,"(15, 24]","(45, 50]",Male,24,7,25,8,3.429,3.125,1.097,0.651
19,"(15, 24]","(50, 55]",Female,31,10,8,3,3.100,2.667,1.163,0.895
20,"(15, 24]","(50, 55]",Male,13,4,19,4,3.250,4.750,0.684,0.544
21,"(15, 24]","(55, 60]",Female,7,4,6,4,1.750,1.500,1.167,1.051
22,"(15, 24]","(55, 60]",Male,7,1,12,2,7.000,6.000,1.167,1.534
23,"(15, 24]","(65, 70]",Female,8,1,6,1,8.000,6.000,1.333,2.020
24,"(15, 24]","(65, 70]",Male,5,1,3,1,5.000,3.000,1.667,2.654
25,"(24, 34]","(0, 5]",Female,8,12,14,15,0.667,0.933,0.714,0.422
26,"(24, 34]","(0, 5]",Male,5,3,9,6,1.667,1.500,1.111,1.002
27,"(24, 34]","(5, 10]",Female,33,24,35,33,1.375,1.061,1.296,0.473
28,"(24, 34]","(5, 10]",Male,10,10,15,12,1.000,1.250,0.800,0.475
29,"(24, 34]","(10, 15]",Female,23,35,16,18,0.657,0.889,0.739,0.324
30,"(24, 34]","(10, 15]",Male,8,7,13,20,1.143,0.650,1.758,1.108
31,"(24, 34]","(15, 20]",Female,16,20,6,15,0.800,0.400,2.000,1.180
32,"(24, 34]","(15, 20]",Male,33,40,50,64,0.825,0.781,1.056,0.323
33,"(24, 34]","(20, 25]",Female,26,26,19,29,1.000,0.655,1.526,0.623
34,"(24, 34]","(20, 25]",Male,140,122,133,148,1.148,0.899,1.277,0.229
35,"(24, 34]","(25, 30]",Female,28,28,46,55,1.000,0.836,1.196,0.403
36,"(24, 34]","(25, 30]",Male,147,110,137,149,1.336,0.919,1.453,0.262
37,"(24, 34]","(30, 35]",Female,24,24,48,58,1.000,0.828,1.208,0.425
38,"(24, 34]","(30, 35]",Male,65,48,79,71,1.354,1.113,1.217,0.311
39,"(24, 34]","(35, 40]",Female,19,11,16,21,1.727,0.762,2.267,1.147
