,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,33,33,82,113,1.000,0.726,1.378,0.400
1,"(15, 24]","(15, 22]",Male,37,30,340,304,1.233,1.118,1.103,0.290
2,"(15, 24]","(22, 27]",Female,15,7,54,44,2.143,1.227,1.746,0.879
3,"(15, 24]","(22, 27]",Male,10,5,117,88,2.000,1.330,1.504,0.854
4,"(15, 24]","(27, 32]",Female,2,4,22,23,0.500,0.957,0.523,0.479
5,"(15, 24]","(27, 32]",Male,6,8,35,31,0.750,1.129,0.664,0.396
6,"(15, 24]","(32, 37]",Female,6,6,11,10,1.000,1.100,0.909,0.660
7,"(15, 24]","(32, 37]",Male,2,6,22,16,0.333,1.375,0.242,0.214
8,"(15, 24]","(37, 42]",Female,6,2,8,5,3.000,1.600,1.875,1.870
9,"(15, 24]","(37, 42]",Male,5,2,15,12,2.500,1.250,2.000,1.847
10,"(15, 24]","(42, 47]",Female,1,1,3,1,1.000,3.000,0.333,0.609
11,"(15, 24]","(42, 47]",Male,5,1,14,5,5.000,2.800,1.786,2.168
12,"(15, 24]","(47, 52]",Female,3,1,2,1,3.000,2.000,1.500,2.526
13,"(24, 34]","(15, 22]",Female,3,5,10,12,0.600,0.833,0.720,0.611
14,"(24, 34]","(15, 22]",Male,10,10,29,27,1.000,1.074,0.931,0.487
15,"(24, 34]","(22, 27]",Female,5,6,43,44,0.833,0.977,0.853,0.549
16,"(24, 34]","(22, 27]",Male,28,14,77,70,2.000,1.100,1.818,0.673
17,"(24, 34]","(27, 32]",Female,3,6,46,52,0.500,0.885,0.565,0.417
18,"(24, 34]","(27, 32]",Male,15,13,59,53,1.154,1.113,1.037,0.442
19,"(24, 34]","(32, 37]",Female,11,6,35,39,1.833,0.897,2.043,1.145
20,"(24, 34]","(32, 37]",Male,10,8,30,30,1.250,1.000,1.250,0.678
21,"(24, 34]","(37, 42]",Female,5,3,21,12,1.667,1.750,0.952,0.778
22,"(24, 34]","(37, 42]",Male,7,3,18,15,2.333,1.200,1.944,1.507
23,"(24, 34]","(42, 47]",Female,5,3,12,13,1.667,0.923,1.806,1.506
24,"(24, 34]","(42, 47]",Male,2,1,7,10,2.000,0.700,2.857,3.775
25,"(24, 34]","(47, 52]",Female,2,2,5,5,1.000,1.000,1.000,1.184
26,"(24, 34]","(47, 52]",Male,1,1,18,9,1.000,2.000,0.500,0.736
27,"(24, 34]","(52, 57]",Male,1,1,9,1,1.000,9.000,0.111,0.196
28,"(34, 54]","(15, 22]",Female,1,2,5,5,0.500,1.000,0.500,0.690
29,"(34, 54]","(15, 22]",Male,1,2,15,24,0.500,0.625,0.800,1.015
30,"(34, 54]","(22, 27]",Female,2,9,4,14,0.222,0.286,0.778,0.752
31,"(34, 54]","(22, 27]",Male,4,10,31,42,0.400,0.738,0.542,0.346
32,"(34, 54]","(27, 32]",Female,5,6,15,18,0.833,0.833,1.000,0.701
33,"(34, 54]","(27, 32]",Male,9,8,26,36,1.125,0.722,1.558,0.860
34,"(34, 54]","(32, 37]",Female,5,3,32,33,1.667,0.970,1.719,1.328
35,"(34, 54]","(32, 37]",Male,20,18,33,41,1.111,0.805,1.380,0.557
36,"(34, 54]","(37, 42]",Female,4,2,42,43,2.000,0.977,2.048,1.831
37,"(34, 54]","(37, 42]",Male,27,23,38,35,1.174,1.086,1.081,0.402
38,"(34, 54]","(42, 47]",Female,3,2,37,42,1.500,0.881,1.703,1.603
39,"(34, 54]","(42, 47]",Male,11,12,24,22,0.917,1.091,0.840,0.432
40,"(34, 54]","(47, 52]",Female,5,5,44,39,1.000,1.128,0.886,0.595
41,"(34, 54]","(47, 52]",Male,8,10,28,22,0.800,1.273,0.629,0.349
42,"(34, 54]","(52, 57]",Female,5,3,26,24,1.667,1.083,1.538,1.207
