,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.089,0.272,3.000
1,"(5, 10]",1.218,0.273,8.000
2,"(10, 15]",1.116,0.213,13.000
3,"(15, 20]",1.352,0.171,18.000
4,"(20, 25]",1.508,0.256,23.000
5,"(25, 30]",1.586,0.368,28.000
6,"(30, 35]",1.395,0.406,33.000
7,"(35, 40]",1.308,0.414,38.000
8,"(40, 45]",1.003,0.382,43.000
9,"(45, 50]",1.317,0.443,48.000
10,"(50, 55]",1.099,0.503,53.000
11,"(55, 60]",1.677,1.060,58.000
12,"(60, 65]",1.167,0.706,63.000
13,"(65, 70]",3.344,2.122,68.000
14,"(70, 75]",1.905,1.734,73.000
15,"(80, 85]",0.667,0.903,83.000
16,"(85, 90]",0.667,1.123,88.000
