,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,194,206,327,399,0.942,0.820,1.149,0.154
1,"(15, 24]","(15, 22]",Male,194,158,933,928,1.228,1.005,1.221,0.155
2,"(15, 24]","(22, 27]",Female,39,39,151,176,1.000,0.858,1.166,0.300
3,"(15, 24]","(22, 27]",Male,42,32,310,280,1.312,1.107,1.185,0.301
4,"(15, 24]","(27, 32]",Female,10,8,55,62,1.250,0.887,1.409,0.721
5,"(15, 24]","(27, 32]",Male,8,6,103,76,1.333,1.355,0.984,0.554
6,"(15, 24]","(32, 37]",Female,15,5,20,23,3.000,0.870,3.450,2.078
7,"(15, 24]","(32, 37]",Male,7,5,35,22,1.400,1.591,0.880,0.570
8,"(15, 24]","(37, 42]",Female,11,6,14,7,1.833,2.000,0.917,0.631
9,"(15, 24]","(37, 42]",Male,8,7,13,10,1.143,1.300,0.879,0.588
10,"(15, 24]","(42, 47]",Female,10,7,8,3,1.429,2.667,0.536,0.449
11,"(15, 24]","(42, 47]",Male,5,5,18,6,1.000,3.000,0.333,0.263
12,"(15, 24]","(47, 52]",Female,4,2,4,3,2.000,1.333,1.500,1.734
13,"(15, 24]","(47, 52]",Male,3,1,13,4,3.000,3.250,0.923,1.190
14,"(15, 24]","(52, 57]",Female,6,2,2,1,3.000,2.000,1.500,2.209
15,"(24, 34]","(15, 22]",Female,14,21,29,33,0.667,0.879,0.759,0.327
16,"(24, 34]","(15, 22]",Male,37,42,99,103,0.881,0.961,0.917,0.248
17,"(24, 34]","(22, 27]",Female,34,40,77,102,0.850,0.755,1.126,0.318
18,"(24, 34]","(22, 27]",Male,77,70,209,233,1.100,0.897,1.226,0.242
19,"(24, 34]","(27, 32]",Female,24,34,95,90,0.706,1.056,0.669,0.206
20,"(24, 34]","(27, 32]",Male,37,31,149,146,1.194,1.021,1.170,0.321
21,"(24, 34]","(32, 37]",Female,9,14,63,74,0.643,0.851,0.755,0.350
22,"(24, 34]","(32, 37]",Male,19,15,61,47,1.267,1.298,0.976,0.390
23,"(24, 34]","(37, 42]",Female,10,4,32,28,2.500,1.143,2.188,1.417
24,"(24, 34]","(37, 42]",Male,13,7,23,19,1.857,1.211,1.534,0.866
25,"(24, 34]","(42, 47]",Female,3,7,14,9,0.429,1.556,0.276,0.224
26,"(24, 34]","(42, 47]",Male,8,4,16,12,2.000,1.333,1.500,1.085
27,"(24, 34]","(47, 52]",Female,8,5,9,6,1.600,1.500,1.067,0.830
28,"(24, 34]","(47, 52]",Male,4,1,19,4,4.000,4.750,0.842,1.050
29,"(24, 34]","(52, 57]",Female,2,2,6,1,1.000,6.000,0.167,0.245
30,"(24, 34]","(57, 62]",Female,3,2,5,2,1.500,2.500,0.600,0.744
31,"(24, 34]","(57, 62]",Male,3,2,8,6,1.500,1.333,1.125,1.195
32,"(24, 34]","(67, 72]",Male,1,1,1,1,1.000,1.000,1.000,2.001
33,"(34, 54]","(15, 22]",Female,13,22,3,15,0.591,0.200,2.955,2.141
34,"(34, 54]","(15, 22]",Male,1,6,27,44,0.167,0.614,0.272,0.301
35,"(34, 54]","(22, 27]",Female,13,19,23,27,0.684,0.852,0.803,0.370
36,"(34, 54]","(22, 27]",Male,5,13,39,51,0.385,0.765,0.503,0.287
37,"(34, 54]","(27, 32]",Female,9,16,29,37,0.562,0.784,0.718,0.350
38,"(34, 54]","(27, 32]",Male,20,16,42,44,1.250,0.955,1.310,0.526
39,"(34, 54]","(32, 37]",Female,12,17,37,61,0.706,0.607,1.164,0.505
40,"(34, 54]","(32, 37]",Male,25,25,39,51,1.000,0.765,1.308,0.467
41,"(34, 54]","(37, 42]",Female,4,7,46,65,0.571,0.708,0.807,0.531
42,"(34, 54]","(37, 42]",Male,29,27,41,59,1.074,0.695,1.546,0.525
43,"(34, 54]","(42, 47]",Female,4,8,42,53,0.500,0.792,0.631,0.409
44,"(34, 54]","(42, 47]",Male,31,24,29,25,1.292,1.160,1.114,0.433
45,"(34, 54]","(47, 52]",Female,9,8,33,38,1.125,0.868,1.295,0.704
46,"(34, 54]","(47, 52]",Male,19,15,28,22,1.267,1.273,0.995,0.448
47,"(34, 54]","(52, 57]",Female,4,6,23,36,0.667,0.639,1.043,0.731
