,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,2742,2598,4230,5128,1.055,0.825,1.279,0.078
1,"(15, 24]","(15, 22]",Male,1971,1424,14309,14119,1.384,1.013,1.366,0.085
2,"(15, 24]","(22, 27]",Female,499,460,1943,2109,1.085,0.921,1.177,0.103
3,"(15, 24]","(22, 27]",Male,435,271,3795,3311,1.605,1.146,1.400,0.133
4,"(15, 24]","(27, 32]",Female,211,137,697,713,1.540,0.978,1.576,0.208
5,"(15, 24]","(27, 32]",Male,157,95,1146,793,1.653,1.445,1.144,0.168
6,"(15, 24]","(32, 37]",Female,144,83,262,194,1.735,1.351,1.285,0.224
7,"(15, 24]","(32, 37]",Male,121,59,484,293,2.051,1.652,1.242,0.226
8,"(15, 24]","(37, 42]",Female,186,84,132,77,2.214,1.714,1.292,0.259
9,"(15, 24]","(37, 42]",Male,114,46,291,160,2.478,1.819,1.363,0.282
10,"(15, 24]","(42, 47]",Female,143,58,84,53,2.466,1.585,1.556,0.373
11,"(15, 24]","(42, 47]",Male,78,30,215,79,2.600,2.722,0.955,0.245
12,"(15, 24]","(47, 52]",Female,86,32,70,34,2.688,2.059,1.305,0.390
13,"(15, 24]","(47, 52]",Male,39,11,175,53,3.545,3.302,1.074,0.407
14,"(15, 24]","(52, 57]",Female,61,24,47,19,2.542,2.474,1.027,0.377
15,"(15, 24]","(52, 57]",Male,21,12,88,23,1.750,3.826,0.457,0.198
16,"(15, 24]","(57, 62]",Female,41,11,30,12,3.727,2.500,1.491,0.722
17,"(15, 24]","(57, 62]",Male,30,5,54,21,6.000,2.571,2.333,1.282
18,"(15, 24]","(62, 67]",Female,25,5,33,8,5.000,4.125,1.212,0.765
19,"(15, 24]","(62, 67]",Male,14,7,52,12,2.000,4.333,0.462,0.261
20,"(15, 24]","(67, 72]",Male,7,3,22,5,2.333,4.400,0.530,0.451
21,"(15, 24]","(72, 77]",Female,3,2,15,3,1.500,5.000,0.300,0.334
22,"(24, 34]","(15, 22]",Female,217,219,292,455,0.991,0.642,1.544,0.203
23,"(24, 34]","(15, 22]",Male,421,369,1405,1563,1.141,0.899,1.269,0.120
24,"(24, 34]","(22, 27]",Female,353,343,845,1099,1.029,0.769,1.339,0.136
25,"(24, 34]","(22, 27]",Male,576,480,2261,2311,1.200,0.978,1.227,0.104
26,"(24, 34]","(27, 32]",Female,284,258,1114,1365,1.101,0.816,1.349,0.145
27,"(24, 34]","(27, 32]",Male,448,320,1644,1589,1.400,1.035,1.353,0.129
28,"(24, 34]","(32, 37]",Female,173,146,777,827,1.185,0.940,1.261,0.167
29,"(24, 34]","(32, 37]",Male,227,138,820,672,1.645,1.220,1.348,0.175
30,"(24, 34]","(37, 42]",Female,87,59,343,342,1.475,1.003,1.470,0.282
31,"(24, 34]","(37, 42]",Male,110,58,403,268,1.897,1.504,1.261,0.236
32,"(24, 34]","(42, 47]",Female,57,43,165,117,1.326,1.410,0.940,0.226
33,"(24, 34]","(42, 47]",Male,66,27,222,125,2.444,1.776,1.376,0.357
34,"(24, 34]","(47, 52]",Female,78,39,95,57,2.000,1.667,1.200,0.315
35,"(24, 34]","(47, 52]",Male,42,19,150,75,2.211,2.000,1.105,0.348
36,"(24, 34]","(52, 57]",Female,70,36,82,38,1.944,2.158,0.901,0.260
37,"(24, 34]","(52, 57]",Male,25,8,106,45,3.125,2.356,1.327,0.592
38,"(24, 34]","(57, 62]",Female,43,13,49,23,3.308,2.130,1.553,0.634
39,"(24, 34]","(57, 62]",Male,16,4,63,19,4.000,3.316,1.206,0.747
40,"(24, 34]","(62, 67]",Female,26,14,32,11,1.857,2.909,0.638,0.309
41,"(24, 34]","(62, 67]",Male,14,2,43,15,7.000,2.867,2.442,1.990
42,"(24, 34]","(67, 72]",Female,14,5,26,10,2.800,2.600,1.077,0.692
43,"(24, 34]","(67, 72]",Male,4,2,23,9,2.000,2.556,0.783,0.745
44,"(24, 34]","(72, 77]",Female,6,1,13,4,6.000,3.250,1.846,2.258
45,"(24, 34]","(72, 77]",Male,5,1,27,16,5.000,1.688,2.963,3.381
46,"(34, 54]","(15, 22]",Female,198,372,142,356,0.532,0.399,1.334,0.189
47,"(34, 54]","(15, 22]",Male,96,120,344,615,0.800,0.559,1.430,0.230
48,"(34, 54]","(22, 27]",Female,137,251,160,294,0.546,0.544,1.003,0.154
49,"(34, 54]","(22, 27]",Male,134,155,442,674,0.865,0.656,1.318,0.187
50,"(34, 54]","(27, 32]",Female,130,187,200,362,0.695,0.552,1.258,0.192
51,"(34, 54]","(27, 32]",Male,217,217,528,610,1.000,0.866,1.155,0.143
52,"(34, 54]","(32, 37]",Female,144,145,419,565,0.993,0.742,1.339,0.192
53,"(34, 54]","(32, 37]",Male,317,263,534,672,1.205,0.795,1.517,0.172
54,"(34, 54]","(37, 42]",Female,160,154,613,714,1.039,0.859,1.210,0.164
55,"(34, 54]","(37, 42]",Male,298,246,556,569,1.211,0.977,1.240,0.144
56,"(34, 54]","(42, 47]",Female,144,129,656,735,1.116,0.893,1.251,0.177
57,"(34, 54]","(42, 47]",Male,240,204,390,351,1.176,1.111,1.059,0.138
58,"(34, 54]","(47, 52]",Female,94,94,699,715,1.000,0.978,1.023,0.167
59,"(34, 54]","(47, 52]",Male,154,161,297,230,0.957,1.291,0.741,0.112
60,"(34, 54]","(52, 57]",Female,84,73,575,569,1.151,1.011,1.139,0.202
61,"(34, 54]","(52, 57]",Male,78,53,221,165,1.472,1.339,1.099,0.233
62,"(34, 54]","(57, 62]",Female,82,43,282,259,1.907,1.089,1.751,0.373
63,"(34, 54]","(57, 62]",Male,40,34,150,92,1.176,1.630,0.722,0.197
64,"(34, 54]","(62, 67]",Female,70,33,167,111,2.121,1.505,1.410,0.351
65,"(34, 54]","(62, 67]",Male,33,21,97,65,1.571,1.492,1.053,0.343
66,"(34, 54]","(67, 72]",Female,42,23,100,56,1.826,1.786,1.023,0.320
67,"(34, 54]","(67, 72]",Male,26,16,66,34,1.625,1.941,0.837,0.322
68,"(34, 54]","(72, 77]",Female,33,14,55,31,2.357,1.774,1.329,0.523
69,"(34, 54]","(72, 77]",Male,14,4,50,19,3.500,2.632,1.330,0.838
70,"(34, 54]","(77, 82]",Female,8,4,42,20,2.000,2.100,0.952,0.640
71,"(34, 54]","(77, 82]",Male,7,4,33,10,1.750,3.300,0.530,0.384
72,"(34, 54]","(82, 87]",Female,5,2,13,6,2.500,2.167,1.154,1.122
73,"(34, 54]","(82, 87]",Male,3,1,10,4,3.000,2.500,1.200,1.558
74,"(54, 100]","(15, 22]",Female,41,211,26,145,0.194,0.179,1.084,0.301
75,"(54, 100]","(15, 22]",Male,23,59,57,192,0.390,0.297,1.313,0.384
76,"(54, 100]","(22, 27]",Female,53,190,32,114,0.279,0.281,0.994,0.257
77,"(54, 100]","(22, 27]",Male,15,52,61,189,0.288,0.323,0.894,0.297
78,"(54, 100]","(27, 32]",Female,86,234,34,116,0.368,0.293,1.254,0.298
79,"(54, 100]","(27, 32]",Male,27,70,57,149,0.386,0.383,1.008,0.282
80,"(54, 100]","(32, 37]",Female,82,247,57,129,0.332,0.442,0.751,0.158
81,"(54, 100]","(32, 37]",Male,24,74,68,171,0.324,0.398,0.816,0.228
82,"(54, 100]","(37, 42]",Female,90,240,46,120,0.375,0.383,0.978,0.214
83,"(54, 100]","(37, 42]",Male,37,82,84,177,0.451,0.475,0.951,0.231
84,"(54, 100]","(42, 47]",Female,98,253,53,130,0.387,0.408,0.950,0.198
85,"(54, 100]","(42, 47]",Male,57,112,91,167,0.509,0.545,0.934,0.200
86,"(54, 100]","(47, 52]",Female,110,275,96,209,0.400,0.459,0.871,0.152
87,"(54, 100]","(47, 52]",Male,102,138,99,164,0.739,0.604,1.224,0.232
88,"(54, 100]","(52, 57]",Female,174,345,256,385,0.504,0.665,0.758,0.101
89,"(54, 100]","(52, 57]",Male,161,247,115,192,0.652,0.599,1.088,0.178
90,"(54, 100]","(57, 62]",Female,204,373,635,804,0.547,0.790,0.692,0.079
91,"(54, 100]","(57, 62]",Male,236,284,152,200,0.831,0.760,1.093,0.162
92,"(54, 100]","(62, 67]",Female,213,398,881,1071,0.535,0.823,0.651,0.071
93,"(54, 100]","(62, 67]",Male,226,348,140,207,0.649,0.676,0.960,0.142
94,"(54, 100]","(67, 72]",Female,261,345,1067,1265,0.757,0.843,0.897,0.094
95,"(54, 100]","(67, 72]",Male,234,320,154,183,0.731,0.842,0.869,0.128
96,"(54, 100]","(72, 77]",Female,257,356,1074,1266,0.722,0.848,0.851,0.089
97,"(54, 100]","(72, 77]",Male,189,303,111,126,0.624,0.881,0.708,0.119
98,"(54, 100]","(77, 82]",Female,204,240,879,1086,0.850,0.809,1.050,0.123
99,"(54, 100]","(77, 82]",Male,133,214,101,99,0.621,1.020,0.609,0.113
100,"(54, 100]","(82, 87]",Female,88,91,509,610,0.967,0.834,1.159,0.195
101,"(54, 100]","(82, 87]",Male,55,81,41,49,0.679,0.837,0.812,0.226
102,"(54, 100]","(87, 92]",Female,17,24,153,176,0.708,0.869,0.815,0.277
103,"(54, 100]","(87, 92]",Male,12,13,18,11,0.923,1.636,0.564,0.314
104,"(54, 100]","(92, 97]",Female,4,3,22,19,1.333,1.158,1.152,0.952
