,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,230,170,248,201,1.353,1.234,1.097,0.162
1,"(15, 24]","(0, 5]",Male,88,57,127,63,1.544,2.016,0.766,0.180
2,"(15, 24]","(5, 10]",Female,66,73,61,39,0.904,1.564,0.578,0.157
3,"(15, 24]","(5, 10]",Male,37,20,71,51,1.850,1.392,1.329,0.447
4,"(15, 24]","(10, 15]",Female,530,561,210,233,0.945,0.901,1.048,0.129
5,"(15, 24]","(10, 15]",Male,920,744,1440,1321,1.237,1.090,1.134,0.091
6,"(15, 24]","(15, 20]",Female,2209,2322,928,1306,0.951,0.711,1.339,0.097
7,"(15, 24]","(15, 20]",Male,4636,3930,10999,11392,1.180,0.966,1.222,0.069
8,"(15, 24]","(20, 25]",Female,756,777,788,1063,0.973,0.741,1.313,0.112
9,"(15, 24]","(20, 25]",Male,1792,1452,5693,5667,1.234,1.005,1.229,0.079
10,"(15, 24]","(25, 30]",Female,194,186,324,367,1.043,0.883,1.181,0.162
11,"(15, 24]","(25, 30]",Male,429,303,1411,1313,1.416,1.075,1.318,0.129
12,"(15, 24]","(30, 35]",Female,99,84,120,134,1.179,0.896,1.316,0.264
13,"(15, 24]","(30, 35]",Male,233,130,537,430,1.792,1.249,1.435,0.196
14,"(15, 24]","(35, 40]",Female,108,69,62,59,1.565,1.051,1.489,0.363
15,"(15, 24]","(35, 40]",Male,149,70,327,219,2.129,1.493,1.426,0.251
16,"(15, 24]","(40, 45]",Female,129,80,57,39,1.613,1.462,1.103,0.283
17,"(15, 24]","(40, 45]",Male,125,49,221,122,2.551,1.811,1.408,0.294
18,"(15, 24]","(45, 50]",Female,125,65,33,16,1.923,2.062,0.932,0.321
19,"(15, 24]","(45, 50]",Male,90,31,156,84,2.903,1.857,1.563,0.396
20,"(15, 24]","(50, 55]",Female,103,26,25,17,3.962,1.471,2.694,1.042
21,"(15, 24]","(50, 55]",Male,73,26,91,42,2.808,2.167,1.296,0.388
22,"(15, 24]","(55, 60]",Female,69,20,6,5,3.450,1.200,2.875,1.893
23,"(15, 24]","(55, 60]",Male,60,9,75,35,6.667,2.143,3.111,1.291
24,"(15, 24]","(60, 65]",Female,49,9,26,11,5.444,2.364,2.303,1.182
25,"(15, 24]","(60, 65]",Male,29,6,64,15,4.833,4.267,1.133,0.606
26,"(15, 24]","(65, 70]",Female,39,8,12,3,4.875,4.000,1.219,0.920
27,"(15, 24]","(65, 70]",Male,26,9,46,9,2.889,5.111,0.565,0.302
28,"(15, 24]","(70, 75]",Female,36,9,12,4,4.000,3.000,1.333,0.919
29,"(15, 24]","(70, 75]",Male,20,8,30,6,2.500,5.000,0.500,0.307
30,"(15, 24]","(75, 80]",Male,22,2,14,4,11.000,3.500,3.143,2.930
31,"(15, 24]","(80, 85]",Male,14,1,15,3,14.000,5.000,2.800,3.399
32,"(15, 24]","(85, 90]",Female,17,1,5,2,17.000,2.500,6.800,9.025
33,"(15, 24]","(85, 90]",Male,4,1,5,1,4.000,5.000,0.800,1.253
34,"(24, 34]","(0, 5]",Female,228,237,220,199,0.962,1.106,0.870,0.125
35,"(24, 34]","(0, 5]",Male,144,126,164,157,1.143,1.045,1.094,0.189
36,"(24, 34]","(5, 10]",Female,251,286,218,267,0.878,0.816,1.075,0.145
37,"(24, 34]","(5, 10]",Male,65,61,102,113,1.066,0.903,1.180,0.272
38,"(24, 34]","(10, 15]",Female,151,209,92,160,0.722,0.575,1.257,0.221
39,"(24, 34]","(10, 15]",Male,67,80,132,160,0.838,0.825,1.015,0.212
40,"(24, 34]","(15, 20]",Female,152,222,75,168,0.685,0.446,1.534,0.278
41,"(24, 34]","(15, 20]",Male,588,618,801,1119,0.951,0.716,1.329,0.119
42,"(24, 34]","(20, 25]",Female,262,365,209,339,0.718,0.617,1.164,0.151
43,"(24, 34]","(20, 25]",Male,1623,1453,1954,2417,1.117,0.808,1.382,0.095
44,"(24, 34]","(25, 30]",Female,297,318,359,496,0.934,0.724,1.290,0.152
45,"(24, 34]","(25, 30]",Male,1479,1244,1948,2065,1.189,0.943,1.260,0.089
46,"(24, 34]","(30, 35]",Female,210,212,315,387,0.991,0.814,1.217,0.162
47,"(24, 34]","(30, 35]",Male,769,610,1054,1014,1.261,1.039,1.213,0.104
48,"(24, 34]","(35, 40]",Female,87,87,158,213,1.000,0.742,1.348,0.258
49,"(24, 34]","(35, 40]",Male,292,215,520,447,1.358,1.163,1.167,0.142
50,"(24, 34]","(40, 45]",Female,76,51,98,93,1.490,1.054,1.414,0.335
51,"(24, 34]","(40, 45]",Male,171,98,311,242,1.745,1.285,1.358,0.219
52,"(24, 34]","(45, 50]",Female,102,60,56,35,1.700,1.600,1.062,0.292
53,"(24, 34]","(45, 50]",Male,89,39,186,119,2.282,1.563,1.460,0.337
54,"(24, 34]","(50, 55]",Female,132,54,50,27,2.444,1.852,1.320,0.386
55,"(24, 34]","(50, 55]",Male,70,23,164,77,3.043,2.130,1.429,0.403
56,"(24, 34]","(55, 60]",Female,124,58,22,14,2.138,1.571,1.361,0.518
57,"(24, 34]","(55, 60]",Male,62,11,109,56,5.636,1.946,2.896,1.070
58,"(24, 34]","(60, 65]",Female,101,31,31,14,3.258,2.214,1.471,0.567
59,"(24, 34]","(60, 65]",Male,48,21,83,31,2.286,2.677,0.854,0.290
60,"(24, 34]","(65, 70]",Female,71,31,24,7,2.290,3.429,0.668,0.323
61,"(24, 34]","(65, 70]",Male,48,19,47,14,2.526,3.357,0.753,0.309
62,"(24, 34]","(70, 75]",Female,56,13,15,3,4.308,5.000,0.862,0.608
63,"(24, 34]","(70, 75]",Male,25,3,32,8,8.333,4.000,2.083,1.520
64,"(24, 34]","(75, 80]",Female,26,8,17,1,3.250,17.000,0.191,0.212
65,"(24, 34]","(75, 80]",Male,25,4,21,4,6.250,5.250,1.190,0.915
66,"(24, 34]","(80, 85]",Female,33,5,7,2,6.600,3.500,1.886,1.765
67,"(24, 34]","(80, 85]",Male,17,3,14,1,5.667,14.000,0.405,0.490
68,"(24, 34]","(85, 90]",Male,7,1,6,2,7.000,3.000,2.333,3.141
69,"(34, 54]","(0, 5]",Female,61,87,67,84,0.701,0.798,0.879,0.210
70,"(34, 54]","(0, 5]",Male,49,70,64,91,0.700,0.703,0.995,0.251
71,"(34, 54]","(5, 10]",Female,112,189,93,169,0.593,0.550,1.077,0.197
72,"(34, 54]","(5, 10]",Male,52,71,94,126,0.732,0.746,0.982,0.229
73,"(34, 54]","(10, 15]",Female,180,375,152,303,0.480,0.502,0.957,0.137
74,"(34, 54]","(10, 15]",Male,81,127,156,320,0.638,0.487,1.308,0.235
75,"(34, 54]","(15, 20]",Female,163,353,76,181,0.462,0.420,1.100,0.191
76,"(34, 54]","(15, 20]",Male,125,216,208,482,0.579,0.432,1.341,0.199
77,"(34, 54]","(20, 25]",Female,100,220,65,160,0.455,0.406,1.119,0.220
78,"(34, 54]","(20, 25]",Male,192,297,326,612,0.646,0.533,1.214,0.152
79,"(34, 54]","(25, 30]",Female,107,172,74,141,0.622,0.525,1.185,0.232
80,"(34, 54]","(25, 30]",Male,372,436,382,592,0.853,0.645,1.322,0.144
81,"(34, 54]","(30, 35]",Female,118,162,130,209,0.728,0.622,1.171,0.202
82,"(34, 54]","(30, 35]",Male,673,665,461,624,1.012,0.739,1.370,0.132
83,"(34, 54]","(35, 40]",Female,112,159,203,260,0.704,0.781,0.902,0.147
84,"(34, 54]","(35, 40]",Male,880,784,558,609,1.122,0.916,1.225,0.112
85,"(34, 54]","(40, 45]",Female,109,140,209,266,0.779,0.786,0.991,0.164
86,"(34, 54]","(40, 45]",Male,757,681,428,430,1.112,0.995,1.117,0.111
87,"(34, 54]","(45, 50]",Female,133,123,193,220,1.081,0.877,1.233,0.206
88,"(34, 54]","(45, 50]",Male,645,591,334,324,1.091,1.031,1.059,0.115
89,"(34, 54]","(50, 55]",Female,138,87,197,177,1.586,1.113,1.425,0.255
90,"(34, 54]","(50, 55]",Male,386,324,260,218,1.191,1.193,0.999,0.129
91,"(34, 54]","(55, 60]",Female,127,77,131,107,1.649,1.224,1.347,0.271
92,"(34, 54]","(55, 60]",Male,145,96,177,129,1.510,1.372,1.101,0.201
93,"(34, 54]","(60, 65]",Female,175,87,97,47,2.011,2.064,0.975,0.221
94,"(34, 54]","(60, 65]",Male,113,72,134,78,1.569,1.718,0.914,0.195
95,"(34, 54]","(65, 70]",Female,181,66,56,29,2.742,1.931,1.420,0.390
96,"(34, 54]","(65, 70]",Male,81,31,125,49,2.613,2.551,1.024,0.281
97,"(34, 54]","(70, 75]",Female,200,65,56,26,3.077,2.154,1.429,0.402
98,"(34, 54]","(70, 75]",Male,107,30,95,36,3.567,2.639,1.352,0.391
99,"(34, 54]","(75, 80]",Female,161,55,39,9,2.927,4.333,0.676,0.273
100,"(34, 54]","(75, 80]",Male,86,27,49,16,3.185,3.062,1.040,0.381
101,"(34, 54]","(80, 85]",Female,99,25,40,6,3.960,6.667,0.594,0.294
102,"(34, 54]","(80, 85]",Male,42,7,40,5,6.000,8.000,0.750,0.471
103,"(34, 54]","(85, 90]",Female,60,3,14,5,20.000,2.800,7.143,5.642
104,"(34, 54]","(85, 90]",Male,25,2,9,1,12.500,9.000,1.389,1.786
105,"(54, 100]","(0, 5]",Female,16,38,12,36,0.421,0.333,1.263,0.568
106,"(54, 100]","(0, 5]",Male,9,28,11,33,0.321,0.333,0.964,0.502
107,"(54, 100]","(5, 10]",Female,26,59,20,56,0.441,0.357,1.234,0.438
108,"(54, 100]","(5, 10]",Male,7,31,9,38,0.226,0.237,0.953,0.535
109,"(54, 100]","(10, 15]",Female,24,80,32,82,0.300,0.390,0.769,0.243
110,"(54, 100]","(10, 15]",Male,13,59,28,101,0.220,0.277,0.795,0.299
111,"(54, 100]","(15, 20]",Female,20,75,14,47,0.267,0.298,0.895,0.356
112,"(54, 100]","(15, 20]",Male,25,73,31,123,0.342,0.252,1.359,0.422
113,"(54, 100]","(20, 25]",Female,9,58,7,30,0.155,0.233,0.665,0.368
114,"(54, 100]","(20, 25]",Male,23,80,34,119,0.287,0.286,1.006,0.312
115,"(54, 100]","(25, 30]",Female,22,66,7,30,0.333,0.233,1.429,0.699
116,"(54, 100]","(25, 30]",Male,35,92,39,98,0.380,0.398,0.956,0.267
117,"(54, 100]","(30, 35]",Female,33,63,6,25,0.524,0.240,2.183,1.103
118,"(54, 100]","(30, 35]",Male,44,95,40,130,0.463,0.308,1.505,0.394
119,"(54, 100]","(35, 40]",Female,24,65,24,39,0.369,0.615,0.600,0.214
120,"(54, 100]","(35, 40]",Male,68,125,62,122,0.544,0.508,1.070,0.238
121,"(54, 100]","(40, 45]",Female,40,80,23,32,0.500,0.719,0.696,0.236
122,"(54, 100]","(40, 45]",Male,97,184,69,112,0.527,0.616,0.856,0.175
123,"(54, 100]","(45, 50]",Female,46,68,26,45,0.676,0.578,1.171,0.370
124,"(54, 100]","(45, 50]",Male,248,256,78,133,0.969,0.586,1.652,0.290
125,"(54, 100]","(50, 55]",Female,73,91,42,55,0.802,0.764,1.050,0.276
126,"(54, 100]","(50, 55]",Male,520,523,117,164,0.994,0.713,1.394,0.202
127,"(54, 100]","(55, 60]",Female,114,123,121,121,0.927,1.000,0.927,0.176
128,"(54, 100]","(55, 60]",Male,905,861,140,146,1.051,0.959,1.096,0.150
129,"(54, 100]","(60, 65]",Female,164,177,187,171,0.927,1.094,0.847,0.135
130,"(54, 100]","(60, 65]",Male,1074,1021,154,163,1.052,0.945,1.113,0.145
131,"(54, 100]","(65, 70]",Female,247,190,258,198,1.300,1.303,0.998,0.144
132,"(54, 100]","(65, 70]",Male,1162,1045,174,135,1.112,1.289,0.863,0.114
133,"(54, 100]","(70, 75]",Female,348,282,276,228,1.234,1.211,1.019,0.133
134,"(54, 100]","(70, 75]",Male,1272,988,161,134,1.287,1.201,1.072,0.144
135,"(54, 100]","(75, 80]",Female,375,229,334,198,1.638,1.687,0.971,0.129
136,"(54, 100]","(75, 80]",Male,1031,755,151,92,1.366,1.641,0.832,0.124
137,"(54, 100]","(80, 85]",Female,408,208,287,161,1.962,1.783,1.100,0.153
138,"(54, 100]","(80, 85]",Male,651,439,106,50,1.483,2.120,0.699,0.132
139,"(54, 100]","(85, 90]",Female,243,99,174,66,2.455,2.636,0.931,0.181
140,"(54, 100]","(85, 90]",Male,268,152,53,25,1.763,2.120,0.832,0.223
141,"(54, 100]","(90, 95]",Female,96,32,51,21,3.000,2.429,1.235,0.412
142,"(54, 100]","(90, 95]",Male,71,23,26,11,3.087,2.364,1.306,0.568
143,"(54, 100]","(95, 100]",Female,21,5,8,2,4.200,4.000,1.050,0.982
144,"(54, 100]","(95, 100]",Male,5,2,6,2,2.500,3.000,0.833,0.975
