,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,1,2,1,2,0.500,0.500,1.000,1.733
1,"(15, 24]","(15, 20]",Female,4,8,2,8,0.500,0.250,2.000,2.002
2,"(15, 24]","(15, 20]",Male,12,24,25,36,0.500,0.694,0.720,0.318
3,"(15, 24]","(20, 25]",Male,5,8,12,21,0.625,0.571,1.094,0.741
4,"(15, 24]","(25, 30]",Male,4,4,3,6,1.000,0.500,2.000,2.002
5,"(24, 34]","(0, 5]",Female,2,3,6,5,0.667,1.200,0.556,0.609
6,"(24, 34]","(5, 10]",Female,3,6,2,4,0.500,0.500,1.000,1.119
7,"(24, 34]","(5, 10]",Male,4,4,3,1,1.000,3.000,0.333,0.452
8,"(24, 34]","(10, 15]",Male,2,2,4,5,1.000,0.800,1.250,1.506
9,"(24, 34]","(15, 20]",Male,3,2,2,5,1.500,0.400,3.750,4.647
10,"(24, 34]","(20, 25]",Female,2,2,2,2,1.000,1.000,1.000,1.415
11,"(24, 34]","(20, 25]",Male,3,2,10,16,1.500,0.625,2.400,2.398
12,"(24, 34]","(25, 30]",Male,1,3,7,7,0.333,1.000,0.333,0.424
13,"(24, 34]","(30, 35]",Male,3,1,6,1,3.000,6.000,0.500,0.791
14,"(24, 34]","(35, 40]",Male,2,2,1,5,1.000,0.200,5.000,7.420
15,"(24, 34]","(45, 50]",Male,1,2,1,1,0.500,1.000,0.500,0.936
16,"(34, 54]","(0, 5]",Male,2,3,1,1,0.667,1.000,0.667,1.123
17,"(34, 54]","(5, 10]",Female,1,3,1,2,0.333,0.500,0.667,1.123
18,"(34, 54]","(5, 10]",Male,2,1,5,5,2.000,1.000,2.000,2.759
19,"(34, 54]","(10, 15]",Male,2,3,2,5,0.667,0.400,1.667,2.065
20,"(34, 54]","(25, 30]",Male,1,2,3,6,0.500,0.500,1.000,1.415
21,"(34, 54]","(40, 45]",Male,1,2,1,1,0.500,1.000,0.500,0.936
22,"(34, 54]","(45, 50]",Male,3,2,2,3,1.500,0.667,2.250,2.907
