,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Male,2,4,8,9,0.500,0.889,0.562,0.559
1,"(15, 24]","(15, 20]",Female,12,15,5,8,0.800,0.625,1.280,0.884
2,"(15, 24]","(15, 20]",Male,37,29,75,82,1.276,0.915,1.395,0.417
3,"(15, 24]","(20, 25]",Female,3,7,11,12,0.429,0.917,0.468,0.378
4,"(15, 24]","(20, 25]",Male,23,28,71,74,0.821,0.959,0.856,0.283
5,"(15, 24]","(25, 30]",Female,3,2,6,3,1.500,2.000,0.750,0.867
6,"(15, 24]","(25, 30]",Male,8,8,12,12,1.000,1.000,1.000,0.647
7,"(15, 24]","(30, 35]",Male,3,2,11,4,1.500,2.750,0.545,0.592
8,"(15, 24]","(35, 40]",Male,1,1,3,4,1.000,0.750,1.333,2.144
9,"(15, 24]","(40, 45]",Male,1,1,4,1,1.000,4.000,0.250,0.451
10,"(24, 34]","(0, 5]",Female,2,1,2,3,2.000,0.667,3.000,4.585
11,"(24, 34]","(5, 10]",Female,4,2,1,2,2.000,0.500,4.000,6.003
12,"(24, 34]","(5, 10]",Male,1,3,1,2,0.333,0.500,0.667,1.123
13,"(24, 34]","(10, 15]",Female,3,7,2,2,0.429,1.000,0.429,0.521
14,"(24, 34]","(15, 20]",Male,2,4,7,9,0.500,0.778,0.643,0.645
15,"(24, 34]","(20, 25]",Female,6,4,11,11,1.500,1.000,1.500,1.163
16,"(24, 34]","(20, 25]",Male,24,24,34,38,1.000,0.895,1.118,0.421
17,"(24, 34]","(25, 30]",Female,3,4,6,15,0.750,0.400,1.875,1.697
18,"(24, 34]","(25, 30]",Male,31,29,28,33,1.069,0.848,1.260,0.463
19,"(24, 34]","(30, 35]",Female,3,4,7,8,0.750,0.875,0.857,0.792
20,"(24, 34]","(30, 35]",Male,26,18,29,24,1.444,1.208,1.195,0.497
21,"(24, 34]","(35, 40]",Male,16,9,8,12,1.778,0.667,2.667,1.653
22,"(24, 34]","(40, 45]",Male,5,7,14,8,0.714,1.750,0.408,0.300
23,"(24, 34]","(45, 50]",Male,1,2,7,1,0.500,7.000,0.071,0.116
24,"(34, 54]","(10, 15]",Female,2,4,1,6,0.500,0.167,3.000,4.156
25,"(34, 54]","(15, 20]",Female,3,3,1,1,1.000,1.000,1.000,1.634
26,"(34, 54]","(15, 20]",Male,1,3,6,13,0.333,0.462,0.722,0.908
27,"(34, 54]","(20, 25]",Male,7,7,10,15,1.000,0.667,1.500,1.012
28,"(34, 54]","(25, 30]",Male,12,13,17,18,0.923,0.944,0.977,0.515
29,"(34, 54]","(30, 35]",Female,2,4,2,4,0.500,0.500,1.000,1.226
30,"(34, 54]","(30, 35]",Male,17,15,9,20,1.133,0.450,2.519,1.354
31,"(34, 54]","(35, 40]",Female,1,1,7,8,1.000,0.875,1.143,1.722
32,"(34, 54]","(35, 40]",Male,36,31,15,20,1.161,0.750,1.548,0.655
33,"(34, 54]","(40, 45]",Female,2,3,13,12,0.667,1.083,0.615,0.614
34,"(34, 54]","(40, 45]",Male,17,22,16,18,0.773,0.889,0.869,0.412
35,"(34, 54]","(45, 50]",Male,14,20,16,10,0.700,1.600,0.437,0.234
36,"(34, 54]","(50, 55]",Male,12,7,20,12,1.714,1.667,1.029,0.619
37,"(34, 54]","(55, 60]",Female,1,1,1,2,1.000,0.500,2.000,3.743
38,"(34, 54]","(55, 60]",Male,5,3,8,5,1.667,1.600,1.042,0.966
39,"(34, 54]","(65, 70]",Female,2,1,1,1,2.000,1.000,2.000,3.743
40,"(34, 54]","(75, 80]",Male,1,1,3,1,1.000,3.000,0.333,0.609
41,"(54, 100]","(25, 30]",Male,2,2,1,6,1.000,0.167,6.000,8.837
42,"(54, 100]","(30, 35]",Female,1,5,2,1,0.200,2.000,0.100,0.164
43,"(54, 100]","(30, 35]",Male,3,1,1,8,3.000,0.125,24.000,37.649
44,"(54, 100]","(40, 45]",Male,2,2,1,1,1.000,1.000,1.000,1.733
45,"(54, 100]","(45, 50]",Female,1,1,2,1,1.000,2.000,0.500,0.936
46,"(54, 100]","(50, 55]",Male,5,8,3,6,0.625,0.500,1.250,1.137
47,"(54, 100]","(55, 60]",Female,2,2,2,2,1.000,1.000,1.000,1.415
48,"(54, 100]","(55, 60]",Male,11,11,3,8,1.000,0.375,2.667,2.138
49,"(54, 100]","(60, 65]",Female,1,1,4,6,1.000,0.667,1.500,2.333
50,"(54, 100]","(60, 65]",Male,12,10,2,3,1.200,0.667,1.800,1.817
51,"(54, 100]","(65, 70]",Male,9,11,3,2,0.818,1.500,0.545,0.556
52,"(54, 100]","(70, 75]",Female,1,1,7,5,1.000,1.400,0.714,1.094
53,"(54, 100]","(70, 75]",Male,11,12,2,3,0.917,0.667,1.375,1.382
54,"(54, 100]","(75, 80]",Male,14,9,1,1,1.556,1.000,1.556,2.299
55,"(54, 100]","(80, 85]",Female,1,1,4,1,1.000,4.000,0.250,0.451
56,"(54, 100]","(85, 90]",Female,2,1,2,1,2.000,2.000,1.000,1.733
