,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,4,3,4,3,1.333,1.333,1.000,1.081
1,"(15, 24]","(10, 15]",Male,15,11,25,28,1.364,0.893,1.527,0.742
2,"(15, 24]","(15, 20]",Female,27,38,11,21,0.711,0.524,1.356,0.613
3,"(15, 24]","(15, 20]",Male,77,63,174,206,1.222,0.845,1.447,0.296
4,"(15, 24]","(20, 25]",Female,10,18,17,28,0.556,0.607,0.915,0.460
5,"(15, 24]","(20, 25]",Male,56,47,136,143,1.191,0.951,1.253,0.296
6,"(15, 24]","(25, 30]",Female,1,1,12,20,1.000,0.600,1.667,2.436
7,"(15, 24]","(25, 30]",Male,11,9,32,22,1.222,1.455,0.840,0.446
8,"(15, 24]","(30, 35]",Female,1,1,2,9,1.000,0.222,4.500,7.275
9,"(15, 24]","(35, 40]",Male,7,5,12,7,1.400,1.714,0.817,0.617
10,"(15, 24]","(40, 45]",Male,6,2,4,3,3.000,1.333,2.250,2.518
11,"(24, 34]","(0, 5]",Female,1,5,1,3,0.200,0.333,0.600,0.955
12,"(24, 34]","(5, 10]",Female,2,4,2,3,0.500,0.667,0.750,0.944
13,"(24, 34]","(10, 15]",Female,6,11,2,10,0.545,0.200,2.727,2.529
14,"(24, 34]","(15, 20]",Female,4,8,2,2,0.500,1.000,0.500,0.587
15,"(24, 34]","(15, 20]",Male,9,9,13,22,1.000,0.591,1.692,0.997
16,"(24, 34]","(20, 25]",Female,7,8,7,14,0.875,0.500,1.750,1.218
17,"(24, 34]","(20, 25]",Male,43,39,56,85,1.103,0.659,1.674,0.476
18,"(24, 34]","(25, 30]",Female,3,12,17,18,0.250,0.944,0.265,0.193
19,"(24, 34]","(25, 30]",Male,53,56,56,77,0.946,0.727,1.301,0.344
20,"(24, 34]","(30, 35]",Female,4,4,16,15,1.000,1.067,0.938,0.745
21,"(24, 34]","(30, 35]",Male,19,28,38,32,0.679,1.188,0.571,0.220
22,"(24, 34]","(35, 40]",Female,2,2,6,11,1.000,0.545,1.833,2.058
23,"(24, 34]","(35, 40]",Male,9,13,22,26,0.692,0.846,0.818,0.429
24,"(24, 34]","(40, 45]",Female,4,1,4,4,4.000,1.000,4.000,5.295
25,"(24, 34]","(40, 45]",Male,5,8,18,11,0.625,1.636,0.382,0.263
26,"(24, 34]","(45, 50]",Female,3,3,5,5,1.000,1.000,1.000,1.034
27,"(24, 34]","(45, 50]",Male,5,1,10,5,5.000,2.000,2.500,3.064
28,"(24, 34]","(50, 55]",Female,3,1,4,1,3.000,4.000,0.750,1.206
29,"(24, 34]","(60, 65]",Male,3,2,2,2,1.500,1.000,1.500,2.032
30,"(34, 54]","(5, 10]",Female,1,5,2,4,0.200,0.500,0.400,0.559
31,"(34, 54]","(5, 10]",Male,1,1,3,2,1.000,1.500,0.667,1.123
32,"(34, 54]","(10, 15]",Female,2,6,3,9,0.333,0.333,1.000,1.055
33,"(34, 54]","(10, 15]",Male,2,9,11,11,0.222,1.000,0.222,0.198
34,"(34, 54]","(15, 20]",Female,4,10,5,7,0.400,0.714,0.560,0.467
35,"(34, 54]","(15, 20]",Male,5,7,12,21,0.714,0.571,1.250,0.863
36,"(34, 54]","(20, 25]",Female,5,7,3,9,0.714,0.333,2.143,1.904
37,"(34, 54]","(20, 25]",Male,11,13,14,43,0.846,0.326,2.599,1.338
38,"(34, 54]","(25, 30]",Female,6,2,5,14,3.000,0.357,8.400,8.147
39,"(34, 54]","(25, 30]",Male,19,28,15,46,0.679,0.326,2.081,0.881
40,"(34, 54]","(30, 35]",Female,3,4,6,14,0.750,0.429,1.750,1.588
