,Subject Age,R,DeltaR,Age
0,"(10, 15]",0.625,0.873,13.000
1,"(15, 20]",2.113,0.864,18.000
2,"(20, 25]",0.797,0.270,23.000
3,"(25, 30]",1.218,0.450,28.000
4,"(30, 35]",1.161,0.476,33.000
5,"(35, 40]",1.839,0.890,38.000
6,"(40, 45]",0.477,0.243,43.000
7,"(45, 50]",0.481,0.327,48.000
8,"(50, 55]",0.629,0.528,53.000
9,"(55, 60]",1.652,1.250,58.000
10,"(60, 65]",1.600,1.843,63.000
11,"(65, 70]",0.476,0.517,68.000
12,"(70, 75]",1.080,1.121,73.000
13,"(80, 85]",0.500,0.936,83.000
14,"(85, 90]",0.500,0.936,88.000
