,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,80,75,123,116,1.067,1.060,1.006,0.214
1,"(15, 24]","(15, 22]",Male,52,43,176,204,1.209,0.863,1.402,0.330
2,"(15, 24]","(22, 27]",Female,15,15,53,55,1.000,0.964,1.038,0.431
3,"(15, 24]","(22, 27]",Male,13,14,63,48,0.929,1.312,0.707,0.306
4,"(15, 24]","(27, 32]",Male,2,1,12,11,2.000,1.091,1.833,2.374
5,"(15, 24]","(32, 37]",Female,6,2,3,5,3.000,0.600,5.000,5.483
6,"(15, 24]","(32, 37]",Male,2,2,3,4,1.000,0.750,1.333,1.679
7,"(15, 24]","(37, 42]",Female,6,2,1,3,3.000,0.333,9.000,12.736
8,"(15, 24]","(37, 42]",Male,7,2,3,3,3.500,1.000,3.500,4.009
9,"(15, 24]","(42, 47]",Female,13,4,2,3,3.250,0.667,4.875,5.257
10,"(15, 24]","(42, 47]",Male,9,2,5,5,4.500,1.000,4.500,4.531
11,"(15, 24]","(47, 52]",Female,11,7,4,4,1.571,1.000,1.571,1.348
12,"(15, 24]","(47, 52]",Male,3,2,11,3,1.500,3.667,0.409,0.459
13,"(15, 24]","(52, 57]",Female,6,1,5,2,6.000,2.500,2.400,3.281
14,"(15, 24]","(52, 57]",Male,3,1,3,2,3.000,1.500,2.000,2.946
15,"(15, 24]","(57, 62]",Female,7,4,2,1,1.750,2.000,0.875,1.205
16,"(24, 34]","(15, 22]",Female,5,5,13,6,1.000,2.167,0.462,0.371
17,"(24, 34]","(15, 22]",Male,11,10,12,14,1.100,0.857,1.283,0.757
18,"(24, 34]","(22, 27]",Female,10,9,30,42,1.111,0.714,1.556,0.809
19,"(24, 34]","(22, 27]",Male,28,31,45,45,0.903,1.000,0.903,0.306
20,"(24, 34]","(27, 32]",Female,14,18,43,41,0.778,1.049,0.742,0.312
21,"(24, 34]","(27, 32]",Male,18,14,30,31,1.286,0.968,1.329,0.587
22,"(24, 34]","(32, 37]",Female,4,2,48,25,2.000,1.920,1.042,0.939
23,"(24, 34]","(32, 37]",Male,9,6,18,11,1.500,1.636,0.917,0.599
24,"(24, 34]","(37, 42]",Female,1,1,8,8,1.000,1.000,1.000,1.501
25,"(24, 34]","(37, 42]",Male,5,6,9,10,0.833,0.900,0.926,0.705
26,"(24, 34]","(42, 47]",Male,5,2,4,2,2.500,2.000,1.250,1.506
27,"(24, 34]","(47, 52]",Female,4,6,4,4,0.667,1.000,0.667,0.639
28,"(24, 34]","(47, 52]",Male,4,2,6,3,2.000,2.000,1.000,1.119
29,"(24, 34]","(52, 57]",Female,2,1,1,4,2.000,0.250,8.000,13.273
30,"(34, 54]","(15, 22]",Female,7,14,3,9,0.500,0.333,1.500,1.220
31,"(34, 54]","(15, 22]",Male,3,4,13,15,0.750,0.867,0.865,0.739
32,"(34, 54]","(22, 27]",Female,4,15,8,14,0.267,0.571,0.467,0.335
33,"(34, 54]","(22, 27]",Male,8,7,11,18,1.143,0.611,1.870,1.207
34,"(34, 54]","(27, 32]",Female,8,8,7,12,1.000,0.583,1.714,1.186
35,"(34, 54]","(27, 32]",Male,14,10,19,22,1.400,0.864,1.621,0.845
36,"(34, 54]","(32, 37]",Female,7,10,16,26,0.700,0.615,1.137,0.669
37,"(34, 54]","(32, 37]",Male,13,10,9,14,1.300,0.643,2.022,1.217
38,"(34, 54]","(37, 42]",Female,7,5,31,29,1.400,1.069,1.310,0.841
39,"(34, 54]","(37, 42]",Male,16,15,12,13,1.067,0.923,1.156,0.624
40,"(34, 54]","(42, 47]",Female,9,8,36,33,1.125,1.091,1.031,0.562
41,"(34, 54]","(42, 47]",Male,16,14,9,12,1.143,0.750,1.524,0.877
42,"(34, 54]","(47, 52]",Female,2,7,46,42,0.286,1.095,0.261,0.217
43,"(34, 54]","(47, 52]",Male,12,10,10,8,1.200,1.250,0.960,0.615
44,"(34, 54]","(52, 57]",Female,10,5,35,26,2.000,1.346,1.486,0.903
