,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,1064,1099,1000,1233,0.968,0.811,1.194,0.094
1,"(15, 24]","(15, 22]",Male,704,563,2244,2264,1.250,0.991,1.262,0.102
2,"(15, 24]","(22, 27]",Female,193,180,473,530,1.072,0.892,1.201,0.158
3,"(15, 24]","(22, 27]",Male,129,113,550,493,1.142,1.116,1.023,0.155
4,"(15, 24]","(27, 32]",Female,48,26,147,148,1.846,0.993,1.859,0.510
5,"(15, 24]","(27, 32]",Male,30,16,131,99,1.875,1.323,1.417,0.483
6,"(15, 24]","(32, 37]",Female,46,26,41,44,1.769,0.932,1.899,0.629
7,"(15, 24]","(32, 37]",Male,30,15,63,48,2.000,1.312,1.524,0.569
8,"(15, 24]","(37, 42]",Female,95,52,30,23,1.827,1.304,1.401,0.463
9,"(15, 24]","(37, 42]",Male,70,27,57,33,2.593,1.727,1.501,0.479
10,"(15, 24]","(42, 47]",Female,117,47,30,20,2.489,1.500,1.660,0.564
11,"(15, 24]","(42, 47]",Male,69,31,51,25,2.226,2.040,1.091,0.360
12,"(15, 24]","(47, 52]",Female,75,39,34,22,1.923,1.545,1.244,0.424
13,"(15, 24]","(47, 52]",Male,35,15,61,23,2.333,2.652,0.880,0.349
14,"(15, 24]","(52, 57]",Female,48,20,24,7,2.400,3.429,0.700,0.355
15,"(15, 24]","(52, 57]",Male,20,8,28,12,2.500,2.333,1.071,0.583
16,"(15, 24]","(57, 62]",Female,30,5,11,2,6.000,5.500,1.091,0.992
17,"(15, 24]","(57, 62]",Male,18,3,20,5,6.000,4.000,1.500,1.201
18,"(15, 24]","(62, 67]",Female,18,4,8,2,4.500,4.000,1.125,1.087
19,"(15, 24]","(62, 67]",Male,8,3,19,4,2.667,4.750,0.561,0.491
20,"(15, 24]","(67, 72]",Female,14,5,7,3,2.800,2.333,1.200,1.039
21,"(15, 24]","(72, 77]",Male,4,1,11,1,4.000,11.000,0.364,0.557
22,"(15, 24]","(77, 82]",Female,6,2,7,3,3.000,2.333,1.286,1.376
23,"(15, 24]","(77, 82]",Male,8,2,7,1,4.000,7.000,0.571,0.760
24,"(24, 34]","(15, 22]",Female,65,81,52,90,0.802,0.578,1.389,0.342
25,"(24, 34]","(15, 22]",Male,105,95,159,206,1.105,0.772,1.432,0.263
26,"(24, 34]","(22, 27]",Female,126,138,274,342,0.913,0.801,1.140,0.177
27,"(24, 34]","(22, 27]",Male,212,187,397,431,1.134,0.921,1.231,0.162
28,"(24, 34]","(27, 32]",Female,101,85,394,440,1.188,0.895,1.327,0.226
29,"(24, 34]","(27, 32]",Male,167,142,271,281,1.176,0.964,1.219,0.184
30,"(24, 34]","(32, 37]",Female,75,49,271,277,1.531,0.978,1.565,0.326
31,"(24, 34]","(32, 37]",Male,73,43,127,118,1.698,1.076,1.577,0.373
32,"(24, 34]","(37, 42]",Female,34,26,123,117,1.308,1.051,1.244,0.367
33,"(24, 34]","(37, 42]",Male,30,28,53,58,1.071,0.914,1.173,0.385
34,"(24, 34]","(42, 47]",Female,40,17,63,43,2.353,1.465,1.606,0.569
35,"(24, 34]","(42, 47]",Male,19,10,41,25,1.900,1.640,1.159,0.543
36,"(24, 34]","(47, 52]",Female,52,39,23,19,1.333,1.211,1.101,0.417
37,"(24, 34]","(47, 52]",Male,34,18,35,15,1.889,2.333,0.810,0.346
38,"(24, 34]","(52, 57]",Female,45,18,23,11,2.500,2.091,1.196,0.554
39,"(24, 34]","(52, 57]",Male,11,7,25,16,1.571,1.562,1.006,0.585
40,"(24, 34]","(57, 62]",Female,33,16,22,6,2.062,3.667,0.562,0.312
41,"(24, 34]","(57, 62]",Male,11,5,25,7,2.200,3.571,0.616,0.425
42,"(24, 34]","(62, 67]",Female,5,3,14,4,1.667,3.500,0.476,0.441
43,"(24, 34]","(62, 67]",Male,9,1,15,5,9.000,3.000,3.000,3.525
44,"(24, 34]","(67, 72]",Female,14,6,8,2,2.333,4.000,0.583,0.543
45,"(24, 34]","(67, 72]",Male,7,2,8,2,3.500,4.000,0.875,0.986
46,"(24, 34]","(72, 77]",Female,10,2,6,4,5.000,1.500,3.333,3.365
47,"(24, 34]","(72, 77]",Male,5,2,10,1,2.500,10.000,0.250,0.336
48,"(24, 34]","(77, 82]",Female,1,1,5,2,1.000,2.500,0.400,0.658
49,"(34, 54]","(15, 22]",Female,133,224,66,145,0.594,0.455,1.304,0.249
50,"(34, 54]","(15, 22]",Male,40,59,66,106,0.678,0.623,1.089,0.286
51,"(34, 54]","(22, 27]",Female,63,134,49,97,0.470,0.505,0.931,0.221
52,"(34, 54]","(22, 27]",Male,34,49,53,111,0.694,0.477,1.453,0.412
53,"(34, 54]","(27, 32]",Female,84,117,69,112,0.718,0.616,1.165,0.251
54,"(34, 54]","(27, 32]",Male,85,79,96,116,1.076,0.828,1.300,0.279
55,"(34, 54]","(32, 37]",Female,64,106,169,220,0.604,0.768,0.786,0.153
56,"(34, 54]","(32, 37]",Male,128,108,108,142,1.185,0.761,1.558,0.295
57,"(34, 54]","(37, 42]",Female,91,98,310,317,0.929,0.978,0.950,0.165
58,"(34, 54]","(37, 42]",Male,169,145,125,147,1.166,0.850,1.371,0.238
59,"(34, 54]","(42, 47]",Female,93,93,344,401,1.000,0.858,1.166,0.200
60,"(34, 54]","(42, 47]",Male,147,143,92,93,1.028,0.989,1.039,0.202
61,"(34, 54]","(47, 52]",Female,84,78,409,430,1.077,0.951,1.132,0.203
