,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,77,55,59,46,1.400,1.283,1.092,0.294
1,"(15, 24]","(0, 5]",Male,17,6,16,6,2.833,2.667,1.063,0.718
2,"(15, 24]","(5, 10]",Female,34,23,30,26,1.478,1.154,1.281,0.492
3,"(15, 24]","(5, 10]",Male,11,9,12,12,1.222,1.000,1.222,0.745
4,"(15, 24]","(10, 15]",Female,258,267,88,112,0.966,0.786,1.230,0.214
5,"(15, 24]","(10, 15]",Male,173,166,303,281,1.042,1.078,0.966,0.141
6,"(15, 24]","(15, 20]",Female,885,872,366,467,1.015,0.784,1.295,0.127
7,"(15, 24]","(15, 20]",Male,1035,879,1756,1726,1.177,1.017,1.157,0.088
8,"(15, 24]","(20, 25]",Female,347,334,307,367,1.039,0.837,1.242,0.149
9,"(15, 24]","(20, 25]",Male,530,401,920,948,1.322,0.970,1.362,0.129
10,"(15, 24]","(25, 30]",Female,74,51,90,106,1.451,0.849,1.709,0.405
11,"(15, 24]","(25, 30]",Male,97,61,210,158,1.590,1.329,1.196,0.240
12,"(15, 24]","(30, 35]",Female,37,36,40,36,1.028,1.111,0.925,0.307
13,"(15, 24]","(30, 35]",Male,33,30,74,50,1.100,1.480,0.743,0.235
14,"(15, 24]","(35, 40]",Female,53,38,19,17,1.395,1.118,1.248,0.498
15,"(15, 24]","(35, 40]",Male,41,24,43,24,1.708,1.792,0.953,0.348
16,"(15, 24]","(40, 45]",Female,80,50,20,16,1.600,1.250,1.280,0.492
17,"(15, 24]","(40, 45]",Male,61,24,38,21,2.542,1.810,1.405,0.515
18,"(15, 24]","(45, 50]",Female,80,39,23,11,2.051,2.091,0.981,0.410
19,"(15, 24]","(45, 50]",Male,45,26,34,17,1.731,2.000,0.865,0.337
20,"(15, 24]","(50, 55]",Female,64,28,13,6,2.286,2.167,1.055,0.575
21,"(15, 24]","(50, 55]",Male,33,10,33,12,3.300,2.750,1.200,0.596
22,"(15, 24]","(55, 60]",Female,45,9,11,5,5.000,2.200,2.273,1.485
23,"(15, 24]","(55, 60]",Male,20,5,23,2,4.000,11.500,0.348,0.310
24,"(15, 24]","(60, 65]",Female,31,5,5,2,6.200,2.500,2.480,2.398
25,"(15, 24]","(60, 65]",Male,16,1,19,7,16.000,2.714,5.895,6.618
26,"(15, 24]","(65, 70]",Female,19,6,8,1,3.167,8.000,0.396,0.459
27,"(15, 24]","(65, 70]",Male,14,2,8,1,7.000,8.000,0.875,1.141
28,"(15, 24]","(70, 75]",Female,23,2,7,1,11.500,7.000,1.643,2.135
29,"(15, 24]","(70, 75]",Male,16,1,5,1,16.000,5.000,3.200,4.816
30,"(15, 24]","(75, 80]",Female,19,3,7,1,6.333,7.000,0.905,1.120
31,"(15, 24]","(75, 80]",Male,9,2,6,1,4.500,6.000,0.750,1.001
32,"(15, 24]","(80, 85]",Female,17,2,1,2,8.500,0.500,17.000,24.407
33,"(15, 24]","(80, 85]",Male,11,1,8,2,11.000,4.000,2.750,3.605
34,"(24, 34]","(0, 5]",Female,103,64,101,96,1.609,1.052,1.530,0.336
35,"(24, 34]","(0, 5]",Male,32,13,30,26,2.462,1.154,2.133,0.911
36,"(24, 34]","(5, 10]",Female,115,97,114,95,1.186,1.200,0.988,0.200
37,"(24, 34]","(5, 10]",Male,33,25,22,30,1.320,0.733,1.800,0.701
38,"(24, 34]","(10, 15]",Female,73,92,41,69,0.793,0.594,1.335,0.343
39,"(24, 34]","(10, 15]",Male,15,14,26,48,1.071,0.542,1.978,0.884
40,"(24, 34]","(15, 20]",Female,31,55,13,28,0.564,0.464,1.214,0.494
