,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.257,0.163,3.000
1,"(5, 10]",1.276,0.142,8.000
2,"(10, 15]",1.131,0.089,13.000
3,"(15, 20]",1.212,0.064,18.000
4,"(20, 25]",1.262,0.071,23.000
5,"(25, 30]",1.187,0.083,28.000
6,"(30, 35]",0.977,0.081,33.000
7,"(35, 40]",1.119,0.100,38.000
8,"(40, 45]",1.305,0.122,43.000
9,"(45, 50]",1.146,0.113,48.000
10,"(50, 55]",1.189,0.120,53.000
11,"(55, 60]",1.256,0.132,58.000
12,"(60, 65]",1.099,0.110,63.000
13,"(65, 70]",1.181,0.114,68.000
14,"(70, 75]",0.963,0.086,73.000
15,"(75, 80]",0.899,0.079,78.000
16,"(80, 85]",0.962,0.092,83.000
17,"(85, 90]",1.051,0.129,88.000
18,"(90, 95]",1.226,0.277,93.000
19,"(95, 100]",2.245,1.563,98.000
