,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,2447,2336,3567,4220,1.048,0.845,1.239,0.077
1,"(15, 24]","(15, 22]",Male,1713,1262,11103,10836,1.357,1.025,1.325,0.084
2,"(15, 24]","(22, 27]",Female,439,409,1641,1762,1.073,0.931,1.152,0.106
3,"(15, 24]","(22, 27]",Male,377,230,2883,2583,1.639,1.116,1.469,0.149
4,"(15, 24]","(27, 32]",Female,188,112,567,568,1.679,0.998,1.682,0.239
5,"(15, 24]","(27, 32]",Male,124,76,857,625,1.632,1.371,1.190,0.194
6,"(15, 24]","(32, 37]",Female,129,76,200,155,1.697,1.290,1.315,0.246
7,"(15, 24]","(32, 37]",Male,91,45,331,189,2.022,1.751,1.155,0.242
8,"(15, 24]","(37, 42]",Female,158,77,106,66,2.052,1.606,1.278,0.275
9,"(15, 24]","(37, 42]",Male,86,33,187,103,2.606,1.816,1.435,0.350
10,"(15, 24]","(42, 47]",Female,126,46,69,36,2.739,1.917,1.429,0.390
11,"(15, 24]","(42, 47]",Male,65,28,134,56,2.321,2.393,0.970,0.273
12,"(15, 24]","(47, 52]",Female,75,28,54,28,2.679,1.929,1.389,0.452
13,"(15, 24]","(47, 52]",Male,34,9,129,42,3.778,3.071,1.230,0.514
14,"(15, 24]","(52, 57]",Female,61,23,38,18,2.652,2.111,1.256,0.477
15,"(15, 24]","(52, 57]",Male,19,9,61,19,2.111,3.211,0.658,0.319
16,"(15, 24]","(57, 62]",Female,32,10,27,9,3.200,3.000,1.067,0.566
17,"(15, 24]","(57, 62]",Male,27,5,37,12,5.400,3.083,1.751,1.036
18,"(15, 24]","(62, 67]",Female,19,3,28,7,6.333,4.000,1.583,1.192
19,"(15, 24]","(62, 67]",Male,10,5,33,7,2.000,4.714,0.424,0.293
20,"(15, 24]","(67, 72]",Male,8,3,19,5,2.667,3.800,0.702,0.593
21,"(15, 24]","(72, 77]",Female,1,2,9,2,0.500,4.500,0.111,0.162
22,"(24, 34]","(15, 22]",Female,191,192,233,368,0.995,0.633,1.571,0.222
23,"(24, 34]","(15, 22]",Male,357,297,1010,1132,1.202,0.892,1.347,0.138
24,"(24, 34]","(22, 27]",Female,305,303,686,886,1.007,0.774,1.300,0.140
25,"(24, 34]","(22, 27]",Male,501,420,1724,1767,1.193,0.976,1.223,0.110
26,"(24, 34]","(27, 32]",Female,245,237,916,1133,1.034,0.808,1.279,0.145
27,"(24, 34]","(27, 32]",Male,384,250,1213,1161,1.536,1.045,1.470,0.153
28,"(24, 34]","(32, 37]",Female,140,126,634,667,1.111,0.951,1.169,0.168
29,"(24, 34]","(32, 37]",Male,167,99,584,452,1.687,1.292,1.306,0.196
30,"(24, 34]","(37, 42]",Female,72,38,269,257,1.895,1.047,1.810,0.406
31,"(24, 34]","(37, 42]",Male,85,47,267,177,1.809,1.508,1.199,0.254
32,"(24, 34]","(42, 47]",Female,46,39,128,90,1.179,1.422,0.829,0.218
33,"(24, 34]","(42, 47]",Male,49,25,135,78,1.960,1.731,1.132,0.327
34,"(24, 34]","(47, 52]",Female,65,36,75,45,1.806,1.667,1.083,0.309
35,"(24, 34]","(47, 52]",Male,36,16,115,55,2.250,2.091,1.076,0.372
36,"(24, 34]","(52, 57]",Female,64,31,60,31,2.065,1.935,1.067,0.336
37,"(24, 34]","(52, 57]",Male,20,7,74,33,2.857,2.242,1.274,0.623
38,"(24, 34]","(57, 62]",Female,39,12,33,18,3.250,1.833,1.773,0.787
39,"(24, 34]","(57, 62]",Male,13,4,53,17,3.250,3.118,1.042,0.665
40,"(24, 34]","(62, 67]",Female,22,14,22,10,1.571,2.200,0.714,0.368
41,"(24, 34]","(62, 67]",Male,9,2,30,12,4.500,2.500,1.800,1.538
42,"(24, 34]","(67, 72]",Female,9,2,18,6,4.500,3.000,1.500,1.371
43,"(24, 34]","(67, 72]",Male,1,1,15,5,1.000,3.000,0.333,0.502
44,"(24, 34]","(72, 77]",Female,4,1,11,4,4.000,2.750,1.455,1.836
45,"(34, 54]","(15, 22]",Female,168,324,101,270,0.519,0.374,1.386,0.220
46,"(34, 54]","(15, 22]",Male,71,91,242,432,0.780,0.560,1.393,0.257
47,"(34, 54]","(22, 27]",Female,120,211,131,222,0.569,0.590,0.964,0.160
48,"(34, 54]","(22, 27]",Male,111,127,303,459,0.874,0.660,1.324,0.209
49,"(34, 54]","(27, 32]",Female,113,153,165,289,0.739,0.571,1.294,0.214
50,"(34, 54]","(27, 32]",Male,164,153,360,416,1.072,0.865,1.239,0.177
