,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.314,0.048,19.000
1,"(22, 27]",1.234,0.054,25.000
2,"(27, 32]",1.350,0.070,30.000
3,"(32, 37]",1.233,0.074,35.000
4,"(37, 42]",1.296,0.089,40.000
5,"(42, 47]",1.083,0.081,45.000
6,"(47, 52]",0.957,0.078,50.000
7,"(52, 57]",0.953,0.078,55.000
8,"(57, 62]",0.980,0.080,60.000
9,"(62, 67]",0.863,0.071,65.000
10,"(67, 72]",0.929,0.080,70.000
11,"(72, 77]",0.850,0.080,75.000
12,"(77, 82]",0.917,0.101,80.000
13,"(82, 87]",1.018,0.168,85.000
14,"(87, 92]",0.790,0.306,90.000
