,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,55,74,79,76,0.743,1.039,0.715,0.175
1,"(15, 24]","(0, 5]",Male,49,37,50,43,1.324,1.163,1.139,0.348
2,"(15, 24]","(5, 10]",Female,24,35,18,27,0.686,0.667,1.029,0.418
3,"(15, 24]","(5, 10]",Male,22,32,26,24,0.688,1.083,0.635,0.253
4,"(15, 24]","(10, 15]",Female,101,145,62,79,0.697,0.785,0.888,0.195
5,"(15, 24]","(10, 15]",Male,211,276,287,372,0.764,0.772,0.991,0.129
6,"(15, 24]","(15, 20]",Female,259,353,158,308,0.734,0.513,1.430,0.196
7,"(15, 24]","(15, 20]",Male,537,622,1408,1929,0.863,0.730,1.183,0.100
8,"(15, 24]","(20, 25]",Female,65,92,79,119,0.707,0.664,1.064,0.238
9,"(15, 24]","(20, 25]",Male,128,166,576,725,0.771,0.794,0.971,0.135
10,"(15, 24]","(25, 30]",Female,16,16,23,37,1.000,0.622,1.609,0.716
11,"(15, 24]","(25, 30]",Male,33,33,133,164,1.000,0.811,1.233,0.342
12,"(15, 24]","(30, 35]",Female,10,11,10,15,0.909,0.667,1.364,0.818
13,"(15, 24]","(30, 35]",Male,18,12,44,57,1.500,0.772,1.943,0.828
14,"(15, 24]","(35, 40]",Female,8,7,5,5,1.143,1.000,1.143,0.936
15,"(15, 24]","(35, 40]",Male,11,11,21,18,1.000,1.167,0.857,0.460
16,"(15, 24]","(40, 45]",Female,13,12,4,2,1.083,2.000,0.542,0.517
17,"(15, 24]","(40, 45]",Male,18,5,26,19,3.600,1.368,2.631,1.554
18,"(15, 24]","(45, 50]",Female,7,3,9,4,2.333,2.250,1.037,0.950
19,"(15, 24]","(45, 50]",Male,9,8,16,7,1.125,2.286,0.492,0.328
20,"(15, 24]","(50, 55]",Female,6,1,2,1,6.000,2.000,3.000,4.901
21,"(15, 24]","(50, 55]",Male,11,4,9,6,2.750,1.500,1.833,1.445
22,"(15, 24]","(55, 60]",Male,5,3,11,1,1.667,11.000,0.152,0.193
23,"(15, 24]","(60, 65]",Male,2,1,3,1,2.000,3.000,0.667,1.123
24,"(15, 24]","(65, 70]",Female,2,3,1,1,0.667,1.000,0.667,1.123
25,"(15, 24]","(65, 70]",Male,4,2,5,2,2.000,2.500,0.800,0.964
26,"(24, 34]","(0, 5]",Female,92,116,78,99,0.793,0.788,1.007,0.213
