,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.017,0.109,3.000
1,"(5, 10]",1.039,0.111,8.000
2,"(10, 15]",0.936,0.077,13.000
3,"(15, 20]",1.212,0.077,18.000
4,"(20, 25]",1.082,0.097,23.000
5,"(25, 30]",1.228,0.155,28.000
6,"(30, 35]",1.240,0.205,33.000
7,"(35, 40]",1.278,0.250,38.000
8,"(40, 45]",1.295,0.278,43.000
9,"(45, 50]",0.926,0.202,48.000
10,"(50, 55]",1.149,0.276,53.000
11,"(55, 60]",0.982,0.256,58.000
12,"(60, 65]",0.843,0.226,63.000
13,"(65, 70]",1.056,0.277,68.000
14,"(70, 75]",0.874,0.271,73.000
15,"(75, 80]",0.885,0.312,78.000
16,"(80, 85]",0.715,0.332,83.000
17,"(85, 90]",1.004,0.809,88.000
18,"(90, 95]",1.667,2.654,93.000
