,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.961,0.077,3.000
1,"(5, 10]",1.017,0.091,8.000
2,"(10, 15]",1.084,0.062,13.000
3,"(15, 20]",1.257,0.048,18.000
4,"(20, 25]",1.251,0.048,23.000
5,"(25, 30]",1.295,0.059,28.000
6,"(30, 35]",1.309,0.071,33.000
7,"(35, 40]",1.177,0.073,38.000
8,"(40, 45]",1.114,0.078,43.000
9,"(45, 50]",1.280,0.097,48.000
10,"(50, 55]",1.261,0.101,53.000
11,"(55, 60]",1.166,0.102,58.000
12,"(60, 65]",0.965,0.083,63.000
13,"(65, 70]",0.907,0.082,68.000
14,"(70, 75]",1.047,0.094,73.000
15,"(75, 80]",0.934,0.096,78.000
16,"(80, 85]",0.962,0.113,83.000
17,"(85, 90]",0.942,0.160,88.000
18,"(90, 95]",1.561,0.459,93.000
19,"(95, 100]",1.320,1.101,98.000
