,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,52,78,60,64,0.667,0.938,0.711,0.184
1,"(15, 24]","(0, 5]",Male,40,32,36,46,1.250,0.783,1.597,0.526
2,"(15, 24]","(5, 10]",Female,27,28,25,23,0.964,1.087,0.887,0.353
3,"(15, 24]","(5, 10]",Male,23,23,20,24,1.000,0.833,1.200,0.511
4,"(15, 24]","(10, 15]",Female,112,147,65,101,0.762,0.644,1.184,0.247
5,"(15, 24]","(10, 15]",Male,228,283,280,414,0.806,0.676,1.191,0.153
6,"(15, 24]","(15, 20]",Female,278,384,199,346,0.724,0.575,1.259,0.162
7,"(15, 24]","(15, 20]",Male,551,633,1669,2366,0.870,0.705,1.234,0.103
8,"(15, 24]","(20, 25]",Female,74,81,104,182,0.914,0.571,1.599,0.333
9,"(15, 24]","(20, 25]",Male,157,173,654,934,0.908,0.700,1.296,0.170
10,"(15, 24]","(25, 30]",Female,29,30,28,34,0.967,0.824,1.174,0.432
11,"(15, 24]","(25, 30]",Male,51,30,182,178,1.700,1.022,1.663,0.429
12,"(15, 24]","(30, 35]",Female,12,9,12,16,1.333,0.750,1.778,1.041
13,"(15, 24]","(30, 35]",Male,16,18,48,47,0.889,1.021,0.870,0.351
14,"(15, 24]","(35, 40]",Female,8,8,11,9,1.000,1.222,0.818,0.552
15,"(15, 24]","(35, 40]",Male,16,12,39,29,1.333,1.345,0.991,0.453
16,"(15, 24]","(40, 45]",Female,13,12,6,4,1.083,1.500,0.722,0.550
17,"(15, 24]","(40, 45]",Male,20,16,25,19,1.250,1.316,0.950,0.433
18,"(15, 24]","(45, 50]",Female,8,9,4,5,0.889,0.800,1.111,0.922
19,"(15, 24]","(45, 50]",Male,19,11,16,8,1.727,2.000,0.864,0.499
20,"(15, 24]","(50, 55]",Female,10,4,3,2,2.500,1.500,1.667,1.815
21,"(15, 24]","(50, 55]",Male,13,11,17,4,1.182,4.250,0.278,0.192
22,"(15, 24]","(55, 60]",Female,8,5,3,2,1.600,1.500,1.067,1.149
23,"(15, 24]","(55, 60]",Male,14,3,9,4,4.667,2.250,2.074,1.818
24,"(15, 24]","(60, 65]",Female,8,5,3,2,1.600,1.500,1.067,1.149
25,"(15, 24]","(60, 65]",Male,11,3,9,2,3.667,4.500,0.815,0.830
26,"(15, 24]","(65, 70]",Female,7,3,3,2,2.333,1.500,1.556,1.782
27,"(15, 24]","(65, 70]",Male,6,1,9,2,6.000,4.500,1.333,1.779
28,"(15, 24]","(80, 85]",Male,5,1,2,1,5.000,2.000,2.500,4.110
29,"(24, 34]","(0, 5]",Female,78,97,81,98,0.804,0.827,0.973,0.214
30,"(24, 34]","(0, 5]",Male,70,93,78,95,0.753,0.821,0.917,0.207
31,"(24, 34]","(5, 10]",Female,79,131,77,133,0.603,0.579,1.042,0.217
32,"(24, 34]","(5, 10]",Male,51,78,55,85,0.654,0.647,1.010,0.257
33,"(24, 34]","(10, 15]",Female,47,79,26,59,0.595,0.441,1.350,0.409
34,"(24, 34]","(10, 15]",Male,27,52,51,61,0.519,0.836,0.621,0.191
35,"(24, 34]","(15, 20]",Female,21,48,16,45,0.438,0.356,1.230,0.485
36,"(24, 34]","(15, 20]",Male,66,100,132,236,0.660,0.559,1.180,0.234
37,"(24, 34]","(20, 25]",Female,29,51,19,40,0.569,0.475,1.197,0.439
38,"(24, 34]","(20, 25]",Male,85,113,248,393,0.752,0.631,1.192,0.205
39,"(24, 34]","(25, 30]",Female,29,37,26,40,0.784,0.650,1.206,0.431
40,"(24, 34]","(25, 30]",Male,80,88,182,254,0.909,0.717,1.269,0.240
41,"(24, 34]","(30, 35]",Female,20,19,26,31,1.053,0.839,1.255,0.526
42,"(24, 34]","(30, 35]",Male,44,42,92,112,1.048,0.821,1.275,0.335
43,"(24, 34]","(35, 40]",Female,13,10,7,14,1.300,0.500,2.600,1.631
44,"(24, 34]","(35, 40]",Male,23,20,37,57,1.150,0.649,1.772,0.664
45,"(24, 34]","(40, 45]",Female,11,13,9,12,0.846,0.750,1.128,0.681
46,"(24, 34]","(40, 45]",Male,15,7,25,31,2.143,0.806,2.657,1.417
47,"(24, 34]","(45, 50]",Female,12,7,9,10,1.714,0.900,1.905,1.263
48,"(24, 34]","(45, 50]",Male,22,14,15,17,1.571,0.882,1.781,0.881
49,"(24, 34]","(50, 55]",Female,7,9,4,3,0.778,1.333,0.583,0.535
50,"(24, 34]","(50, 55]",Male,24,11,19,12,2.182,1.583,1.378,0.717
51,"(24, 34]","(55, 60]",Male,20,14,14,10,1.429,1.400,1.020,0.555
52,"(24, 34]","(60, 65]",Male,11,6,12,3,1.833,4.000,0.458,0.377
53,"(24, 34]","(65, 70]",Female,12,5,4,4,2.400,1.000,2.400,2.128
54,"(24, 34]","(65, 70]",Male,8,4,8,2,2.000,4.000,0.500,0.501
55,"(24, 34]","(70, 75]",Female,3,3,3,1,1.000,3.000,0.333,0.472
56,"(24, 34]","(70, 75]",Male,8,2,7,3,4.000,2.333,1.714,1.801
57,"(34, 54]","(0, 5]",Female,30,48,21,38,0.625,0.553,1.131,0.409
58,"(34, 54]","(0, 5]",Male,20,45,26,48,0.444,0.542,0.821,0.300
59,"(34, 54]","(5, 10]",Female,44,90,29,78,0.489,0.372,1.315,0.380
60,"(34, 54]","(5, 10]",Male,44,100,54,99,0.440,0.545,0.807,0.204
