,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.939,0.104,3.000
1,"(5, 10]",0.978,0.108,8.000
2,"(10, 15]",1.073,0.088,13.000
3,"(15, 20]",1.199,0.074,18.000
4,"(20, 25]",1.296,0.110,23.000
5,"(25, 30]",1.280,0.149,28.000
6,"(30, 35]",1.170,0.171,33.000
7,"(35, 40]",1.357,0.230,38.000
8,"(40, 45]",1.306,0.253,43.000
9,"(45, 50]",1.272,0.250,48.000
10,"(50, 55]",1.154,0.241,53.000
11,"(55, 60]",0.939,0.218,58.000
12,"(60, 65]",1.060,0.237,63.000
13,"(65, 70]",0.930,0.217,68.000
14,"(70, 75]",0.639,0.169,73.000
15,"(75, 80]",1.115,0.321,78.000
16,"(80, 85]",1.175,0.436,83.000
17,"(85, 90]",0.865,0.529,88.000
18,"(90, 95]",0.779,0.672,93.000
19,"(95, 100]",4.000,6.003,98.000
