,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,141,138,177,201,1.022,0.881,1.160,0.192
1,"(15, 24]","(15, 22]",Male,88,75,283,325,1.173,0.871,1.347,0.248
2,"(15, 24]","(22, 27]",Female,26,21,94,94,1.238,1.000,1.238,0.410
3,"(15, 24]","(22, 27]",Male,17,19,117,105,0.895,1.114,0.803,0.292
4,"(15, 24]","(27, 32]",Female,2,3,26,30,0.667,0.867,0.769,0.733
5,"(15, 24]","(27, 32]",Male,6,5,21,15,1.200,1.400,0.857,0.596
6,"(15, 24]","(32, 37]",Female,8,6,11,10,1.333,1.100,1.212,0.844
7,"(15, 24]","(32, 37]",Male,7,3,3,7,2.333,0.429,5.444,5.320
8,"(15, 24]","(37, 42]",Female,11,7,4,3,1.571,1.333,1.179,1.067
9,"(15, 24]","(37, 42]",Male,13,5,9,7,2.600,1.286,2.022,1.477
10,"(15, 24]","(42, 47]",Female,20,7,6,4,2.857,1.500,1.905,1.490
11,"(15, 24]","(42, 47]",Male,17,6,10,6,2.833,1.667,1.700,1.196
12,"(15, 24]","(47, 52]",Female,15,6,8,5,2.500,1.600,1.562,1.170
13,"(15, 24]","(47, 52]",Male,4,5,13,5,0.800,2.600,0.308,0.263
14,"(15, 24]","(52, 57]",Female,18,11,10,3,1.636,3.333,0.491,0.375
15,"(15, 24]","(52, 57]",Male,3,2,5,3,1.500,1.667,0.900,1.053
16,"(15, 24]","(57, 62]",Female,11,4,3,2,2.750,1.500,1.833,1.989
17,"(15, 24]","(57, 62]",Male,7,1,6,1,7.000,6.000,1.167,1.774
18,"(15, 24]","(62, 67]",Male,3,1,7,2,3.000,3.500,0.857,1.206
19,"(24, 34]","(15, 22]",Female,18,11,16,17,1.636,0.941,1.739,0.904
20,"(24, 34]","(15, 22]",Male,15,18,18,23,0.833,0.783,1.065,0.504
21,"(24, 34]","(22, 27]",Female,28,33,56,68,0.848,0.824,1.030,0.328
22,"(24, 34]","(22, 27]",Male,51,47,78,78,1.085,1.000,1.085,0.285
23,"(24, 34]","(27, 32]",Female,18,22,75,68,0.818,1.103,0.742,0.269
24,"(24, 34]","(27, 32]",Male,45,27,61,57,1.667,1.070,1.557,0.482
25,"(24, 34]","(32, 37]",Female,11,7,58,44,1.571,1.318,1.192,0.627
26,"(24, 34]","(32, 37]",Male,17,8,25,24,2.125,1.042,2.040,1.056
27,"(24, 34]","(37, 42]",Female,6,5,19,18,1.200,1.056,1.137,0.785
28,"(24, 34]","(37, 42]",Male,7,10,8,14,0.700,0.571,1.225,0.814
29,"(24, 34]","(42, 47]",Female,2,2,13,10,1.000,1.300,0.769,0.835
30,"(24, 34]","(42, 47]",Male,4,2,9,4,2.000,2.250,0.889,0.938
31,"(24, 34]","(47, 52]",Male,9,3,9,6,3.000,1.500,2.000,1.703
32,"(24, 34]","(52, 57]",Female,10,3,6,3,3.333,2.000,1.667,1.612
33,"(24, 34]","(52, 57]",Male,2,3,5,4,0.667,1.250,0.533,0.605
34,"(34, 54]","(15, 22]",Female,11,24,13,26,0.458,0.500,0.917,0.459
35,"(34, 54]","(15, 22]",Male,5,8,12,21,0.625,0.571,1.094,0.741
36,"(34, 54]","(22, 27]",Female,12,20,14,18,0.600,0.778,0.771,0.395
37,"(34, 54]","(22, 27]",Male,12,8,17,17,1.500,1.000,1.500,0.860
38,"(34, 54]","(27, 32]",Female,12,17,9,11,0.706,0.818,0.863,0.508
39,"(34, 54]","(27, 32]",Male,18,15,16,23,1.200,0.696,1.725,0.829
40,"(34, 54]","(32, 37]",Female,6,12,22,31,0.500,0.710,0.705,0.405
41,"(34, 54]","(32, 37]",Male,15,9,20,20,1.667,1.000,1.667,0.882
42,"(34, 54]","(37, 42]",Female,13,7,55,36,1.857,1.528,1.216,0.630
43,"(34, 54]","(37, 42]",Male,25,18,22,22,1.389,1.000,1.389,0.604
44,"(34, 54]","(42, 47]",Female,12,16,44,51,0.750,0.863,0.869,0.380
45,"(34, 54]","(42, 47]",Male,28,27,22,20,1.037,1.100,0.943,0.390
46,"(34, 54]","(47, 52]",Female,11,8,67,63,1.375,1.063,1.293,0.645
47,"(34, 54]","(47, 52]",Male,22,20,17,12,1.100,1.417,0.776,0.380
48,"(34, 54]","(52, 57]",Female,18,9,46,48,2.000,0.958,2.087,0.960
49,"(34, 54]","(52, 57]",Male,17,12,11,11,1.417,1.000,1.417,0.809
50,"(34, 54]","(57, 62]",Female,10,5,34,20,2.000,1.700,1.176,0.727
51,"(34, 54]","(57, 62]",Male,4,1,6,9,4.000,0.667,6.000,7.422
52,"(34, 54]","(62, 67]",Female,9,5,20,7,1.800,2.857,0.630,0.448
53,"(34, 54]","(62, 67]",Male,7,4,5,5,1.750,1.000,1.750,1.561
54,"(34, 54]","(67, 72]",Female,6,5,9,8,1.200,1.125,1.067,0.830
55,"(34, 54]","(72, 77]",Female,8,4,6,2,2.000,3.000,0.667,0.681
56,"(34, 54]","(72, 77]",Male,5,3,8,1,1.667,8.000,0.208,0.268
