,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.234,0.137,19.000
1,"(22, 27]",1.024,0.147,25.000
2,"(27, 32]",1.118,0.201,30.000
3,"(32, 37]",1.193,0.265,35.000
4,"(37, 42]",1.416,0.328,40.000
5,"(42, 47]",0.971,0.211,45.000
6,"(47, 52]",1.115,0.246,50.000
7,"(52, 57]",0.890,0.178,55.000
8,"(57, 62]",0.779,0.158,60.000
9,"(62, 67]",0.633,0.120,65.000
10,"(67, 72]",0.964,0.197,70.000
11,"(72, 77]",0.702,0.139,75.000
12,"(77, 82]",0.819,0.173,80.000
13,"(82, 87]",0.873,0.216,85.000
14,"(87, 92]",0.820,0.281,90.000
15,"(92, 97]",0.632,0.798,95.000
