,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,2,1,1,1,2.000,1.000,2.000,3.743
1,"(15, 24]","(10, 15]",Female,17,25,15,17,0.680,0.882,0.771,0.367
2,"(15, 24]","(10, 15]",Male,17,17,24,26,1.000,0.923,1.083,0.485
3,"(15, 24]","(15, 20]",Female,97,113,45,61,0.858,0.738,1.164,0.286
4,"(15, 24]","(15, 20]",Male,161,154,220,214,1.045,1.028,1.017,0.159
5,"(15, 24]","(20, 25]",Female,59,49,52,49,1.204,1.061,1.135,0.320
6,"(15, 24]","(20, 25]",Male,99,73,191,163,1.356,1.172,1.157,0.225
7,"(15, 24]","(25, 30]",Female,14,11,18,15,1.273,1.200,1.061,0.568
8,"(15, 24]","(25, 30]",Male,12,16,28,21,0.750,1.333,0.562,0.271
9,"(15, 24]","(30, 35]",Female,5,9,9,8,0.556,1.125,0.494,0.366
10,"(15, 24]","(30, 35]",Male,6,8,12,8,0.750,1.500,0.500,0.354
11,"(15, 24]","(35, 40]",Female,2,3,4,2,0.667,2.000,0.333,0.420
12,"(15, 24]","(35, 40]",Male,10,9,8,7,1.111,1.143,0.972,0.675
13,"(15, 24]","(40, 45]",Female,8,5,3,3,1.600,1.000,1.600,1.595
14,"(15, 24]","(40, 45]",Male,8,4,9,5,2.000,1.800,1.111,0.922
15,"(15, 24]","(45, 50]",Female,11,4,2,4,2.750,0.500,5.500,5.751
16,"(15, 24]","(45, 50]",Male,6,6,4,2,1.000,2.000,0.500,0.521
17,"(15, 24]","(50, 55]",Female,11,4,1,1,2.750,1.000,2.750,4.210
18,"(15, 24]","(50, 55]",Male,10,1,7,1,10.000,7.000,1.429,2.141
19,"(15, 24]","(65, 70]",Female,3,2,2,1,1.500,2.000,0.750,1.146
20,"(24, 34]","(0, 5]",Female,1,1,1,5,1.000,0.200,5.000,8.948
21,"(24, 34]","(5, 10]",Female,13,11,5,7,1.182,0.714,1.655,1.185
22,"(24, 34]","(5, 10]",Male,3,6,2,3,0.500,0.667,0.750,0.867
23,"(24, 34]","(10, 15]",Female,8,7,2,11,1.143,0.182,6.286,5.833
24,"(24, 34]","(10, 15]",Male,1,1,1,9,1.000,0.111,9.000,15.881
25,"(24, 34]","(15, 20]",Female,3,7,3,1,0.429,3.000,0.143,0.192
26,"(24, 34]","(15, 20]",Male,17,20,12,15,0.850,0.800,1.062,0.543
27,"(24, 34]","(20, 25]",Female,13,16,17,20,0.812,0.850,0.956,0.479
28,"(24, 34]","(20, 25]",Male,83,89,60,74,0.933,0.811,1.150,0.272
29,"(24, 34]","(25, 30]",Female,31,27,31,51,1.148,0.608,1.889,0.664
30,"(24, 34]","(25, 30]",Male,99,86,69,69,1.151,1.000,1.151,0.266
31,"(24, 34]","(30, 35]",Female,20,14,27,36,1.429,0.750,1.905,0.828
32,"(24, 34]","(30, 35]",Male,39,38,34,27,1.026,1.259,0.815,0.283
33,"(24, 34]","(35, 40]",Female,7,5,8,10,1.400,0.800,1.750,1.322
34,"(24, 34]","(35, 40]",Male,14,11,13,16,1.273,0.812,1.566,0.864
35,"(24, 34]","(40, 45]",Female,3,2,6,8,1.500,0.750,2.000,2.124
36,"(24, 34]","(40, 45]",Male,6,4,9,10,1.500,0.900,1.667,1.323
37,"(24, 34]","(45, 50]",Female,9,5,5,6,1.800,0.833,2.160,1.782
38,"(24, 34]","(45, 50]",Male,3,4,11,7,0.750,1.571,0.477,0.432
39,"(24, 34]","(50, 55]",Female,12,5,1,2,2.400,0.500,4.800,6.414
40,"(24, 34]","(50, 55]",Male,5,1,7,5,5.000,1.400,3.571,4.440
41,"(24, 34]","(55, 60]",Female,17,3,8,4,5.667,2.000,2.833,2.486
42,"(24, 34]","(55, 60]",Male,7,2,3,2,3.500,1.500,2.333,2.837
43,"(24, 34]","(60, 65]",Female,6,2,2,1,3.000,2.000,1.500,2.209
44,"(34, 54]","(0, 5]",Female,2,2,4,1,1.000,4.000,0.250,0.375
45,"(34, 54]","(5, 10]",Female,12,13,4,4,0.923,1.000,0.923,0.751
46,"(34, 54]","(5, 10]",Male,2,5,5,9,0.400,0.556,0.720,0.725
47,"(34, 54]","(10, 15]",Female,28,38,7,31,0.737,0.226,3.263,1.597
48,"(34, 54]","(10, 15]",Male,2,7,8,22,0.286,0.364,0.786,0.710
49,"(34, 54]","(15, 20]",Female,21,42,12,34,0.500,0.353,1.417,0.612
50,"(34, 54]","(15, 20]",Male,6,17,12,19,0.353,0.632,0.559,0.337
51,"(34, 54]","(20, 25]",Female,12,19,9,9,0.632,1.000,0.632,0.379
52,"(34, 54]","(20, 25]",Male,12,18,14,18,0.667,0.778,0.857,0.444
53,"(34, 54]","(25, 30]",Female,8,9,7,20,0.889,0.350,2.540,1.668
