,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,59,67,96,126,0.881,0.762,1.156,0.265
1,"(15, 24]","(15, 22]",Male,62,42,215,190,1.476,1.132,1.305,0.298
2,"(15, 24]","(22, 27]",Female,22,21,54,56,1.048,0.964,1.086,0.395
3,"(15, 24]","(22, 27]",Male,20,14,96,80,1.429,1.200,1.190,0.456
4,"(15, 24]","(27, 32]",Female,6,2,20,20,3.000,1.000,3.000,2.631
5,"(15, 24]","(32, 37]",Female,5,2,5,7,2.500,0.714,3.500,3.578
6,"(15, 24]","(32, 37]",Male,2,4,10,6,0.500,1.667,0.300,0.303
7,"(15, 24]","(37, 42]",Female,5,2,4,3,2.500,1.333,1.875,2.126
8,"(15, 24]","(37, 42]",Male,3,2,1,2,1.500,0.500,3.000,4.585
9,"(15, 24]","(42, 47]",Male,4,2,5,3,2.000,1.667,1.200,1.361
10,"(24, 34]","(15, 22]",Female,2,1,11,14,2.000,0.786,2.545,3.284
11,"(24, 34]","(15, 22]",Male,14,11,24,24,1.273,1.000,1.273,0.634
12,"(24, 34]","(22, 27]",Female,14,17,30,39,0.824,0.769,1.071,0.469
13,"(24, 34]","(22, 27]",Male,17,28,74,75,0.607,0.987,0.615,0.217
14,"(24, 34]","(27, 32]",Female,14,11,30,39,1.273,0.769,1.655,0.783
15,"(24, 34]","(27, 32]",Male,16,7,65,45,2.286,1.444,1.582,0.784
16,"(24, 34]","(32, 37]",Female,1,5,25,30,0.200,0.833,0.240,0.271
17,"(24, 34]","(32, 37]",Male,9,5,27,24,1.800,1.125,1.600,1.002
18,"(24, 34]","(37, 42]",Female,2,2,12,7,1.000,1.714,0.583,0.647
19,"(24, 34]","(37, 42]",Male,5,1,10,7,5.000,1.429,3.500,4.208
20,"(24, 34]","(47, 52]",Female,2,2,4,4,1.000,1.000,1.000,1.226
21,"(24, 34]","(57, 62]",Male,2,2,3,2,1.000,1.500,0.667,0.903
22,"(34, 54]","(15, 22]",Male,1,1,5,9,1.000,0.556,1.800,2.738
23,"(34, 54]","(22, 27]",Female,3,2,4,11,1.500,0.364,4.125,4.475
24,"(34, 54]","(22, 27]",Male,3,5,8,13,0.600,0.615,0.975,0.837
25,"(34, 54]","(27, 32]",Female,3,3,8,14,1.000,0.571,1.750,1.628
26,"(34, 54]","(27, 32]",Male,7,6,19,20,1.167,0.950,1.228,0.791
27,"(34, 54]","(32, 37]",Female,4,3,18,29,1.333,0.621,2.148,1.766
28,"(34, 54]","(32, 37]",Male,10,11,20,21,0.909,0.952,0.955,0.515
29,"(34, 54]","(37, 42]",Female,2,3,17,21,0.667,0.810,0.824,0.799
30,"(34, 54]","(37, 42]",Male,10,5,15,14,2.000,1.071,1.867,1.239
31,"(34, 54]","(42, 47]",Female,3,3,11,14,1.000,0.786,1.273,1.161
32,"(34, 54]","(42, 47]",Male,7,8,8,9,0.875,0.889,0.984,0.701
33,"(34, 54]","(47, 52]",Male,4,1,9,6,4.000,1.500,2.667,3.299
34,"(34, 54]","(52, 57]",Female,2,1,5,5,2.000,1.000,2.000,2.759
35,"(34, 54]","(62, 67]",Female,5,1,2,2,5.000,1.000,5.000,7.420
36,"(54, 100]","(27, 32]",Male,1,2,2,4,0.500,0.500,1.000,1.501
37,"(54, 100]","(42, 47]",Female,1,3,1,2,0.333,0.500,0.667,1.123
38,"(54, 100]","(47, 52]",Female,1,6,1,2,0.167,0.500,0.333,0.545
39,"(54, 100]","(47, 52]",Male,1,3,2,4,0.333,0.500,0.667,0.963
40,"(54, 100]","(52, 57]",Female,2,6,3,8,0.333,0.375,0.889,0.944
41,"(54, 100]","(52, 57]",Male,3,8,3,5,0.375,0.600,0.625,0.623
42,"(54, 100]","(62, 67]",Female,3,2,6,9,1.500,0.667,2.250,2.374
43,"(54, 100]","(67, 72]",Female,2,3,11,14,0.667,0.786,0.848,0.848
44,"(54, 100]","(72, 77]",Female,2,1,12,12,2.000,1.000,2.000,2.584
45,"(54, 100]","(77, 82]",Female,2,2,13,13,1.000,1.000,1.000,1.075
46,"(54, 100]","(77, 82]",Male,3,5,3,3,0.600,1.000,0.600,0.658
47,"(54, 100]","(87, 92]",Female,1,1,1,4,1.000,0.250,4.000,7.214
