,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,2,3,1,2,0.667,0.500,1.333,2.038
1,"(15, 24]","(10, 15]",Male,6,4,12,15,1.500,0.800,1.875,1.415
2,"(15, 24]","(15, 20]",Female,53,51,18,28,1.039,0.643,1.617,0.588
3,"(15, 24]","(15, 20]",Male,89,75,126,144,1.187,0.875,1.356,0.278
4,"(15, 24]","(20, 25]",Female,27,22,36,53,1.227,0.679,1.807,0.656
5,"(15, 24]","(20, 25]",Male,70,50,124,131,1.400,0.947,1.479,0.339
6,"(15, 24]","(25, 30]",Female,4,5,15,14,0.800,1.071,0.747,0.574
7,"(15, 24]","(25, 30]",Male,16,14,25,23,1.143,1.087,1.051,0.493
8,"(15, 24]","(30, 35]",Male,6,5,11,12,1.200,0.917,1.309,0.965
9,"(15, 24]","(50, 55]",Male,2,1,2,1,2.000,2.000,1.000,1.733
10,"(24, 34]","(0, 5]",Female,2,1,1,3,2.000,0.333,6.000,10.104
11,"(24, 34]","(0, 5]",Male,2,3,1,1,0.667,1.000,0.667,1.123
12,"(24, 34]","(5, 10]",Female,4,5,2,3,0.800,0.667,1.200,1.361
13,"(24, 34]","(10, 15]",Female,4,2,2,4,2.000,0.500,4.000,4.903
14,"(24, 34]","(10, 15]",Male,2,2,1,2,1.000,0.500,2.000,3.164
15,"(24, 34]","(15, 20]",Female,4,6,1,5,0.667,0.200,3.333,4.242
16,"(24, 34]","(15, 20]",Male,15,14,16,22,1.071,0.727,1.473,0.734
17,"(24, 34]","(20, 25]",Female,13,14,13,4,0.929,3.250,0.286,0.197
18,"(24, 34]","(20, 25]",Male,48,52,64,84,0.923,0.762,1.212,0.321
19,"(24, 34]","(25, 30]",Female,13,14,12,18,0.929,0.667,1.393,0.750
20,"(24, 34]","(25, 30]",Male,50,34,67,82,1.471,0.817,1.800,0.506
21,"(24, 34]","(30, 35]",Female,5,8,16,14,0.625,1.143,0.547,0.371
22,"(24, 34]","(30, 35]",Male,36,22,26,31,1.636,0.839,1.951,0.747
23,"(24, 34]","(35, 40]",Female,1,4,5,4,0.250,1.250,0.200,0.261
24,"(24, 34]","(35, 40]",Male,13,5,14,17,2.600,0.824,3.157,2.021
25,"(24, 34]","(40, 45]",Male,6,3,8,9,2.000,0.889,2.250,1.934
26,"(34, 54]","(5, 10]",Female,3,1,3,4,3.000,0.750,4.000,5.541
27,"(34, 54]","(10, 15]",Female,6,5,2,2,1.200,1.000,1.200,1.404
28,"(34, 54]","(10, 15]",Male,2,2,2,3,1.000,0.667,1.500,2.032
29,"(34, 54]","(15, 20]",Female,3,6,3,3,0.500,1.000,0.500,0.541
30,"(34, 54]","(15, 20]",Male,2,3,3,8,0.667,0.375,1.778,2.022
31,"(34, 54]","(20, 25]",Female,1,2,3,9,0.500,0.333,1.500,2.093
32,"(34, 54]","(20, 25]",Male,7,8,7,11,0.875,0.636,1.375,0.976
33,"(34, 54]","(25, 30]",Female,7,5,1,10,1.400,0.100,14.000,16.831
34,"(34, 54]","(25, 30]",Male,10,13,15,22,0.769,0.682,1.128,0.609
35,"(34, 54]","(30, 35]",Female,7,2,4,4,3.500,1.000,3.500,3.746
36,"(34, 54]","(30, 35]",Male,13,20,18,21,0.650,0.857,0.758,0.366
37,"(34, 54]","(35, 40]",Female,1,3,4,6,0.333,0.667,0.500,0.662
38,"(34, 54]","(35, 40]",Male,23,18,12,16,1.278,0.750,1.704,0.847
39,"(34, 54]","(40, 45]",Female,3,3,6,9,1.000,0.667,1.500,1.460
40,"(34, 54]","(40, 45]",Male,17,14,14,13,1.214,1.077,1.128,0.598
41,"(34, 54]","(45, 50]",Female,3,3,6,9,1.000,0.667,1.500,1.460
42,"(34, 54]","(45, 50]",Male,15,15,9,11,1.000,0.818,1.222,0.710
43,"(34, 54]","(50, 55]",Female,1,2,3,3,0.500,1.000,0.500,0.736
44,"(34, 54]","(50, 55]",Male,9,2,8,6,4.500,1.333,3.375,3.211
45,"(34, 54]","(65, 70]",Male,1,1,1,1,1.000,1.000,1.000,2.001
46,"(54, 100]","(15, 20]",Male,1,1,1,1,1.000,1.000,1.000,2.001
47,"(54, 100]","(30, 35]",Male,1,2,2,3,0.500,0.667,0.750,1.146
48,"(54, 100]","(40, 45]",Male,2,1,1,2,2.000,0.500,4.000,6.931
49,"(54, 100]","(50, 55]",Female,2,3,1,2,0.667,0.500,1.333,2.038
50,"(54, 100]","(50, 55]",Male,9,6,6,4,1.500,1.500,1.000,0.835
51,"(54, 100]","(55, 60]",Male,7,6,3,4,1.167,0.750,1.556,1.472
52,"(54, 100]","(65, 70]",Female,1,1,1,1,1.000,1.000,1.000,2.001
53,"(54, 100]","(70, 75]",Female,2,2,4,2,1.000,2.000,0.500,0.662
54,"(54, 100]","(70, 75]",Male,6,9,2,1,0.667,2.000,0.333,0.445
55,"(54, 100]","(75, 80]",Female,2,1,4,1,2.000,4.000,0.500,0.830
56,"(54, 100]","(80, 85]",Female,5,1,7,3,5.000,2.333,2.143,2.776
57,"(54, 100]","(80, 85]",Male,13,11,1,1,1.182,1.000,1.182,1.741
58,"(54, 100]","(85, 90]",Female,6,1,7,5,6.000,1.400,4.286,5.270
59,"(54, 100]","(90, 95]",Female,4,1,1,2,4.000,0.500,8.000,13.273
