,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.716,1.612,3.000
1,"(5, 10]",1.945,1.707,8.000
2,"(10, 15]",1.913,0.945,13.000
3,"(15, 20]",1.411,0.229,18.000
4,"(20, 25]",1.328,0.197,23.000
5,"(25, 30]",1.490,0.290,28.000
6,"(30, 35]",1.240,0.306,33.000
7,"(35, 40]",1.606,0.581,38.000
8,"(40, 45]",1.467,0.584,43.000
9,"(45, 50]",1.290,0.644,48.000
10,"(50, 55]",1.357,0.699,53.000
11,"(55, 60]",1.556,1.472,58.000
12,"(65, 70]",1.000,1.415,68.000
13,"(70, 75]",0.409,0.384,73.000
14,"(75, 80]",0.500,0.830,78.000
15,"(80, 85]",1.653,1.608,83.000
16,"(85, 90]",4.286,5.270,88.000
17,"(90, 95]",8.000,13.273,93.000
