,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,114,106,161,173,1.075,0.931,1.156,0.209
1,"(15, 24]","(15, 22]",Male,76,66,379,359,1.152,1.056,1.091,0.208
2,"(15, 24]","(22, 27]",Female,24,24,86,79,1.000,1.089,0.919,0.305
3,"(15, 24]","(22, 27]",Male,24,7,117,95,3.429,1.232,2.784,1.264
4,"(15, 24]","(27, 32]",Female,10,7,22,17,1.429,1.294,1.104,0.653
5,"(15, 24]","(27, 32]",Male,8,7,51,32,1.143,1.594,0.717,0.406
6,"(15, 24]","(32, 37]",Female,13,10,14,8,1.300,1.750,0.743,0.455
7,"(15, 24]","(32, 37]",Male,9,1,42,29,9.000,1.448,6.214,6.727
8,"(15, 24]","(37, 42]",Female,21,20,13,9,1.050,1.444,0.727,0.390
9,"(15, 24]","(37, 42]",Male,18,8,46,22,2.250,2.091,1.076,0.538
10,"(15, 24]","(42, 47]",Female,28,19,11,12,1.474,0.917,1.608,0.828
11,"(15, 24]","(42, 47]",Male,23,9,37,17,2.556,2.176,1.174,0.579
12,"(15, 24]","(47, 52]",Female,17,5,25,14,3.400,1.786,1.904,1.162
13,"(15, 24]","(47, 52]",Male,15,5,41,18,3.000,2.278,1.317,0.778
14,"(15, 24]","(52, 57]",Female,12,6,13,5,2.000,2.600,0.769,0.560
15,"(15, 24]","(52, 57]",Male,11,5,29,14,2.200,2.071,1.062,0.671
16,"(15, 24]","(57, 62]",Female,8,2,7,2,4.000,3.500,1.143,1.288
17,"(15, 24]","(57, 62]",Male,5,2,16,5,2.500,3.200,0.781,0.767
18,"(24, 34]","(15, 22]",Female,9,8,7,16,1.125,0.438,2.571,1.713
19,"(24, 34]","(15, 22]",Male,23,15,47,47,1.533,1.000,1.533,0.604
20,"(24, 34]","(22, 27]",Female,16,12,55,46,1.333,1.196,1.115,0.484
21,"(24, 34]","(22, 27]",Male,43,30,77,86,1.433,0.895,1.601,0.463
22,"(24, 34]","(27, 32]",Female,9,20,113,112,0.450,1.009,0.446,0.190
23,"(24, 34]","(27, 32]",Male,46,26,83,80,1.769,1.038,1.705,0.504
24,"(24, 34]","(32, 37]",Female,22,20,86,73,1.100,1.178,0.934,0.328
25,"(24, 34]","(32, 37]",Male,24,16,61,39,1.500,1.564,0.959,0.370
26,"(24, 34]","(37, 42]",Female,7,4,43,31,1.750,1.387,1.262,0.847
27,"(24, 34]","(37, 42]",Male,10,4,40,20,2.500,2.000,1.250,0.817
28,"(24, 34]","(42, 47]",Female,10,9,20,13,1.111,1.538,0.722,0.421
29,"(24, 34]","(42, 47]",Male,12,10,21,15,1.200,1.400,0.857,0.470
30,"(24, 34]","(47, 52]",Female,9,4,9,3,2.250,3.000,0.750,0.674
31,"(24, 34]","(47, 52]",Male,8,1,16,12,8.000,1.333,6.000,6.771
32,"(24, 34]","(52, 57]",Female,16,3,21,6,5.333,3.500,1.524,1.193
33,"(24, 34]","(52, 57]",Male,10,6,39,14,1.667,2.786,0.598,0.362
34,"(24, 34]","(57, 62]",Female,10,7,15,5,1.429,3.000,0.476,0.341
35,"(24, 34]","(57, 62]",Male,6,1,27,9,6.000,3.000,2.000,2.295
36,"(24, 34]","(62, 67]",Female,1,2,5,3,0.500,1.667,0.300,0.428
37,"(24, 34]","(62, 67]",Male,5,1,13,4,5.000,3.250,1.538,1.903
38,"(24, 34]","(67, 72]",Female,3,2,4,1,1.500,4.000,0.375,0.542
39,"(24, 34]","(67, 72]",Male,6,1,11,5,6.000,2.200,2.727,3.295
40,"(34, 54]","(15, 22]",Female,16,42,24,45,0.381,0.533,0.714,0.279
41,"(34, 54]","(15, 22]",Male,17,24,43,80,0.708,0.537,1.318,0.491
42,"(34, 54]","(22, 27]",Female,22,29,12,25,0.759,0.480,1.580,0.717
43,"(34, 54]","(22, 27]",Male,10,23,39,38,0.435,1.026,0.424,0.188
44,"(34, 54]","(27, 32]",Female,14,24,25,32,0.583,0.781,0.747,0.323
45,"(34, 54]","(27, 32]",Male,21,25,37,50,0.840,0.740,1.135,0.420
46,"(34, 54]","(32, 37]",Female,29,27,59,61,1.074,0.967,1.110,0.364
47,"(34, 54]","(32, 37]",Male,44,39,63,57,1.128,1.105,1.021,0.296
48,"(34, 54]","(37, 42]",Female,28,22,117,115,1.273,1.017,1.251,0.397
49,"(34, 54]","(37, 42]",Male,59,57,72,66,1.035,1.091,0.949,0.244
50,"(34, 54]","(42, 47]",Female,28,31,165,165,0.903,1.000,0.903,0.260
51,"(34, 54]","(42, 47]",Male,69,48,64,70,1.438,0.914,1.572,0.409
52,"(34, 54]","(47, 52]",Female,22,19,207,181,1.158,1.144,1.012,0.337
53,"(34, 54]","(47, 52]",Male,54,34,93,70,1.588,1.329,1.195,0.328
54,"(34, 54]","(52, 57]",Female,34,17,166,131,2.000,1.267,1.578,0.510
55,"(34, 54]","(52, 57]",Male,27,14,58,37,1.929,1.568,1.230,0.485
56,"(34, 54]","(57, 62]",Female,20,9,83,68,2.222,1.221,1.821,0.794
57,"(34, 54]","(57, 62]",Male,12,7,45,20,1.714,2.250,0.762,0.418
58,"(34, 54]","(62, 67]",Female,19,11,38,26,1.727,1.462,1.182,0.543
59,"(34, 54]","(62, 67]",Male,10,7,45,17,1.429,2.647,0.540,0.308
60,"(34, 54]","(67, 72]",Female,14,5,29,13,2.800,2.231,1.255,0.779
61,"(34, 54]","(72, 77]",Female,9,5,14,3,1.800,4.667,0.386,0.327
62,"(34, 54]","(72, 77]",Male,7,5,22,7,1.400,3.143,0.445,0.325
63,"(34, 54]","(77, 82]",Female,4,3,7,4,1.333,1.750,0.762,0.754
64,"(54, 100]","(15, 22]",Female,5,20,4,21,0.250,0.190,1.312,0.973
65,"(54, 100]","(15, 22]",Male,5,11,10,28,0.455,0.357,1.273,0.834
66,"(54, 100]","(22, 27]",Female,6,19,2,13,0.316,0.154,2.053,1.834
67,"(54, 100]","(22, 27]",Male,4,6,8,29,0.667,0.276,2.417,1.838
68,"(54, 100]","(27, 32]",Female,7,23,5,12,0.304,0.417,0.730,0.502
69,"(54, 100]","(27, 32]",Male,2,9,13,20,0.222,0.650,0.342,0.294
70,"(54, 100]","(32, 37]",Female,20,47,8,19,0.426,0.421,1.011,0.507
71,"(54, 100]","(32, 37]",Male,7,16,19,37,0.438,0.514,0.852,0.457
72,"(54, 100]","(37, 42]",Female,22,49,11,29,0.449,0.379,1.184,0.521
73,"(54, 100]","(37, 42]",Male,7,15,13,27,0.467,0.481,0.969,0.553
74,"(54, 100]","(42, 47]",Female,14,55,21,40,0.255,0.525,0.485,0.197
75,"(54, 100]","(42, 47]",Male,13,39,19,37,0.333,0.514,0.649,0.279
76,"(54, 100]","(47, 52]",Female,26,65,30,54,0.400,0.556,0.720,0.237
77,"(54, 100]","(47, 52]",Male,19,45,27,55,0.422,0.491,0.860,0.313
78,"(54, 100]","(52, 57]",Female,42,68,91,103,0.618,0.883,0.699,0.174
79,"(54, 100]","(52, 57]",Male,50,72,41,75,0.694,0.547,1.270,0.346
80,"(54, 100]","(57, 62]",Female,33,78,183,189,0.423,0.968,0.437,0.104
81,"(54, 100]","(57, 62]",Male,60,87,51,66,0.690,0.773,0.892,0.228
82,"(54, 100]","(62, 67]",Female,34,57,284,279,0.596,1.018,0.586,0.139
83,"(54, 100]","(62, 67]",Male,82,96,49,68,0.854,0.721,1.185,0.291
84,"(54, 100]","(67, 72]",Female,36,37,314,280,0.973,1.121,0.868,0.220
85,"(54, 100]","(67, 72]",Male,83,114,42,39,0.728,1.077,0.676,0.182
86,"(54, 100]","(72, 77]",Female,19,30,286,245,0.633,1.167,0.543,0.168
87,"(54, 100]","(72, 77]",Male,56,72,35,26,0.778,1.346,0.578,0.184
88,"(54, 100]","(77, 82]",Female,15,18,236,227,0.833,1.040,0.802,0.293
89,"(54, 100]","(77, 82]",Male,41,57,26,18,0.719,1.444,0.498,0.185
90,"(54, 100]","(82, 87]",Female,6,7,144,141,0.857,1.021,0.839,0.479
91,"(54, 100]","(82, 87]",Male,22,25,13,10,0.880,1.300,0.677,0.348
92,"(54, 100]","(87, 92]",Female,3,3,47,47,1.000,1.000,1.000,0.844
93,"(54, 100]","(87, 92]",Male,8,6,4,2,1.333,2.000,0.667,0.681
