,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.159,0.126,19.000
1,"(22, 27]",1.275,0.192,25.000
2,"(27, 32]",0.954,0.153,30.000
3,"(32, 37]",1.014,0.148,35.000
4,"(37, 42]",1.055,0.157,40.000
5,"(42, 47]",0.994,0.137,45.000
6,"(47, 52]",1.041,0.152,50.000
7,"(52, 57]",1.039,0.141,55.000
8,"(57, 62]",0.718,0.106,60.000
9,"(62, 67]",0.830,0.126,65.000
10,"(67, 72]",0.815,0.142,70.000
11,"(72, 77]",0.537,0.111,75.000
12,"(77, 82]",0.642,0.162,80.000
13,"(82, 87]",0.745,0.285,85.000
14,"(87, 92]",0.848,0.552,90.000
