,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,6,2,6,5,3.000,1.200,2.500,2.544
1,"(15, 24]","(0, 5]",Male,3,1,3,4,3.000,0.750,4.000,5.541
2,"(15, 24]","(5, 10]",Female,4,2,4,2,2.000,2.000,1.000,1.226
3,"(15, 24]","(5, 10]",Male,2,3,4,3,0.667,1.333,0.500,0.596
4,"(15, 24]","(10, 15]",Female,31,27,10,15,1.148,0.667,1.722,0.841
5,"(15, 24]","(10, 15]",Male,28,30,53,61,0.933,0.869,1.074,0.351
6,"(15, 24]","(15, 20]",Female,87,91,40,46,0.956,0.870,1.099,0.294
7,"(15, 24]","(15, 20]",Male,156,140,273,289,1.114,0.945,1.180,0.180
8,"(15, 24]","(20, 25]",Female,33,39,40,53,0.846,0.755,1.121,0.359
9,"(15, 24]","(20, 25]",Male,60,72,169,165,0.833,1.024,0.814,0.173
10,"(15, 24]","(25, 30]",Female,6,7,13,22,0.857,0.591,1.451,0.956
11,"(15, 24]","(25, 30]",Male,17,11,40,45,1.545,0.889,1.739,0.776
12,"(15, 24]","(30, 35]",Female,4,4,8,6,1.000,1.333,0.750,0.668
13,"(15, 24]","(30, 35]",Male,11,5,24,22,2.200,1.091,2.017,1.244
14,"(15, 24]","(35, 40]",Female,8,5,7,5,1.600,1.400,1.143,0.936
15,"(15, 24]","(35, 40]",Male,17,8,30,20,2.125,1.500,1.417,0.736
16,"(15, 24]","(40, 45]",Female,21,3,6,2,7.000,3.000,2.333,2.391
17,"(15, 24]","(40, 45]",Male,15,10,23,12,1.500,1.917,0.783,0.426
18,"(15, 24]","(45, 50]",Female,12,6,11,4,2.000,2.750,0.727,0.560
19,"(15, 24]","(45, 50]",Male,15,7,17,6,2.143,2.833,0.756,0.500
20,"(15, 24]","(50, 55]",Female,18,8,6,6,2.250,1.000,2.250,1.617
21,"(15, 24]","(50, 55]",Male,9,5,27,12,1.800,2.250,0.800,0.527
22,"(15, 24]","(55, 60]",Female,4,4,4,4,1.000,1.000,1.000,1.001
23,"(15, 24]","(55, 60]",Male,6,2,11,2,3.000,5.500,0.545,0.612
24,"(15, 24]","(65, 70]",Female,6,2,3,2,3.000,1.500,2.000,2.452
25,"(15, 24]","(65, 70]",Male,2,1,3,1,2.000,3.000,0.667,1.123
26,"(15, 24]","(70, 75]",Male,6,1,6,4,6.000,1.500,4.000,5.037
27,"(24, 34]","(0, 5]",Female,9,9,7,7,1.000,1.000,1.000,0.714
28,"(24, 34]","(0, 5]",Male,3,3,12,9,1.000,1.333,0.750,0.697
29,"(24, 34]","(5, 10]",Female,24,35,10,15,0.686,0.667,1.029,0.503
30,"(24, 34]","(5, 10]",Male,5,5,15,12,1.000,1.250,0.800,0.595
31,"(24, 34]","(10, 15]",Female,17,27,12,20,0.630,0.600,1.049,0.505
32,"(24, 34]","(10, 15]",Male,3,6,7,14,0.500,0.500,1.000,0.847
33,"(24, 34]","(15, 20]",Female,13,13,4,13,1.000,0.308,3.250,2.259
34,"(24, 34]","(15, 20]",Male,18,15,27,60,1.200,0.450,2.667,1.126
35,"(24, 34]","(20, 25]",Female,15,17,11,15,0.882,0.733,1.203,0.643
36,"(24, 34]","(20, 25]",Male,58,69,69,85,0.841,0.812,1.035,0.255
37,"(24, 34]","(25, 30]",Female,16,13,29,46,1.231,0.630,1.952,0.869
38,"(24, 34]","(25, 30]",Male,112,119,92,92,0.941,1.000,0.941,0.192
39,"(24, 34]","(30, 35]",Female,23,16,24,47,1.438,0.511,2.815,1.166
40,"(24, 34]","(30, 35]",Male,64,65,51,56,0.985,0.911,1.081,0.288
41,"(24, 34]","(35, 40]",Female,11,12,31,20,0.917,1.550,0.591,0.301
42,"(24, 34]","(35, 40]",Male,15,18,34,36,0.833,0.944,0.882,0.376
43,"(24, 34]","(40, 45]",Female,8,8,5,8,1.000,0.625,1.600,1.216
44,"(24, 34]","(40, 45]",Male,11,6,15,20,1.833,0.750,2.444,1.500
45,"(24, 34]","(45, 50]",Female,13,9,9,9,1.444,1.000,1.444,0.928
46,"(24, 34]","(45, 50]",Male,12,7,20,14,1.714,1.429,1.200,0.710
47,"(24, 34]","(50, 55]",Female,14,6,7,2,2.333,3.500,0.667,0.627
48,"(24, 34]","(50, 55]",Male,9,4,21,11,2.250,1.909,1.179,0.835
49,"(24, 34]","(55, 60]",Female,22,9,7,2,2.444,3.500,0.698,0.625
50,"(24, 34]","(55, 60]",Male,14,2,19,16,7.000,1.188,5.895,4.893
51,"(24, 34]","(60, 65]",Male,5,4,8,3,1.250,2.667,0.469,0.447
52,"(24, 34]","(65, 70]",Female,10,4,4,1,2.500,4.000,0.625,0.791
53,"(24, 34]","(65, 70]",Male,3,2,5,2,1.500,2.500,0.600,0.744
54,"(34, 54]","(0, 5]",Female,1,9,4,10,0.111,0.400,0.278,0.336
55,"(34, 54]","(0, 5]",Male,2,4,5,10,0.500,0.500,1.000,1.026
56,"(34, 54]","(5, 10]",Female,17,27,20,31,0.630,0.645,0.976,0.415
57,"(34, 54]","(5, 10]",Male,15,21,19,32,0.714,0.594,1.203,0.539
58,"(34, 54]","(10, 15]",Female,39,82,31,67,0.476,0.463,1.028,0.304
59,"(34, 54]","(10, 15]",Male,26,53,40,89,0.491,0.449,1.092,0.338
60,"(34, 54]","(15, 20]",Female,35,60,17,51,0.583,0.333,1.750,0.622
61,"(34, 54]","(15, 20]",Male,25,35,39,78,0.714,0.500,1.429,0.473
62,"(34, 54]","(20, 25]",Female,16,25,13,29,0.640,0.448,1.428,0.664
63,"(34, 54]","(20, 25]",Male,19,34,53,101,0.559,0.525,1.065,0.358
64,"(34, 54]","(25, 30]",Female,14,22,12,15,0.636,0.800,0.795,0.413
65,"(34, 54]","(25, 30]",Male,18,35,32,49,0.514,0.653,0.787,0.293
