,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.022,0.381,3.000
1,"(5, 10]",0.989,0.219,8.000
2,"(10, 15]",1.075,0.159,13.000
3,"(15, 20]",1.318,0.142,18.000
4,"(20, 25]",1.001,0.122,23.000
5,"(25, 30]",1.093,0.152,28.000
6,"(30, 35]",1.359,0.193,33.000
7,"(35, 40]",1.042,0.152,38.000
8,"(40, 45]",1.332,0.189,43.000
9,"(45, 50]",1.187,0.159,48.000
10,"(50, 55]",0.910,0.126,53.000
11,"(55, 60]",0.977,0.148,58.000
12,"(60, 65]",1.156,0.180,63.000
13,"(65, 70]",0.893,0.150,68.000
14,"(70, 75]",0.698,0.123,73.000
15,"(75, 80]",0.997,0.191,78.000
16,"(80, 85]",0.847,0.185,83.000
17,"(85, 90]",1.372,0.438,88.000
18,"(90, 95]",1.509,0.750,93.000
19,"(95, 100]",1.000,1.634,98.000
