,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,131,113,313,398,1.159,0.786,1.474,0.232
1,"(15, 24]","(15, 22]",Male,133,87,1179,1047,1.529,1.126,1.358,0.207
2,"(15, 24]","(22, 27]",Female,41,27,152,138,1.519,1.101,1.379,0.384
3,"(15, 24]","(22, 27]",Male,33,22,376,289,1.500,1.301,1.153,0.335
4,"(15, 24]","(27, 32]",Female,14,9,57,46,1.556,1.239,1.255,0.595
5,"(15, 24]","(27, 32]",Male,13,12,137,95,1.083,1.442,0.751,0.319
6,"(15, 24]","(32, 37]",Female,19,12,27,27,1.583,1.000,1.583,0.730
7,"(15, 24]","(32, 37]",Male,10,15,86,31,0.667,2.774,0.240,0.111
8,"(15, 24]","(37, 42]",Female,23,14,27,14,1.643,1.929,0.852,0.405
9,"(15, 24]","(37, 42]",Male,12,8,60,48,1.500,1.250,1.200,0.598
10,"(15, 24]","(42, 47]",Female,11,7,10,8,1.571,1.250,1.257,0.854
11,"(15, 24]","(42, 47]",Male,15,4,63,32,3.750,1.969,1.905,1.153
12,"(15, 24]","(47, 52]",Female,9,4,13,4,2.250,3.250,0.692,0.575
13,"(15, 24]","(47, 52]",Male,4,1,54,14,4.000,3.857,1.037,1.202
14,"(15, 24]","(52, 57]",Female,1,1,3,5,1.000,0.600,1.667,2.654
15,"(15, 24]","(57, 62]",Male,4,2,14,3,2.000,4.667,0.429,0.461
16,"(24, 34]","(15, 22]",Female,11,13,22,44,0.846,0.500,1.692,0.826
17,"(24, 34]","(15, 22]",Male,29,33,113,158,0.879,0.715,1.229,0.353
18,"(24, 34]","(22, 27]",Female,28,21,93,105,1.333,0.886,1.505,0.490
19,"(24, 34]","(22, 27]",Male,65,42,249,233,1.548,1.069,1.448,0.324
20,"(24, 34]","(27, 32]",Female,22,20,116,153,1.100,0.758,1.451,0.488
21,"(24, 34]","(27, 32]",Male,47,32,214,185,1.469,1.157,1.270,0.324
22,"(24, 34]","(32, 37]",Female,20,8,89,83,2.500,1.072,2.331,1.045
23,"(24, 34]","(32, 37]",Male,36,26,137,108,1.385,1.269,1.092,0.319
24,"(24, 34]","(37, 42]",Female,9,5,53,63,1.800,0.841,2.140,1.263
25,"(24, 34]","(37, 42]",Male,19,8,84,49,2.375,1.714,1.385,0.639
26,"(24, 34]","(42, 47]",Female,6,5,43,31,1.200,1.387,0.865,0.564
27,"(24, 34]","(42, 47]",Male,14,4,63,29,3.500,2.172,1.611,0.986
28,"(24, 34]","(47, 52]",Female,7,7,18,11,1.000,1.636,0.611,0.403
29,"(24, 34]","(47, 52]",Male,4,3,61,30,1.333,2.033,0.656,0.523
30,"(24, 34]","(52, 57]",Female,5,2,10,6,2.500,1.667,1.500,1.477
31,"(24, 34]","(52, 57]",Male,5,2,44,15,2.500,2.933,0.852,0.758
32,"(24, 34]","(57, 62]",Male,3,2,30,13,1.500,2.308,0.650,0.632
33,"(34, 54]","(15, 22]",Female,8,11,18,36,0.727,0.500,1.455,0.799
34,"(34, 54]","(15, 22]",Male,10,14,60,100,0.714,0.600,1.190,0.533
35,"(34, 54]","(22, 27]",Female,12,24,14,39,0.500,0.359,1.393,0.660
36,"(34, 54]","(22, 27]",Male,31,19,75,120,1.632,0.625,2.611,0.862
37,"(34, 54]","(27, 32]",Female,13,18,44,46,0.722,0.957,0.755,0.320
38,"(34, 54]","(27, 32]",Male,33,23,86,120,1.435,0.717,2.002,0.621
39,"(34, 54]","(32, 37]",Female,24,23,73,102,1.043,0.716,1.458,0.486
40,"(34, 54]","(32, 37]",Male,70,60,130,154,1.167,0.844,1.382,0.302
41,"(34, 54]","(37, 42]",Female,20,20,142,150,1.000,0.947,1.056,0.360
42,"(34, 54]","(37, 42]",Male,58,55,152,136,1.055,1.118,0.944,0.215
43,"(34, 54]","(42, 47]",Female,9,9,113,129,1.000,0.876,1.142,0.561
44,"(34, 54]","(42, 47]",Male,55,47,150,130,1.170,1.154,1.014,0.241
45,"(34, 54]","(47, 52]",Female,12,10,138,115,1.200,1.200,1.000,0.449
46,"(34, 54]","(47, 52]",Male,34,31,120,88,1.097,1.364,0.804,0.233
47,"(34, 54]","(52, 57]",Female,12,8,88,61,1.500,1.443,1.040,0.508
48,"(34, 54]","(52, 57]",Male,18,9,80,52,2.000,1.538,1.300,0.583
49,"(34, 54]","(57, 62]",Female,4,4,51,36,1.000,1.417,0.706,0.523
50,"(34, 54]","(57, 62]",Male,9,6,40,26,1.500,1.538,0.975,0.572
51,"(34, 54]","(62, 67]",Female,10,2,16,13,5.000,1.231,4.062,3.499
52,"(34, 54]","(62, 67]",Male,4,2,33,14,2.000,2.357,0.848,0.784
