,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,5,5,3,4,1.000,0.750,1.333,1.324
1,"(15, 24]","(5, 10]",Male,2,3,4,2,0.667,2.000,0.333,0.420
2,"(15, 24]","(10, 15]",Female,4,6,4,3,0.667,1.333,0.500,0.501
3,"(15, 24]","(10, 15]",Male,17,20,13,18,0.850,0.722,1.177,0.581
4,"(15, 24]","(15, 20]",Female,8,21,5,22,0.381,0.227,1.676,1.087
5,"(15, 24]","(15, 20]",Male,41,59,84,135,0.695,0.622,1.117,0.281
6,"(15, 24]","(20, 25]",Female,2,5,8,10,0.400,0.800,0.500,0.482
7,"(15, 24]","(20, 25]",Male,11,18,50,61,0.611,0.820,0.746,0.321
8,"(15, 24]","(25, 30]",Female,1,2,3,3,0.500,1.000,0.500,0.736
9,"(15, 24]","(25, 30]",Male,5,7,10,11,0.714,0.909,0.786,0.575
10,"(15, 24]","(30, 35]",Male,3,2,6,7,1.500,0.857,1.750,1.873
11,"(15, 24]","(35, 40]",Male,2,2,3,2,1.000,1.500,0.667,0.903
12,"(15, 24]","(40, 45]",Male,1,1,4,4,1.000,1.000,1.000,1.582
13,"(15, 24]","(45, 50]",Male,3,2,4,2,1.500,2.000,0.750,0.944
14,"(24, 34]","(0, 5]",Female,6,11,9,15,0.545,0.600,0.909,0.602
15,"(24, 34]","(0, 5]",Male,2,11,6,2,0.182,3.000,0.061,0.068
16,"(24, 34]","(5, 10]",Female,11,16,6,10,0.688,0.600,1.146,0.745
17,"(24, 34]","(5, 10]",Male,3,6,12,16,0.500,0.750,0.667,0.537
18,"(24, 34]","(10, 15]",Female,6,10,5,6,0.600,0.833,0.720,0.574
19,"(24, 34]","(10, 15]",Male,7,11,8,10,0.636,0.800,0.795,0.540
20,"(24, 34]","(15, 20]",Female,2,6,1,5,0.333,0.200,1.667,2.279
21,"(24, 34]","(15, 20]",Male,6,11,15,26,0.545,0.577,0.945,0.571
22,"(24, 34]","(20, 25]",Female,1,6,4,5,0.167,0.800,0.208,0.265
23,"(24, 34]","(20, 25]",Male,8,13,24,41,0.615,0.585,1.051,0.547
24,"(24, 34]","(25, 30]",Male,8,9,20,38,0.889,0.526,1.689,0.948
25,"(24, 34]","(30, 35]",Female,1,3,4,4,0.333,1.000,0.333,0.452
26,"(24, 34]","(30, 35]",Male,5,5,11,6,1.000,1.833,0.545,0.443
27,"(24, 34]","(35, 40]",Male,3,1,6,7,3.000,0.857,3.500,4.490
28,"(24, 34]","(40, 45]",Male,4,3,4,3,1.333,1.333,1.000,1.081
29,"(24, 34]","(45, 50]",Male,2,1,4,2,2.000,2.000,1.000,1.501
30,"(34, 54]","(0, 5]",Female,1,4,2,4,0.250,0.500,0.500,0.708
31,"(34, 54]","(0, 5]",Male,9,6,4,6,1.500,0.667,2.250,1.878
32,"(34, 54]","(5, 10]",Female,9,22,3,7,0.409,0.429,0.955,0.761
33,"(34, 54]","(5, 10]",Male,5,9,5,12,0.556,0.417,1.333,1.030
34,"(34, 54]","(10, 15]",Female,7,19,9,18,0.368,0.500,0.737,0.445
35,"(34, 54]","(10, 15]",Male,8,17,9,23,0.471,0.391,1.203,0.702
36,"(34, 54]","(15, 20]",Female,3,14,4,12,0.214,0.333,0.643,0.553
37,"(34, 54]","(15, 20]",Male,10,15,9,29,0.667,0.310,2.148,1.205
38,"(34, 54]","(20, 25]",Male,3,9,5,21,0.333,0.238,1.400,1.167
39,"(34, 54]","(25, 30]",Male,7,5,5,12,1.400,0.417,3.360,2.664
40,"(34, 54]","(30, 35]",Male,6,5,8,12,1.200,0.667,1.800,1.368
41,"(34, 54]","(35, 40]",Female,1,2,3,5,0.500,0.600,0.833,1.189
42,"(34, 54]","(35, 40]",Male,2,9,7,14,0.222,0.500,0.444,0.404
43,"(34, 54]","(40, 45]",Female,2,4,3,4,0.500,0.750,0.667,0.771
44,"(34, 54]","(40, 45]",Male,8,9,9,13,0.889,0.692,1.284,0.839
45,"(34, 54]","(45, 50]",Female,2,2,1,4,1.000,0.250,4.000,6.003
46,"(34, 54]","(45, 50]",Male,2,5,8,7,0.400,1.143,0.350,0.345
47,"(34, 54]","(50, 55]",Female,2,2,2,3,1.000,0.667,1.500,2.032
48,"(34, 54]","(50, 55]",Male,2,2,8,4,1.000,2.000,0.500,0.587
49,"(34, 54]","(55, 60]",Male,3,2,3,5,1.500,0.600,2.500,2.925
50,"(34, 54]","(65, 70]",Male,3,2,2,1,1.500,2.000,0.750,1.146
51,"(54, 100]","(5, 10]",Female,2,3,1,1,0.667,1.000,0.667,1.123
52,"(54, 100]","(5, 10]",Male,2,4,2,3,0.500,0.667,0.750,0.944
53,"(54, 100]","(30, 35]",Male,1,2,1,3,0.500,0.333,1.500,2.526
54,"(54, 100]","(35, 40]",Male,1,1,4,4,1.000,1.000,1.000,1.582
55,"(54, 100]","(45, 50]",Male,3,2,1,2,1.500,0.500,3.000,4.585
56,"(54, 100]","(50, 55]",Male,4,1,2,3,4.000,0.667,6.000,8.665
57,"(54, 100]","(55, 60]",Male,2,4,1,2,0.500,0.500,1.000,1.501
58,"(54, 100]","(60, 65]",Male,2,3,1,1,0.667,1.000,0.667,1.123
