,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,8,10,5,2,0.800,2.500,0.320,0.308
1,"(15, 24]","(0, 5]",Male,3,5,10,6,0.600,1.667,0.360,0.322
2,"(15, 24]","(5, 10]",Female,1,2,3,3,0.500,1.000,0.500,0.736
3,"(15, 24]","(5, 10]",Male,2,1,11,7,2.000,1.571,1.273,1.677
4,"(15, 24]","(10, 15]",Female,24,25,11,13,0.960,0.846,1.135,0.570
5,"(15, 24]","(10, 15]",Male,59,47,107,100,1.255,1.070,1.173,0.288
6,"(15, 24]","(15, 20]",Female,94,114,41,82,0.825,0.500,1.649,0.399
7,"(15, 24]","(15, 20]",Male,332,266,783,870,1.248,0.900,1.387,0.150
8,"(15, 24]","(20, 25]",Female,32,39,69,84,0.821,0.821,0.999,0.293
9,"(15, 24]","(20, 25]",Male,153,136,479,564,1.125,0.849,1.325,0.188
10,"(15, 24]","(25, 30]",Female,12,7,30,25,1.714,1.200,1.429,0.785
11,"(15, 24]","(25, 30]",Male,50,35,134,115,1.429,1.165,1.226,0.318
12,"(15, 24]","(30, 35]",Female,6,4,10,17,1.500,0.588,2.550,1.939
13,"(15, 24]","(30, 35]",Male,16,6,73,46,2.667,1.587,1.680,0.868
14,"(15, 24]","(35, 40]",Female,7,6,3,6,1.167,0.500,2.333,2.103
15,"(15, 24]","(35, 40]",Male,22,9,45,27,2.444,1.667,1.467,0.685
16,"(15, 24]","(40, 45]",Female,8,7,9,7,1.143,1.286,0.889,0.644
17,"(15, 24]","(40, 45]",Male,15,8,42,26,1.875,1.615,1.161,0.588
18,"(15, 24]","(45, 50]",Female,4,2,3,1,2.000,3.000,0.667,0.963
19,"(15, 24]","(45, 50]",Male,8,3,19,15,2.667,1.267,2.105,1.604
20,"(15, 24]","(50, 55]",Male,4,3,26,10,1.333,2.600,0.513,0.436
21,"(15, 24]","(55, 60]",Male,2,1,7,5,2.000,1.400,1.429,1.941
22,"(15, 24]","(60, 65]",Male,4,1,4,3,4.000,1.333,3.000,4.065
23,"(15, 24]","(70, 75]",Male,1,1,2,1,1.000,2.000,0.500,0.936
24,"(24, 34]","(0, 5]",Female,9,19,13,11,0.474,1.182,0.401,0.232
25,"(24, 34]","(0, 5]",Male,5,6,9,8,0.833,1.125,0.741,0.576
26,"(24, 34]","(5, 10]",Female,15,15,10,15,1.000,0.667,1.500,0.825
27,"(24, 34]","(5, 10]",Male,9,9,17,11,1.000,1.545,0.647,0.396
28,"(24, 34]","(10, 15]",Female,13,26,13,19,0.500,0.684,0.731,0.364
29,"(24, 34]","(10, 15]",Male,4,6,21,27,0.667,0.778,0.857,0.608
30,"(24, 34]","(15, 20]",Female,14,24,10,7,0.583,1.429,0.408,0.244
31,"(24, 34]","(15, 20]",Male,35,41,63,117,0.854,0.538,1.585,0.448
32,"(24, 34]","(20, 25]",Female,25,29,21,36,0.862,0.583,1.478,0.577
33,"(24, 34]","(20, 25]",Male,130,138,219,288,0.942,0.760,1.239,0.198
34,"(24, 34]","(25, 30]",Female,20,34,36,54,0.588,0.667,0.882,0.316
35,"(24, 34]","(25, 30]",Male,150,141,224,266,1.064,0.842,1.263,0.198
36,"(24, 34]","(30, 35]",Female,15,16,35,51,0.938,0.686,1.366,0.579
37,"(24, 34]","(30, 35]",Male,97,66,144,140,1.470,1.029,1.429,0.293
38,"(24, 34]","(35, 40]",Female,9,10,24,32,0.900,0.750,1.200,0.642
39,"(24, 34]","(35, 40]",Male,44,34,86,84,1.294,1.024,1.264,0.353
40,"(24, 34]","(40, 45]",Female,4,5,13,14,0.800,0.929,0.862,0.668
41,"(24, 34]","(40, 45]",Male,19,23,69,41,0.826,1.683,0.491,0.182
42,"(24, 34]","(45, 50]",Female,11,4,11,13,2.750,0.846,3.250,2.324
